Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AND_AND_Expression.java",AND_AND_Expression.java,6,6,6,1,46,1,40,5,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,309,16,254,41,188,42,,,,86,126,29,97,,,,,,25,25,25,4,,,5,,,,0.17,39,39,41,9
File,"AST.java",AST.java,1,1,1,1,21,0,6,14,,,,,1,7,0,80,,80,73,3,80,,4,0,0,76,,1890,111,525,211,287,1265,,,,255,365,184,181,,,,,,7,7,7,3,,,2,,,,2.41,110,110,113,86
File,"ASTConverter.java",ASTConverter.java,5,4,6,2,25,0,24,1,,,,,1,0,0,119,,119,119,6,119,,0,46,0,73,,3216,150,2887,607,2189,212,,,,1573,2107,632,1475,,,,,,34,34,51,34,,,5,,,,0.07,660,544,751,314
File,"ASTMatcher.java",ASTMatcher.java,2,2,3,1,22,0,8,14,,,,,1,1,0,66,,66,65,0,66,,0,0,0,66,,1629,69,584,134,375,976,,,,204,342,135,207,,,,,,5,5,10,5,,,2,,,,1.67,138,138,212,77
File,"ASTNode.java",ASTNode.java,1,1,2,1,17,0,7,10,,,,,3,3,66,42,,48,45,12,48,,20,1,0,27,,1579,136,415,168,264,1030,,,,241,325,169,156,,,,,,10,10,10,7,,,3,,,,2.48,83,83,87,55
File,"ASTSyntaxErrorPropagator.java",ASTSyntaxErrorPropagator.java,3,1,3,1,8,0,7,0,,,,,1,0,0,8,,8,8,1,8,,1,1,0,6,,113,13,68,18,43,32,,,,26,39,19,20,,,,,,21,5,22,4,,,3,,,,0.47,28,12,29,11
File,"ASTVisitor.java",ASTVisitor.java,1,1,1,1,2,0,2,0,,,,,1,0,0,126,,126,126,0,126,,0,0,0,126,,435,6,317,128,62,112,,,,63,190,128,62,,,,,,1,1,1,1,,,0,,,,0.35,126,126,126,126
File,"AbortCompilation.java",AbortCompilation.java,1,1,1,1,4,1,3,0,,,,,1,0,0,5,,5,5,7,5,,0,0,0,5,,59,13,29,14,9,17,,,,17,23,14,9,,,,,,1,1,1,1,,,0,,,,0.59,5,5,5,5
File,"AbortCompilationUnit.java",AbortCompilationUnit.java,1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,25,2,7,4,1,16,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,2.29,1,1,1,1
File,"AbortFormatting.java",AbortFormatting.java,1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,30,3,11,5,3,16,,,,5,8,5,3,,,,,,1,1,1,1,,,0,,,,1.45,2,2,2,2
File,"AbortIncrementalBuildException.java",AbortIncrementalBuildException.java,1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,25,3,7,4,1,15,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,2.14,1,1,1,1
File,"AbortMethod.java",AbortMethod.java,1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,25,2,7,4,1,16,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,2.29,1,1,1,1
File,"AbortType.java",AbortType.java,1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,25,2,7,4,1,16,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,2.29,1,1,1,1
File,"AbstractDOMBuilder.java",AbstractDOMBuilder.java,2,2,2,1,13,0,8,5,,,,,1,0,0,10,,10,10,8,10,,0,0,3,7,,210,10,98,34,56,102,,,,54,77,36,41,,,,,,7,7,7,3,,,6,,,,1.04,22,22,23,12
File,"AbstractImageBuilder.java",AbstractImageBuilder.java,5,4,5,1,22,1,18,3,,,,,1,0,1,17,,17,17,11,17,,1,0,15,1,,458,48,341,93,257,84,,,,192,261,102,159,,,,,,23,10,25,7,,,6,,,,0.25,87,72,95,31
File,"AbstractIndexer.java",AbstractIndexer.java,5,4,5,2,21,0,17,3,,,,,1,11,0,25,,27,16,1,27,,0,1,5,21,,573,24,460,104,336,96,,,,263,363,113,250,,,,,,14,11,14,8,,,3,,,,0.21,136,114,142,69
File,"AbstractMethodDeclaration.java",AbstractMethodDeclaration.java,3,2,3,1,12,1,10,1,,,,,1,0,0,23,,25,25,16,25,,1,2,0,22,,375,53,283,90,164,50,,,,160,225,91,134,,,,,,9,9,11,4,,,5,,,,0.18,69,67,77,28
File,"AbstractSearchScope.java",AbstractSearchScope.java,1,1,1,1,6,0,2,4,,,,,1,0,0,4,,5,5,0,5,,0,0,0,5,,54,8,16,9,2,30,,,,6,11,9,2,,,,,,1,1,1,1,,,0,,,,1.88,4,4,4,4
File,"AbstractSyntaxTreeVisitorAdapter.java",AbstractSyntaxTreeVisitorAdapter.java,1,1,1,1,3,0,3,0,,,,,1,0,0,149,,149,149,0,149,,0,0,0,149,,490,4,473,250,74,13,,,,78,228,154,74,,,,,,1,1,1,1,,,0,,,,0.03,149,149,149,149
File,"AbstractVariableDeclaration.java",AbstractVariableDeclaration.java,1,1,1,1,3,0,3,0,,,,,1,0,0,9,,9,9,9,9,,0,0,0,9,,85,15,45,25,11,27,,,,25,36,25,11,,,,,,2,2,2,1,,,1,,,,0.60,10,10,10,9
File,"AddClassFileToIndex.java",AddClassFileToIndex.java,2,2,2,1,6,0,6,0,,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,42,4,28,12,11,10,,,,14,22,12,10,,,,,,4,4,4,1,,,3,,,,0.36,7,7,7,3
File,"AddCompilationUnitToIndex.java",AddCompilationUnitToIndex.java,2,2,2,1,6,0,6,0,,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,42,4,28,12,11,10,,,,14,22,12,10,,,,,,4,4,4,1,,,3,,,,0.36,7,7,7,3
File,"AddFileToIndex.java",AddFileToIndex.java,3,3,3,2,10,1,9,2,,,,,1,0,0,3,,4,4,1,4,,0,0,1,3,,56,7,38,15,19,17,,,,24,34,15,19,,,,,,7,7,9,6,,,2,,,,0.45,9,9,11,8
File,"AddFolderToIndex.java",AddFolderToIndex.java,4,3,5,3,18,1,17,2,,,,,2,0,0,4,,4,4,3,4,,0,0,0,4,,89,7,71,26,43,19,,,,43,59,27,32,,,,,,8,8,11,7,,,3,,,,0.27,16,15,21,13
File,"AddJarFileToIndex.java",AddJarFileToIndex.java,5,5,6,3,22,1,18,5,,,,,1,0,0,8,,8,8,1,8,,0,0,1,7,,211,13,169,43,114,56,,,,93,138,47,91,,,,,,35,35,37,16,,,6,,,,0.33,47,47,50,28
File,"AdditionalTypeCollection.java",AdditionalTypeCollection.java,1,1,1,1,4,0,4,1,,,,,1,0,0,1,,1,1,1,1,,0,0,1,0,,22,4,8,4,2,11,,,,4,6,4,2,,,,,,1,1,1,1,,,0,,,,1.38,1,1,1,1
File,"Alignment.java",Alignment.java,6,5,6,2,30,2,21,7,,,,,1,0,15,9,,9,9,17,9,,0,0,0,9,,409,55,233,55,159,142,,,,130,177,57,120,,,,,,20,16,21,14,,,5,,,,0.61,55,51,57,24
File,"AlignmentException.java",AlignmentException.java,1,1,1,1,8,0,8,1,,,,,1,0,2,3,,3,3,3,3,,0,0,0,3,,54,6,32,11,19,20,,,,17,22,11,11,,,,,,3,2,3,1,,,1,,,,0.63,5,4,5,3
File,"AllocationExpression.java",AllocationExpression.java,3,3,3,1,15,1,12,1,,,,,1,0,0,15,,15,15,4,15,,0,0,0,15,,279,40,201,46,124,41,,,,90,144,46,98,,,,,,12,12,12,6,,,4,,,,0.20,53,53,58,24
File,"AndPattern.java",AndPattern.java,8,8,9,2,30,2,25,4,,,,,1,0,0,3,,5,5,0,5,,0,0,2,3,,127,9,88,33,56,33,,,,59,83,38,45,,,,,,18,18,21,6,,,5,,,,0.38,24,24,27,8
File,"AnonymousClassDeclaration.java",AnonymousClassDeclaration.java,1,1,1,1,7,0,4,3,,,,,1,0,0,9,,9,9,1,9,,5,0,0,4,,131,12,43,16,19,76,,,,17,28,15,13,,,,,,2,2,2,1,,,1,,,,1.77,10,10,10,9
File,"AnonymousFileSource.java",AnonymousFileSource.java,2,2,2,1,14,0,10,4,,,,,1,1,0,8,,8,7,1,8,,1,0,0,7,,135,3,90,26,52,49,,,,48,68,27,41,,,,,,4,4,4,1,,,2,,,,0.54,19,19,19,8
File,"AnonymousLocalTypeDeclaration.java",AnonymousLocalTypeDeclaration.java,4,4,4,1,28,3,22,4,,,,,1,0,1,5,,5,5,1,5,,0,0,0,5,,174,24,121,27,80,36,,,,68,89,30,59,,,,,,11,11,11,1,,,5,,,,0.30,23,23,23,5
File,"Argument.java",Argument.java,3,3,4,1,15,1,13,1,,,,,1,0,1,6,,6,6,0,6,,0,0,0,6,,122,20,86,18,59,21,,,,43,64,18,46,,,,,,9,9,13,4,,,5,,,,0.24,21,21,27,11
