Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\hadoop\src\java\org\apache\hadoop\HadoopVersionAnnotation.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,0,5,,5,0,0,0,,57,7,11,10,0,39,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,3.55,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\hadoop\src\java\org\apache\hadoop\conf\Configurable.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,29,4,5,4,0,20,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,4.00,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\hadoop\src\java\org\apache\hadoop\conf\Configuration.java",2,2,2,1,11,0,8,2,,,,,1,1,3,45,,45,44,6,45,,0,7,0,38,,646,72,431,137,271,152,,,,225,334,137,197,,,,,,22,22,24,8,,,4,,,,0.35,110,110,115,77
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\hadoop\src\java\org\apache\hadoop\conf\Configured.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,41,7,13,6,3,21,,,,5,9,6,3,,,,,,1,1,1,1,,,0,,,,1.62,3,3,3,3
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\hadoop\src\java\org\apache\hadoop\dfs\AlreadyBeingCreatedException.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,14,2,7,4,1,5,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,0.71,1,1,1,1
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\hadoop\src\java\org\apache\hadoop\dfs\Block.java",1,1,1,1,5,0,4,1,,,,,2,1,0,15,,15,14,2,15,,0,0,0,15,,141,16,79,25,38,47,,,,35,55,25,30,,,,,,3,3,3,3,,,1,,,,0.59,19,19,19,17
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\hadoop\src\java\org\apache\hadoop\dfs\BlockCommand.java",1,1,1,1,7,0,6,1,,,,,2,0,0,9,,9,9,3,9,,0,0,0,9,,123,14,71,16,39,39,,,,47,63,22,41,,,,,,4,4,4,1,,,2,,,,0.55,15,15,15,9
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\hadoop\src\java\org\apache\hadoop\dfs\ClientProtocol.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,22,22,0,22,,0,0,0,22,,303,24,37,36,1,243,,,,26,27,27,0,,,,,,0,0,0,0,,,0,,,,6.57,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\hadoop\src\java\org\apache\hadoop\dfs\DFSAdmin.java",4,4,4,3,30,1,23,6,,,,,1,1,0,6,,6,5,0,6,,0,0,0,6,,223,17,146,29,110,60,,,,76,103,28,75,,,,,,13,13,13,8,,,2,,,,0.41,29,29,29,18
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\hadoop\src\java\org\apache\hadoop\dfs\DFSClient.java",3,3,3,1,18,0,14,3,,,,,6,0,4,59,,59,59,40,59,,2,13,0,44,,1291,102,914,233,594,275,,,,446,642,209,433,,,,,,12,12,13,5,,,5,,,,0.30,188,188,199,85
