Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"$",0,0,0,0,0,0,0,0,,,,,0,0,0,,3,,0,0,0,,0,0,0,0,,48,0,3,3,0,45,,,,0,3,3,0,,,,,,0,0,0,0,,,0,,,,15.00,0,0,0,0
Package,"(Unnamed_Package)",0,0,0,0,0,0,0,0,,,,,0,0,0,,2,,0,0,0,,0,0,0,0,,12,0,12,12,0,0,,,,2,0,0,0,,,,,,0,0,0,0,,,0,,,,0.00,0,0,0,0
File,"AbsoluteTimeDateFormat.java",2,2,2,1,18,3,11,3,,,,,1,0,5,4,,4,4,0,4,,0,0,0,4,,140,24,65,28,37,52,,,,38,49,23,26,,,,,,7,7,7,1,,,2,,,,0.80,10,10,10,4
File,"AbstractAction.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,2,2,2,2,,0,0,1,1,,38,6,14,10,3,18,,,,10,12,10,2,,,,,,1,1,1,1,,,0,,,,1.29,1,1,1,1
File,"AbstractBundleCommand.java",3,3,3,1,14,1,11,1,,,,,1,0,0,3,,4,4,2,4,,0,0,4,0,,93,14,52,24,22,27,,,,28,40,24,16,,,,,,5,5,7,3,,,4,,,,0.52,9,9,11,5
File,"AbstractCommand.java",1,1,1,1,6,0,5,1,,,,,1,0,0,4,,5,5,0,5,,0,0,1,4,,64,9,30,14,10,25,,,,14,21,14,7,,,,,,2,2,2,1,,,2,,,,0.83,5,5,5,4
File,"AbstractKarafLoginModule.java",3,3,4,1,14,0,13,0,,,,,1,0,0,5,,5,5,11,5,,0,0,1,4,,126,16,92,41,50,18,,,,58,72,41,31,,,,,,5,5,8,3,,,3,,,,0.20,15,15,22,9
File,"Action.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,30,6,6,4,0,18,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,3.00,0,0,0,0
File,"ActionPreparator.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,30,5,7,6,0,18,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,2.57,0,0,0,0
File,"ActivateAction.java",3,3,3,1,11,0,11,0,,,,,1,0,0,1,,1,1,1,1,,0,0,1,0,,54,5,30,20,7,19,,,,13,18,12,6,,,,,,3,3,3,1,,,1,,,,0.63,3,3,3,1
