Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"$",0,0,0,0,0,0,0,0,,,,,0,0,0,,4,,0,0,0,,0,0,0,0,,4,0,4,4,0,0,,,,0,4,4,0,,,,,,0,0,0,0,,,0,,,,0.00,0,0,0,0
File,"A.java",1,1,1,1,10,1,5,4,,,,,1,0,1,2,,2,2,1,2,,0,0,0,2,,55,7,20,10,5,28,,,,11,14,10,4,,,,,,1,1,1,1,,,0,,,,1.40,2,2,2,2
File,"AbortException.java",1,1,1,1,8,0,4,4,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,39,4,10,5,2,25,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,2.50,1,1,1,1
File,"AbortExceptionPage.java",1,1,1,1,17,1,16,0,,,,,3,0,3,3,,3,3,0,3,,0,0,2,1,,77,9,47,16,18,21,,,,19,25,19,6,,,,,,2,2,2,1,,,1,,,,0.45,5,5,5,3
File,"AbortExceptionTest.java",1,1,1,1,14,1,10,3,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,67,7,30,10,11,31,,,,15,19,10,9,,,,,,2,2,2,1,,,1,,,,1.03,3,3,3,2
File,"AbortWithHttpStatusException.java",2,2,2,1,22,1,14,6,,,,,1,0,1,2,,2,2,1,2,,0,0,0,2,,90,9,41,15,16,40,,,,18,24,15,9,,,,,,4,4,4,1,,,2,,,,0.98,5,5,5,2
File,"AbortWithWebErrorCodeException.java",1,1,1,1,12,0,4,8,,,,,1,0,1,3,,3,3,1,3,,0,0,0,3,,80,7,24,12,5,49,,,,12,16,12,4,,,,,,1,1,1,1,,,0,,,,2.04,3,3,3,3
File,"AbstractAjaxBehavior.java",1,1,1,1,10,0,5,4,,,,,1,0,1,15,,15,15,1,15,,0,0,7,8,,227,25,98,34,23,104,,,,24,44,26,18,,,,,,3,3,3,1,,,1,,,,1.06,19,19,19,15
File,"AbstractAjaxTimerBehavior.java",1,1,1,1,10,0,6,3,,,,,1,0,1,11,,12,12,3,12,,0,0,7,5,,184,22,89,30,31,73,,,,31,48,26,22,,,,,,2,2,4,1,,,1,,,,0.82,16,16,21,11
File,"AbstractAutoCompleteBehavior.java",1,1,1,1,12,0,9,3,,,,,2,0,3,8,,9,9,2,9,,0,1,5,3,,166,17,90,33,43,59,,,,43,55,29,26,,,,,,2,2,3,1,,,1,,,,0.66,11,11,12,8
