Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",3,3,3,1,19,0,16,3,,,,,3,16,3,,2,,36,7,52,,0,15,0,37,,1232,103,904,193,638,259,,,,550,722,194,528,,,,,,10,10,12,10,,,6,,,,0.29,172,172,183,88
File,"ASAttributeDeclaration.java",0,0,0,0,0,0,0,0,,,,,1,0,3,0,,10,10,0,10,,0,0,0,10,,83,8,16,15,3,59,,,,14,15,15,0,,,,,,0,0,0,0,,,0,,,,3.69,0,0,0,0
File,"ASBuilder.java",8,7,9,1,54,8,41,6,,,,,1,2,5,3,,3,1,0,3,,0,1,0,2,,298,44,142,32,106,119,,,,98,120,32,88,,,,,,17,17,20,1,,,3,,,,0.84,25,23,28,3
File,"ASCIIReader.java",1,1,1,1,14,0,5,10,,,,,1,0,1,10,,10,10,4,10,,0,0,0,10,,268,23,64,28,27,192,,,,33,48,26,22,,,,,,4,4,4,1,,,2,,,,3.00,14,14,14,10
File,"ASContentModel.java",0,0,0,0,0,0,0,0,,,,,1,0,5,0,,11,11,0,11,,0,0,0,11,,138,10,21,20,5,107,,,,17,18,18,0,,,,,,0,0,0,0,,,0,,,,5.10,0,0,0,0
File,"ASDOMImplementationImpl.java",1,1,1,1,8,0,3,5,,,,,1,1,1,4,,4,3,0,4,,0,0,0,4,,144,20,25,16,6,100,,,,14,19,15,4,,,,,,1,1,1,1,,,0,,,,4.00,4,4,4,4
File,"ASDataType.java",0,0,0,0,0,0,0,0,,,,,1,0,46,0,,1,1,0,1,,0,0,0,1,,213,4,50,49,46,159,,,,48,49,49,0,,,,,,0,0,0,0,,,0,,,,3.18,0,0,0,0
File,"ASElementDeclaration.java",0,0,0,0,0,0,0,0,,,,,1,0,4,0,,16,16,0,16,,0,0,0,16,,149,12,23,22,4,114,,,,21,22,22,0,,,,,,0,0,0,0,,,0,,,,4.96,0,0,0,0
File,"ASEntityDeclaration.java",0,0,0,0,0,0,0,0,,,,,1,0,2,0,,8,8,0,8,,0,0,0,8,,78,7,13,12,2,58,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,4.46,0,0,0,0
File,"ASModel.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,20,20,0,20,,0,0,0,20,,234,21,36,35,0,177,,,,22,23,23,0,,,,,,0,0,0,0,,,0,,,,4.92,0,0,0,0
