project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
ant,Public Class,org.apache.tools.ant.taskdefs.optional.clearcase.CCMkdir,1.0,1.0,1.0,1.0,13.0,0.0,6.0,7.0,1.0,5.0,0.0,0.0,4.0,10.0,60.0,10.0,3.0,0.0,3.0,0.0,7.0,211.0,16.0,74.0,22.0,44.0,121.0,33.0,52.0,22.0,4.0,4.0,5.0,1.0,4.0,2.0,80.0,53.0,1.64,18,18,19,10,False
ant,Public Class,org.apache.tools.ant.taskdefs.UpToDate,2.0,2.0,3.0,1.0,15.0,0.0,9.0,5.0,2.0,13.0,0.0,0.0,0.0,13.0,52.0,13.0,7.0,0.0,2.0,1.0,10.0,238.0,24.0,136.0,33.0,87.0,78.0,52.0,83.0,33.0,12.0,12.0,20.0,1.0,3.0,2.0,79.0,72.0,0.57,31,31,39,13,False
ant,Public Class,org.apache.tools.ant.types.selectors.NotSelector,1.0,1.0,1.0,1.0,9.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,76.0,4.0,0.0,0.0,0.0,0.0,4.0,51.0,5.0,23.0,6.0,11.0,23.0,8.0,15.0,6.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,0.0,1.0,6,6,6,4,False
ant,Public Class,org.apache.tools.ant.listener.AnsiColorLogger,9.0,7.0,10.0,1.0,49.0,3.0,40.0,5.0,1.0,1.0,0.0,0.0,10.0,2.0,22.0,2.0,6.0,0.0,1.0,1.0,0.0,216.0,13.0,104.0,38.0,77.0,99.0,54.0,70.0,30.0,11.0,11.0,11.0,1.0,2.0,2.0,8.0,8.0,0.95,19,15,20,2,False
ant,Public Class,org.apache.tools.ant.taskdefs.optional.depend.constantpool.IntegerCPInfo,1.0,1.0,1.0,1.0,7.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,13.0,3.0,0.0,0.0,0.0,0.0,3.0,33.0,4.0,11.0,4.0,3.0,18.0,3.0,7.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.64,3,3,3,3,False
ant,Public Class,org.apache.tools.ant.DirectoryScanner,2.0,2.0,3.0,1.0,20.0,0.0,11.0,8.0,4.0,12.0,4.0,11.0,7.0,69.0,69.0,58.0,30.0,3.0,20.0,12.0,34.0,1846.0,143.0,852.0,213.0,556.0,857.0,365.0,556.0,182.0,26.0,26.0,36.0,9.0,1.0,7.0,94.0,76.0,1.01,196,196,232,113,False
ant,Public Static Class,org.apache.tools.ant.taskdefs.Length.FileMode,1.0,1.0,1.0,1.0,7.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,2.0,6.0,3.0,2.0,5.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.83,1,1,1,1,False
ant,Public Class,org.apache.tools.ant.taskdefs.Ant,3.0,3.0,3.0,1.0,21.0,0.0,13.0,7.0,1.0,16.0,0.0,0.0,1.0,29.0,68.0,29.0,13.0,0.0,7.0,2.0,20.0,798.0,81.0,429.0,104.0,282.0,288.0,181.0,280.0,100.0,22.0,22.0,31.0,7.0,3.0,4.0,88.0,87.0,0.67,92,92,103,37,False
ant,Public Abstract Class,org.apache.tools.ant.taskdefs.optional.j2ee.AbstractHotDeploymentTool,1.0,1.0,1.0,1.0,8.0,0.0,3.0,4.0,2.0,4.0,2.0,0.0,0.0,14.0,14.0,14.0,5.0,0.0,0.0,2.0,12.0,170.0,20.0,56.0,20.0,19.0,94.0,22.0,39.0,20.0,4.0,4.0,4.0,1.0,1.0,1.0,76.0,76.0,1.68,16,16,16,12,False
ant,Anonymous Class,org.apache.tools.ant.IntrospectionHelper.getEnumSetter.(Anon_12),4.0,4.0,4.0,1.0,26.0,0.0,20.0,6.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,21.0,0.0,18.0,6.0,4.0,7.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,0.0,0.0,0.29,4,4,4,1,False
