project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
ant,Public Abstract Class,org.apache.tools.zip.AbstractUnicodeExtraField,1.0,1.0,1.0,1.0,8.0,0.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,13.0,13.0,13.0,3.0,0.0,1.0,3.0,9.0,138.0,21.0,79.0,21.0,40.0,38.0,33.0,53.0,19.0,3.0,3.0,3.0,1.0,1.0,1.0,58.0,28.0,0.48,19,19,19,13,False
ant,Anonymous Class,org.apache.tools.ant.taskdefs.optional.net.FTPTaskMirrorImpl.doFTP.(Anon_6),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,False
ant,Public Class,org.apache.tools.ant.taskdefs.Componentdef,1.0,1.0,1.0,1.0,8.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,81.0,1.0,0.0,0.0,0.0,0.0,1.0,21.0,2.0,5.0,2.0,1.0,14.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,2.8,1,1,1,1,False
ant,Protected Class,org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner.AntFTPRootFile,1.0,1.0,1.0,1.0,10.0,0.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,3.0,22.0,3.0,1.0,0.0,0.0,0.0,3.0,38.0,0.0,19.0,5.0,9.0,19.0,8.0,13.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,66.0,66.0,1.0,4,4,4,3,False
ant,Public Class,org.apache.tools.ant.taskdefs.optional.junit.OutErrSummaryJUnitResultFormatter,1.0,1.0,1.0,1.0,7.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,7.0,3.0,2.0,7.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1,1,1,1,False
ant,Public Abstract Class,org.apache.tools.ant.taskdefs.DefBase,1.0,1.0,1.0,1.0,9.0,0.0,4.0,5.0,1.0,7.0,3.0,0.0,0.0,13.0,56.0,13.0,2.0,0.0,1.0,2.0,10.0,140.0,13.0,56.0,16.0,23.0,71.0,20.0,37.0,16.0,3.0,3.0,4.0,1.0,4.0,1.0,84.0,50.0,1.27,16,16,17,13,False
ant,Public Class,org.apache.tools.ant.types.RedirectorElement,3.0,3.0,4.0,1.0,17.0,0.0,12.0,5.0,1.0,8.0,0.0,0.0,0.0,27.0,59.0,27.0,20.0,0.0,1.0,3.0,23.0,583.0,48.0,362.0,61.0,223.0,173.0,147.0,242.0,63.0,28.0,28.0,31.0,1.0,3.0,4.0,88.0,85.0,0.48,100,100,115,27,False
ant,Public Class,org.apache.tools.ant.util.ScriptRunnerHelper,1.0,1.0,1.0,1.0,9.0,0.0,4.0,4.0,1.0,10.0,0.0,0.0,0.0,16.0,16.0,16.0,9.0,0.0,3.0,0.0,13.0,176.0,16.0,86.0,27.0,41.0,74.0,36.0,60.0,27.0,5.0,5.0,5.0,3.0,1.0,1.0,85.0,77.0,0.86,23,23,23,18,False
ant,Public Class,org.apache.tools.ant.taskdefs.Javadoc.LinkArgument,1.0,1.0,1.0,1.0,6.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,5.0,0.0,0.0,0.0,11.0,99.0,12.0,39.0,17.0,12.0,48.0,15.0,27.0,17.0,1.0,1.0,1.0,1.0,1.0,0.0,81.0,81.0,1.23,11,11,11,11,False
ant,Public Class,org.apache.tools.ant.filters.LineContainsRegExp,2.0,2.0,2.0,1.0,14.0,0.0,7.0,6.0,2.0,6.0,0.0,0.0,3.0,11.0,25.0,11.0,4.0,0.0,3.0,0.0,8.0,213.0,19.0,95.0,31.0,58.0,99.0,47.0,71.0,30.0,8.0,8.0,9.0,5.0,4.0,3.0,75.0,63.0,1.04,23,23,24,15,False
ant,Public Static Class,org.apache.tools.ant.taskdefs.Echo.EchoLevel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.5,0,0,0,0,False
ant,Public Class,org.apache.tools.ant.taskdefs.optional.junit.SummaryJUnitResultFormatter,1.0,1.0,1.0,1.0,10.0,0.0,6.0,3.0,3.0,2.0,1.0,0.0,1.0,12.0,12.0,12.0,5.0,0.0,0.0,0.0,12.0,151.0,13.0,82.0,24.0,47.0,56.0,35.0,55.0,23.0,7.0,7.0,10.0,1.0,1.0,2.0,83.0,83.0,0.68,19,19,22,12,False
ant,Anonymous Class,org.apache.tools.ant.taskdefs.optional.junit.JUnit4TestMethodAdapter.Cache.getNotifier.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,15.0,2.0,13.0,0.0,10.0,0.0,3.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3,3,3,3,False
ant,Public Class,org.apache.tools.ant.property.LocalPropertyStack,2.0,2.0,2.0,1.0,11.0,0.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,8.0,8.0,8.0,1.0,0.0,1.0,0.0,7.0,123.0,11.0,58.0,18.0,31.0,54.0,27.0,42.0,19.0,3.0,3.0,3.0,3.0,1.0,2.0,25.0,0.0,0.93,16,16,16,12,False
ant,Anonymous Class,org.apache.tools.ant.types.resources.Resources.(Anon_2),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,10.0,1.0,7.0,0.0,3.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3,3,3,3,False
ant,Public Class,org.apache.tools.ant.types.resources.Tokens,3.0,3.0,3.0,1.0,20.0,0.0,14.0,5.0,1.0,6.0,0.0,0.0,0.0,4.0,52.0,4.0,2.0,0.0,0.0,2.0,2.0,98.0,9.0,63.0,13.0,39.0,26.0,28.0,44.0,13.0,7.0,7.0,7.0,1.0,5.0,2.0,37.0,37.0,0.41,15,15,15,4,False
ant,Public Class,org.apache.tools.ant.taskdefs.Rename,2.0,2.0,2.0,1.0,12.0,1.0,6.0,4.0,1.0,3.0,0.0,0.0,1.0,4.0,43.0,4.0,3.0,0.0,0.0,0.0,4.0,68.0,12.0,33.0,9.0,17.0,23.0,13.0,22.0,9.0,5.0,5.0,6.0,1.0,3.0,1.0,50.0,50.0,0.7,8,8,9,4,False
ant,Public Class,org.apache.tools.ant.taskdefs.UpToDate,2.0,2.0,3.0,1.0,15.0,0.0,9.0,5.0,2.0,13.0,0.0,0.0,0.0,13.0,52.0,13.0,7.0,0.0,2.0,1.0,10.0,238.0,24.0,136.0,33.0,87.0,78.0,52.0,83.0,33.0,12.0,12.0,20.0,1.0,3.0,2.0,79.0,72.0,0.57,31,31,39,13,False
ant,Anonymous Class,org.apache.tools.ant.taskdefs.optional.ssh.AbstractSshMessage.(Anon_1),1.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.33,1,1,1,1,False
ant,Public Class,org.apache.tools.ant.types.TimeComparison,1.0,1.0,1.0,1.0,10.0,0.0,4.0,5.0,1.0,2.0,1.0,2.0,5.0,7.0,16.0,5.0,0.0,0.0,0.0,0.0,7.0,99.0,12.0,40.0,17.0,20.0,47.0,17.0,28.0,16.0,4.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0,1.18,11,11,11,9,False
ant,Public Class,org.apache.tools.ant.taskdefs.Apt,1.0,1.0,1.0,1.0,8.0,0.0,3.0,4.0,1.0,7.0,0.0,0.0,4.0,17.0,185.0,17.0,5.0,0.0,0.0,0.0,17.0,236.0,24.0,96.0,42.0,36.0,116.0,38.0,64.0,37.0,2.0,2.0,2.0,1.0,5.0,1.0,88.0,87.0,1.21,20,20,20,17,False
ant,Public Class,org.apache.tools.ant.MagicNames,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,32.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,230.0,33.0,41.0,39.0,32.0,156.0,32.0,34.0,34.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.8,1,1,1,1,True
ant,Public Class,org.apache.tools.ant.taskdefs.optional.perforce.P4Counter,2.0,2.0,2.0,1.0,18.0,1.0,11.0,5.0,1.0,4.0,0.0,0.0,0.0,4.0,57.0,4.0,5.0,0.0,0.0,0.0,4.0,122.0,12.0,52.0,14.0,34.0,58.0,23.0,35.0,14.0,6.0,6.0,8.0,1.0,4.0,1.0,55.0,55.0,1.12,9,9,11,4,True
ant,Public Class,org.apache.tools.ant.taskdefs.rmic.SunRmic,3.0,3.0,3.0,2.0,26.0,1.0,18.0,6.0,1.0,7.0,0.0,0.0,5.0,2.0,17.0,2.0,0.0,0.0,0.0,1.0,1.0,84.0,9.0,47.0,20.0,36.0,28.0,20.0,26.0,15.0,5.0,5.0,5.0,3.0,2.0,2.0,0.0,0.0,0.6,6,6,6,4,True
ant,Public Class,org.apache.tools.ant.taskdefs.rmic.WLRmic,2.0,2.0,2.0,1.0,15.0,0.0,9.0,5.0,1.0,7.0,0.0,0.0,7.0,5.0,20.0,5.0,0.0,0.0,0.0,2.0,3.0,109.0,9.0,60.0,20.0,42.0,40.0,27.0,38.0,18.0,6.0,6.0,6.0,3.0,2.0,2.0,0.0,0.0,0.67,11,11,11,7,True
ant,Public Class,org.apache.tools.ant.types.optional.image.ColorMapper,7.0,7.0,9.0,7.0,19.0,0.0,16.0,3.0,1.0,0.0,0.0,1.0,16.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,81.0,3.0,50.0,19.0,43.0,28.0,30.0,46.0,19.0,14.0,14.0,17.0,14.0,1.0,1.0,0.0,0.0,0.56,15,15,18,15,True
ant,Public Class,org.apache.tools.ant.types.selectors.DepthSelector,3.0,3.0,3.0,1.0,18.0,0.0,12.0,6.0,1.0,2.0,0.0,0.0,2.0,7.0,49.0,7.0,2.0,0.0,0.0,0.0,7.0,158.0,14.0,90.0,23.0,61.0,54.0,37.0,59.0,22.0,7.0,7.0,9.0,5.0,5.0,4.0,42.0,28.0,0.6,21,21,25,11,True
ant,Public Class,org.apache.tools.ant.util.XmlConstants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,21.0,20.0,11.0,30.0,11.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.43,0,0,0,0,True
