project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
cassandra,Public Class,org.apache.cassandra.utils.LegacyBloomFilter,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,1.0,4.0,0.0,6.0,3.0,15.0,18.0,9.0,1.0,4.0,1.0,0.0,10.0,159.0,16.0,105.0,31.0,44.0,38.0,41.0,66.0,35.0,3.0,3.0,3.0,3.0,2.0,2.0,70.0,56.0,0.36,22,22,22,17,False
cassandra,Public Class,org.apache.cassandra.db.TreeMapBackedSortedColumns,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,2.0,5.0,0.0,1.0,1.0,21.0,30.0,20.0,1.0,0.0,2.0,0.0,19.0,189.0,24.0,129.0,29.0,46.0,36.0,38.0,69.0,31.0,4.0,4.0,4.0,3.0,2.0,2.0,23.0,19.0,0.28,27,27,27,23,False
cassandra,Anonymous Class,org.apache.cassandra.thrift.CassandraServer.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
cassandra,Public Class,org.apache.cassandra.db.marshal.MarshalException,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,11.0,3.0,2.0,0.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2,2,2,2,False
cassandra,Private Static Class,org.apache.cassandra.utils.MerkleTree.Inner.InnerSerializer,2.0,2.0,2.0,1.0,12.0,0.0,12.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,28.0,1.0,27.0,8.0,16.0,0.0,13.0,18.0,8.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,5,5,5,2,False
cassandra,Static Abstract Class,org.apache.cassandra.utils.MerkleTree.Hashable,1.0,1.0,1.0,1.0,6.0,0.0,4.0,1.0,2.0,4.0,2.0,2.0,2.0,8.0,8.0,6.0,1.0,4.0,0.0,1.0,3.0,100.0,12.0,72.0,17.0,30.0,16.0,23.0,41.0,17.0,2.0,2.0,2.0,1.0,1.0,1.0,64.0,64.0,0.22,9,9,9,7,False
cassandra,Public Class,org.apache.cassandra.db.compaction.SizeTieredCompactionStrategyTest,6.0,6.0,6.0,1.0,54.0,9.0,44.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,75.0,9.0,48.0,11.0,31.0,19.0,26.0,38.0,15.0,6.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.4,6,6,6,1,False
cassandra,Public Class,org.apache.cassandra.thrift.TimedOutException,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,2.0,18.0,18.0,18.0,1.0,0.0,2.0,0.0,16.0,211.0,39.0,147.0,46.0,69.0,25.0,55.0,97.0,40.0,3.0,4.0,3.0,3.0,2.0,2.0,100.0,100.0,0.17,27,31,27,22,False
cassandra,Public Class,org.apache.cassandra.cql.QueryProcessor,5.0,5.0,6.0,2.0,34.0,4.0,28.0,1.0,1.0,73.0,0.0,27.0,4.0,27.0,27.0,0.0,0.0,0.0,19.0,0.0,8.0,959.0,141.0,783.0,146.0,508.0,40.0,333.0,471.0,143.0,63.0,50.0,67.0,25.0,1.0,6.0,0.0,0.0,0.05,150,137,173,62,False
cassandra,Public Class,org.apache.cassandra.streaming.StreamUtil,2.0,2.0,2.0,1.0,21.0,1.0,16.0,4.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,2.0,19.0,6.0,9.0,22.0,7.0,10.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.16,2,2,2,1,False
