project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
eclipse.jdt.core,Anonymous Class,org.eclipse.jdt.internal.core.SourceMapper.(Anon_1),1.0,1.0,2.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.25,1,1,2,1,False
eclipse.jdt.core,Public Abstract Class,org.eclipse.jdt.internal.compiler.ast.BranchStatement,2.0,2.0,2.0,2.0,11.0,0.0,8.0,2.0,1.0,4.0,2.0,0.0,0.0,4.0,29.0,4.0,3.0,0.0,0.0,0.0,4.0,62.0,4.0,38.0,10.0,20.0,20.0,20.0,30.0,11.0,5.0,5.0,5.0,5.0,3.0,3.0,66.0,66.0,0.53,9,9,9,8,False
eclipse.jdt.core,Class,org.eclipse.jdt.internal.eval.Evaluator.getClasses.CompilerRequestor,6.0,6.0,6.0,1.0,33.0,1.0,21.0,11.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,36.0,1.0,24.0,8.0,15.0,11.0,15.0,22.0,11.0,6.0,6.0,6.0,1.0,1.0,3.0,0.0,0.0,0.46,6,6,6,1,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.compiler.lookup.ProblemBinding,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,12.0,7.0,3.0,2.0,0.0,0.0,5.0,51.0,4.0,28.0,11.0,9.0,19.0,12.0,20.0,11.0,1.0,1.0,1.0,1.0,2.0,0.0,76.0,42.0,0.68,7,7,7,7,False
eclipse.jdt.core,Abstract Class,org.eclipse.jdt.internal.core.SortElementBuilder.SortType,3.0,3.0,3.0,1.0,15.0,0.0,14.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,21.0,3.0,0.0,1.0,0.0,2.0,0.0,49.0,2.0,44.0,11.0,30.0,3.0,28.0,38.0,14.0,3.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,0.07,9,9,9,3,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.compiler.lookup.InnerEmulationDependency,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,20.0,2.0,8.0,4.0,2.0,10.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.25,1,1,1,1,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.core.TypeConverter,7.0,7.0,8.0,2.0,39.0,4.0,31.0,4.0,1.0,25.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0,218.0,26.0,161.0,40.0,123.0,35.0,101.0,132.0,48.0,16.0,16.0,18.0,4.0,1.0,3.0,0.0,0.0,0.22,37,36,41,10,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.eval.CodeSnippetSuperReference,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,7.0,82.0,7.0,1.0,0.0,0.0,0.0,7.0,45.0,3.0,23.0,9.0,6.0,20.0,7.0,15.0,9.0,1.0,1.0,1.0,1.0,7.0,0.0,85.0,85.0,0.87,7,7,7,7,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.codeassist.select.SelectionOnArgumentName,1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,4.0,50.0,4.0,0.0,0.0,0.0,0.0,4.0,42.0,8.0,24.0,5.0,13.0,12.0,12.0,19.0,5.0,3.0,3.0,3.0,1.0,6.0,1.0,0.0,0.0,0.5,6,6,6,4,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.core.OpenableElementInfo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,2.0,1.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.5,0,0,0,0,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.core.dom.SuperFieldAccess,1.0,1.0,1.0,1.0,10.0,0.0,4.0,5.0,1.0,7.0,0.0,0.0,0.0,12.0,47.0,12.0,2.0,5.0,0.0,0.0,7.0,189.0,14.0,62.0,18.0,33.0,113.0,27.0,43.0,18.0,3.0,3.0,3.0,1.0,3.0,1.0,75.0,58.0,1.82,17,17,17,12,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.compiler.lookup.UnresolvedReferenceBinding,2.0,2.0,2.0,1.0,6.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,83.0,4.0,1.0,3.0,0.0,0.0,1.0,39.0,2.0,27.0,7.0,15.0,15.0,14.0,22.0,7.0,4.0,4.0,5.0,3.0,4.0,1.0,75.0,75.0,0.56,8,8,9,6,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.core.dom.FieldAccess,1.0,1.0,1.0,1.0,10.0,0.0,5.0,5.0,1.0,6.0,0.0,0.0,0.0,12.0,47.0,12.0,2.0,5.0,0.0,0.0,7.0,220.0,14.0,70.0,19.0,39.0,136.0,31.0,49.0,19.0,3.0,3.0,3.0,1.0,3.0,1.0,75.0,58.0,1.94,19,19,19,12,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.compiler.lookup.PackageBinding,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,2.0,7.0,1.0,0.0,0.0,17.0,22.0,17.0,5.0,6.0,3.0,1.0,7.0,198.0,14.0,128.0,29.0,81.0,61.0,58.0,100.0,29.0,12.0,12.0,15.0,9.0,2.0,3.0,78.0,51.0,0.48,42,42,45,32,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.compiler.classfmt.MethodInfo,2.0,2.0,2.0,1.0,13.0,0.0,9.0,4.0,4.0,2.0,0.0,0.0,1.0,16.0,32.0,16.0,8.0,1.0,2.0,1.0,12.0,230.0,2.0,155.0,45.0,98.0,85.0,79.0,113.0,49.0,9.0,9.0,9.0,1.0,2.0,4.0,85.0,65.0,0.55,41,41,43,16,False
eclipse.jdt.core,Anonymous Class,org.eclipse.jdt.internal.compiler.DefaultErrorHandlingPolicies.exitOnFirstError.(Anon_2),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,7.0,0.0,5.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,2,2,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.core.search.matching.DeclarationOfReferencedMethodsPattern,5.0,5.0,5.0,3.0,24.0,0.0,21.0,2.0,1.0,20.0,0.0,0.0,0.0,3.0,53.0,3.0,2.0,0.0,1.0,1.0,1.0,88.0,4.0,69.0,20.0,51.0,16.0,38.0,54.0,22.0,10.0,10.0,10.0,7.0,4.0,4.0,33.0,16.0,0.23,15,15,16,11,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.core.JavaElementRequestor,1.0,1.0,1.0,1.0,10.0,0.0,7.0,3.0,2.0,5.0,1.0,0.0,5.0,15.0,15.0,15.0,7.0,0.0,0.0,0.0,15.0,215.0,7.0,119.0,40.0,75.0,89.0,63.0,91.0,40.0,2.0,2.0,2.0,1.0,1.0,1.0,85.0,85.0,0.75,27,27,27,15,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.core.index.impl.IndexedFile,1.0,1.0,1.0,1.0,9.0,0.0,4.0,4.0,2.0,2.0,0.0,1.0,0.0,8.0,8.0,7.0,2.0,0.0,0.0,0.0,8.0,93.0,2.0,42.0,13.0,21.0,50.0,18.0,31.0,13.0,3.0,3.0,3.0,3.0,1.0,1.0,37.0,37.0,1.19,12,12,12,10,False
eclipse.jdt.core,Class,org.eclipse.jdt.internal.core.CompilationUnitElementInfo,1.0,1.0,1.0,1.0,4.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,15.0,4.0,2.0,0.0,0.0,2.0,2.0,41.0,2.0,16.0,7.0,4.0,24.0,6.0,11.0,7.0,1.0,1.0,1.0,1.0,3.0,0.0,62.0,62.0,1.5,4,4,4,4,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.core.CreateImportOperation,2.0,2.0,2.0,2.0,14.0,0.0,8.0,5.0,1.0,14.0,0.0,0.0,0.0,6.0,82.0,6.0,1.0,0.0,0.0,3.0,3.0,121.0,2.0,56.0,15.0,33.0,64.0,27.0,42.0,16.0,6.0,6.0,6.0,6.0,3.0,3.0,33.0,33.0,1.14,14,14,14,13,False
eclipse.jdt.core,Class,org.eclipse.jdt.internal.core.jdom.DOMPackage,1.0,1.0,1.0,1.0,10.0,0.0,5.0,5.0,2.0,5.0,0.0,0.0,0.0,11.0,65.0,11.0,0.0,3.0,0.0,3.0,5.0,132.0,1.0,58.0,12.0,31.0,76.0,17.0,32.0,12.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1.31,14,14,14,11,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.compiler.classfmt.InnerClassInfo,2.0,2.0,2.0,1.0,13.0,0.0,9.0,4.0,2.0,1.0,0.0,0.0,0.0,8.0,24.0,8.0,11.0,1.0,0.0,1.0,6.0,138.0,1.0,87.0,27.0,53.0,52.0,45.0,64.0,25.0,4.0,4.0,4.0,1.0,2.0,2.0,79.0,55.0,0.6,18,18,18,8,False
eclipse.jdt.core,Class,org.eclipse.jdt.internal.eval.CodeSnippetToCuMapper,3.0,3.0,3.0,1.0,34.0,2.0,27.0,8.0,2.0,4.0,0.0,0.0,0.0,7.0,7.0,7.0,12.0,0.0,1.0,0.0,6.0,289.0,18.0,204.0,26.0,146.0,86.0,115.0,159.0,48.0,8.0,8.0,10.0,6.0,1.0,2.0,66.0,51.0,0.42,21,21,24,12,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.compiler.ast.LocalDeclaration,6.0,6.0,8.0,1.0,33.0,2.0,24.0,6.0,1.0,19.0,3.0,0.0,0.0,6.0,40.0,6.0,1.0,0.0,0.0,0.0,6.0,219.0,24.0,151.0,23.0,103.0,50.0,57.0,94.0,16.0,17.0,17.0,24.0,5.0,4.0,4.0,50.0,50.0,0.33,37,37,48,10,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.core.builder.SourceFile,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,2.0,5.0,0.0,0.0,0.0,9.0,9.0,9.0,4.0,2.0,0.0,0.0,7.0,91.0,13.0,67.0,29.0,41.0,17.0,44.0,59.0,31.0,3.0,3.0,4.0,3.0,1.0,1.0,58.0,58.0,0.25,14,14,15,11,False
eclipse.jdt.core,Anonymous Class,org.eclipse.jdt.internal.compiler.batch.Main.getBatchRequestor.(Anon_1),12.0,12.0,16.0,1.0,57.0,0.0,56.0,10.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,59.0,0.0,58.0,4.0,49.0,10.0,27.0,38.0,7.0,12.0,12.0,16.0,1.0,1.0,4.0,0.0,0.0,0.17,12,12,16,1,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.core.search.matching.SuperTypeNamesCollector,4.0,4.0,4.0,2.0,26.0,1.0,23.0,2.0,2.0,46.0,0.0,0.0,0.0,11.0,11.0,11.0,8.0,0.0,3.0,4.0,4.0,381.0,23.0,307.0,84.0,206.0,67.0,133.0,198.0,80.0,18.0,18.0,18.0,8.0,1.0,7.0,73.0,63.0,0.22,47,47,49,25,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.compiler.ast.ConstructorDeclaration,6.0,6.0,7.0,1.0,30.0,2.0,25.0,3.0,1.0,36.0,1.0,0.0,1.0,13.0,51.0,13.0,2.0,0.0,1.0,0.0,12.0,429.0,50.0,333.0,73.0,223.0,60.0,168.0,249.0,73.0,20.0,20.0,25.0,5.0,3.0,5.0,61.0,57.0,0.18,84,84,99,21,False
eclipse.jdt.core,Public Static Class,org.eclipse.jdt.core.dom.PrimitiveType.Code,1.0,1.0,1.0,1.0,10.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,43.0,3.0,9.0,4.0,2.0,31.0,3.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.44,2,2,2,2,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.compiler.ast.EqualExpression,11.0,10.0,12.0,6.0,48.0,1.0,39.0,9.0,1.0,14.0,0.0,0.0,0.0,11.0,101.0,11.0,0.0,0.0,0.0,0.0,11.0,547.0,19.0,439.0,27.0,320.0,115.0,168.0,284.0,29.0,41.0,37.0,43.0,37.0,6.0,8.0,0.0,0.0,0.26,125,119,138,68,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.compiler.ast.Initializer,1.0,1.0,1.0,1.0,9.0,1.0,7.0,1.0,1.0,13.0,0.0,0.0,0.0,9.0,52.0,9.0,4.0,0.0,0.0,0.0,9.0,106.0,18.0,70.0,23.0,35.0,19.0,29.0,45.0,17.0,3.0,3.0,4.0,1.0,5.0,3.0,80.0,80.0,0.27,14,14,15,9,False
eclipse.jdt.core,Anonymous Class,org.eclipse.jdt.internal.compiler.DefaultErrorHandlingPolicies.proceedWithAllProblems.(Anon_4),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,7.0,0.0,5.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,2,2,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.codeassist.select.SelectionOnSuperReference,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,78.0,3.0,0.0,0.0,0.0,0.0,3.0,29.0,3.0,16.0,5.0,8.0,11.0,6.0,11.0,5.0,2.0,2.0,3.0,1.0,7.0,1.0,0.0,0.0,0.69,4,4,5,3,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.codeassist.complete.CompletionOnKeyword2,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,22.0,4.0,2.0,0.0,0.0,0.0,4.0,29.0,1.0,18.0,7.0,6.0,11.0,8.0,13.0,7.0,1.0,1.0,1.0,1.0,3.0,0.0,37.0,37.0,0.61,4,4,4,4,False
eclipse.jdt.core,Anonymous Class,org.eclipse.jdt.internal.core.builder.BatchImageBuilder.copyExtraResourcesBack.(Anon_3),11.0,10.0,15.0,11.0,37.0,3.0,34.0,3.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,38.0,3.0,35.0,6.0,31.0,3.0,22.0,32.0,7.0,11.0,10.0,15.0,11.0,2.0,3.0,0.0,0.0,0.09,11,10,15,11,False
eclipse.jdt.core,Public Class,org.eclipse.jdt.core.Flags,1.0,1.0,1.0,1.0,12.0,0.0,4.0,8.0,1.0,1.0,0.0,15.0,16.0,16.0,16.0,1.0,0.0,0.0,1.0,0.0,15.0,302.0,4.0,92.0,35.0,58.0,218.0,46.0,75.0,35.0,13.0,13.0,13.0,1.0,1.0,1.0,0.0,0.0,2.37,28,28,28,16,True
eclipse.jdt.core,Public Abstract Class,org.eclipse.jdt.core.util.ClassFileBytesDisassembler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,63.0,5.0,7.0,6.0,2.0,51.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.29,0,0,0,0,True
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.codeassist.complete.CompletionOnSingleNameReference,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,86.0,4.0,2.0,0.0,0.0,0.0,4.0,35.0,6.0,19.0,7.0,7.0,11.0,9.0,14.0,7.0,1.0,1.0,1.0,1.0,7.0,0.0,75.0,50.0,0.58,4,4,4,4,True
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.codeassist.complete.CompletionScanner,28.0,24.0,41.0,18.0,111.0,3.0,99.0,12.0,1.0,3.0,0.0,0.0,1.0,6.0,48.0,6.0,5.0,0.0,0.0,0.0,6.0,706.0,23.0,607.0,36.0,472.0,105.0,239.0,381.0,41.0,148.0,122.0,208.0,100.0,2.0,8.0,63.0,63.0,0.17,170,144,248,113,True
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.codeassist.impl.AssistOptions,14.0,14.0,14.0,8.0,49.0,1.0,44.0,3.0,1.0,1.0,0.0,0.0,12.0,2.0,2.0,2.0,10.0,0.0,0.0,0.0,2.0,148.0,5.0,123.0,39.0,95.0,32.0,59.0,88.0,29.0,27.0,27.0,27.0,15.0,1.0,3.0,50.0,50.0,0.26,28,28,28,16,True
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.compiler.flow.FlowContext,3.0,3.0,4.0,2.0,16.0,1.0,13.0,2.0,2.0,17.0,4.0,0.0,1.0,25.0,25.0,25.0,2.0,2.0,0.0,0.0,23.0,475.0,61.0,347.0,78.0,211.0,79.0,143.0,232.0,75.0,28.0,27.0,32.0,13.0,1.0,8.0,74.0,74.0,0.23,90,88,101,61,True
eclipse.jdt.core,Public Abstract Class,org.eclipse.jdt.internal.compiler.flow.FlowInfo,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,4.0,2.0,2.0,3.0,22.0,22.0,20.0,0.0,0.0,0.0,0.0,22.0,114.0,28.0,44.0,28.0,12.0,44.0,30.0,36.0,27.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,5,5,5,4,True
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.compiler.flow.InitializationFlowContext,1.0,1.0,1.0,1.0,16.0,0.0,15.0,0.0,1.0,7.0,0.0,0.0,0.0,4.0,37.0,4.0,4.0,0.0,0.0,0.0,4.0,90.0,7.0,68.0,22.0,43.0,17.0,21.0,29.0,13.0,2.0,2.0,2.0,1.0,3.0,1.0,31.0,31.0,0.25,7,7,7,4,True
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.compiler.flow.UnconditionalFlowInfo,3.0,3.0,3.0,2.0,18.0,1.0,12.0,4.0,1.0,5.0,0.0,1.0,1.0,27.0,49.0,26.0,6.0,2.0,4.0,0.0,21.0,553.0,75.0,355.0,65.0,232.0,143.0,170.0,270.0,68.0,14.0,14.0,14.0,5.0,2.0,4.0,66.0,51.0,0.4,99,99,100,56,True
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.compiler.problem.ProblemHandler,3.0,3.0,3.0,2.0,20.0,1.0,17.0,2.0,2.0,7.0,1.0,1.0,1.0,7.0,7.0,6.0,3.0,0.0,0.0,0.0,7.0,170.0,11.0,127.0,43.0,74.0,37.0,34.0,54.0,17.0,10.0,9.0,10.0,7.0,1.0,2.0,76.0,61.0,0.29,22,21,22,17,True
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.core.hierarchy.HierarchyType,1.0,1.0,1.0,1.0,9.0,0.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,6.0,6.0,6.0,7.0,0.0,0.0,0.0,6.0,82.0,3.0,40.0,21.0,12.0,39.0,19.0,26.0,14.0,1.0,1.0,1.0,1.0,1.0,0.0,73.0,73.0,0.97,6,6,6,6,True
eclipse.jdt.core,Public Class,org.eclipse.jdt.internal.core.search.matching.ConstructorDeclarationPattern,6.0,6.0,6.0,4.0,23.0,2.0,18.0,4.0,1.0,14.0,0.0,0.0,0.0,9.0,56.0,9.0,1.0,0.0,0.0,2.0,7.0,226.0,23.0,166.0,35.0,124.0,49.0,88.0,137.0,38.0,13.0,12.0,14.0,10.0,4.0,3.0,66.0,66.0,0.3,60,55,62,40,True
