project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
elasticsearch,Anonymous Class,org.elasticsearch.common.inject.InjectorImpl.InjectorImpl.(Anon_1),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
elasticsearch,Anonymous Class,org.elasticsearch.indices.analysis.IndicesAnalysisService.IndicesAnalysisService.(Anon_30),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,9.0,0.0,7.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,2,2,False
elasticsearch,Class,org.elasticsearch.rest.action.admin.cluster.node.stats.RestNodesStatsAction.RestThreadPoolHandler,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,8.0,4.0,3.0,0.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,False
elasticsearch,Public Class,org.elasticsearch.action.search.type.TransportSearchDfsQueryThenFetchAction,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,14.0,2.0,0.0,0.0,0.0,1.0,1.0,241.0,26.0,212.0,49.0,137.0,3.0,78.0,136.0,56.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.01,2,2,2,2,False
elasticsearch,Class,org.elasticsearch.rest.action.admin.indices.stats.RestIndicesStatsAction.RestSearchStatsHandler,4.0,4.0,4.0,1.0,38.0,2.0,36.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,42.0,3.0,39.0,5.0,29.0,0.0,17.0,26.0,6.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4,4,4,1,False
elasticsearch,Class,org.elasticsearch.common.lucene.docset.AndDocSet.AndDocIdSetIterator,4.0,4.0,4.0,4.0,19.0,1.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,3.0,89.0,8.0,81.0,23.0,57.0,2.0,42.0,62.0,21.0,6.0,6.0,6.0,6.0,2.0,4.0,12.0,12.0,0.02,19,19,19,17,False
elasticsearch,Static Class,org.elasticsearch.transport.TransportService.TimeoutInfoHolder,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,1.0,0.0,0.0,4.0,33.0,9.0,24.0,10.0,8.0,0.0,12.0,18.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,60.0,60.0,0.0,5,5,5,5,False
elasticsearch,Anonymous Class,org.elasticsearch.search.facet.datehistogram.DateHistogramFacet.ComparatorType.(Anon_3),6.0,6.0,6.0,4.0,13.0,0.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,1.0,14.0,3.0,7.0,1.0,4.0,8.0,1.0,6.0,6.0,6.0,4.0,2.0,2.0,0.0,0.0,0.07,6,6,6,4,False
elasticsearch,Public Class,org.elasticsearch.search.facet.range.RangeFacetProcessor,10.0,10.0,11.0,1.0,33.0,1.0,30.0,0.0,2.0,15.0,0.0,0.0,0.0,4.0,11.0,4.0,0.0,0.0,0.0,0.0,4.0,145.0,11.0,128.0,25.0,88.0,6.0,52.0,96.0,24.0,32.0,32.0,38.0,3.0,2.0,6.0,0.0,0.0,0.05,41,41,47,6,False
elasticsearch,Public Class,org.elasticsearch.index.mapper.SourceToParse,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,25.0,25.0,22.0,11.0,0.0,0.0,0.0,25.0,142.0,34.0,105.0,37.0,43.0,3.0,53.0,79.0,37.0,1.0,1.0,1.0,1.0,1.0,0.0,88.0,84.0,0.03,25,25,25,25,False
