project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
hadoop,Public Class,org.apache.hadoop.benchmarks.mapred.BenchmarkMapper,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,21,4,10,5,3,7,3,6,4,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,0.7,2,2,2,2,False
hadoop,Public Class,org.apache.hadoop.benchmarks.mapred.BenchmarkReducer,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,20,3,11,4,3,6,2,6,3,2.0,2.0,2.0,1.0,2.0,1,0.0,0.0,0.55,3,3,3,2,False
hadoop,Public Class,org.apache.hadoop.benchmarks.mapred.BenchmarkRunner,2.0,2.0,2.0,1.0,11.0,0.0,11.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19,1,13,3,7,5,4,7,3,2.0,2.0,2.0,1.0,1.0,1,0.0,0.0,0.38,2,2,2,1,False
hadoop,Public Class,org.apache.hadoop.benchmarks.mapred.GenData,3.0,3.0,3.0,1.0,15.0,2.0,12.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,55,11,43,11,29,1,27,37,15,7.0,5.0,7.0,1.0,1.0,2,0.0,0.0,0.02,11,9,11,3,False
hadoop,Public Class,org.apache.hadoop.benchmarks.mapred.MultiJobRunner,1.0,1.0,1.0,1.0,11.0,1.0,8.0,1.0,1.0,13.0,0.0,1.0,2.0,29.0,29.0,28.0,10.0,0.0,7.0,0.0,22.0,386,71,261,81,179,58,144,202,80,18.0,18.0,18.0,1.0,1.0,3,87.0,81.0,0.22,57,57,57,29,False
hadoop,Public Class,org.apache.hadoop.conf.Configuration,2.0,2.0,2.0,1.0,11.0,0.0,8.0,2.0,1.0,3.0,1.0,1.0,3.0,45.0,45.0,44.0,6.0,0.0,7.0,0.0,38.0,623,65,415,121,271,152,209,318,121,22.0,22.0,24.0,8.0,1.0,4,92.0,44.0,0.37,110,110,115,77,False
hadoop,Public Class,org.apache.hadoop.conf.Configured,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,38,5,12,5,3,21,4,8,5,1.0,1.0,1.0,1.0,1.0,0,33.0,0.0,1.75,3,3,3,3,False
hadoop,Public Class,org.apache.hadoop.dfs.AlreadyBeingCreatedException,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10,0,5,2,1,5,1,3,2,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,1.0,1,1,1,1,False
hadoop,Class,org.apache.hadoop.dfs.Block,1.0,1.0,1.0,1.0,5.0,0.0,4.0,1.0,3.0,1.0,0.0,1.0,0.0,14.0,14.0,13.0,2.0,0.0,0.0,0.0,14.0,135,14,75,21,38,47,31,51,21,3.0,3.0,3.0,3.0,1.0,1,50.0,35.0,0.63,18,18,18,16,False
hadoop,Anonymous Class,org.apache.hadoop.dfs.Block.(Anon_1),1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0,2,0,2,0,1,2,1,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1,1,1,1,False
hadoop,Class,org.apache.hadoop.dfs.BlockCommand,1.0,1.0,1.0,1.0,8.0,0.0,7.0,1.0,2.0,6.0,0.0,0.0,0.0,8.0,8.0,8.0,3.0,0.0,0.0,0.0,8.0,117,11,68,13,39,39,44,60,19,4.0,4.0,4.0,1.0,1.0,2,25.0,16.0,0.57,14,14,14,8,False
hadoop,Anonymous Class,org.apache.hadoop.dfs.BlockCommand.(Anon_1),1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0,2,0,2,0,1,2,1,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1,1,1,1,False
hadoop,Public Class,org.apache.hadoop.dfs.DFSAdmin,4.0,4.0,4.0,3.0,30.0,1.0,23.0,6.0,1.0,8.0,0.0,1.0,0.0,6.0,42.0,5.0,0.0,0.0,0.0,0.0,6.0,215,14,141,24,110,60,71,98,23,13.0,13.0,13.0,8.0,3.0,2,0.0,0.0,0.43,29,29,29,18,False
hadoop,Class,org.apache.hadoop.dfs.DFSClient,1.0,1.0,1.0,1.0,12.0,0.0,8.0,4.0,2.0,19.0,0.0,0.0,4.0,26.0,26.0,26.0,10.0,0.0,2.0,0.0,24.0,1277,98,904,223,594,275,436,632,199,7.0,7.0,8.0,4.0,1.0,4,87.0,82.0,0.3,49,49,50,32,False
hadoop,Private Static Class,org.apache.hadoop.dfs.DFSClient.ClientFinalizer,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,27,2,20,6,11,5,7,13,6,4.0,4.0,4.0,1.0,2.0,3,0.0,0.0,0.25,5,5,5,2,False
hadoop,Class,org.apache.hadoop.dfs.DFSClient.DFSInputStream,4.0,4.0,4.0,1.0,24.0,0.0,20.0,3.0,1.0,10.0,0.0,0.0,0.0,15.0,20.0,15.0,9.0,1.0,3.0,0.0,11.0,399,29,312,73,224,58,170,238,74,12.0,12.0,13.0,5.0,3.0,5,70.0,59.0,0.19,67,67,72,27,False
hadoop,Class,org.apache.hadoop.dfs.DFSClient.DFSOutputStream,4.0,4.0,4.0,1.0,26.0,1.0,21.0,4.0,1.0,15.0,0.0,0.0,0.0,14.0,15.0,14.0,18.0,0.0,8.0,0.0,6.0,412,34,315,63,221,63,155,216,56,9.0,9.0,10.0,4.0,3.0,5,75.0,51.0,0.2,60,60,65,22,False
hadoop,Private Static Class,org.apache.hadoop.dfs.DFSClient.DNAddrPair,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,9,0,8,4,2,1,4,6,4,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.13,1,1,1,1,False
hadoop,Class,org.apache.hadoop.dfs.DFSClient.LeaseChecker,6.0,6.0,6.0,1.0,22.0,0.0,20.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,28,0,22,4,14,6,6,13,4,6.0,6.0,6.0,1.0,1.0,4,0.0,0.0,0.27,6,6,6,1,False
hadoop,Class,org.apache.hadoop.dfs.DFSFileInfo,1.0,1.0,1.0,1.0,6.0,0.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,12.0,12.0,12.0,6.0,0.0,0.0,0.0,12.0,131,13,69,20,35,50,36,51,20,2.0,2.0,2.0,1.0,1.0,1,63.0,63.0,0.72,13,13,13,12,False
hadoop,Anonymous Class,org.apache.hadoop.dfs.DFSFileInfo.(Anon_1),1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0,2,0,2,0,1,2,1,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1,1,1,1,False
hadoop,Public Class,org.apache.hadoop.dfs.DFSShell,4.0,4.0,5.0,1.0,24.0,0.0,17.0,6.0,1.0,8.0,1.0,3.0,0.0,30.0,36.0,27.0,1.0,9.0,9.0,0.0,12.0,794,48,514,83,382,232,246,371,91,32.0,32.0,43.0,10.0,2.0,3,30.0,19.0,0.45,133,133,162,39,False
hadoop,Public Class,org.apache.hadoop.dfs.DFSck,3.0,3.0,3.0,1.0,13.0,0.0,11.0,2.0,1.0,1.0,0.0,1.0,1.0,5.0,11.0,4.0,0.0,1.0,1.0,0.0,3.0,116,5,61,20,43,51,41,59,21,11.0,11.0,11.0,4.0,2.0,2,0.0,0.0,0.84,16,16,16,8,False
hadoop,Public Class,org.apache.hadoop.dfs.DataNode,3.0,3.0,3.0,1.0,25.0,0.0,17.0,6.0,3.0,24.0,0.0,7.0,5.0,18.0,18.0,11.0,13.0,3.0,4.0,0.0,11.0,1107,75,764,160,558,275,379,533,158,18.0,15.0,19.0,7.0,1.0,5,85.0,61.0,0.36,67,64,68,31,False
hadoop,Private Static Class,org.apache.hadoop.dfs.DataNode.Count,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,3.0,0.0,0.0,2.0,8,0,8,7,6,0,6,12,7,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,5,5,5,5,False
hadoop,Private Class,org.apache.hadoop.dfs.DataNode.DataNodeMetrics,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,45,9,36,15,20,0,20,28,15,1.0,1.0,1.0,1.0,1.0,0,73.0,73.0,0.0,7,7,7,7,False
hadoop,Class,org.apache.hadoop.dfs.DataNode.DataTransfer,2.0,2.0,2.0,1.0,29.0,0.0,22.0,6.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,70,3,50,12,35,17,32,40,13,4.0,4.0,4.0,1.0,1.0,4,0.0,0.0,0.34,5,5,5,2,False
hadoop,Class,org.apache.hadoop.dfs.DataNode.DataXceiveServer,2.0,2.0,2.0,1.0,10.0,0.0,9.0,1.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,41,1,31,8,19,9,14,21,8,4.0,4.0,4.0,1.0,1.0,2,16.0,16.0,0.29,7,7,7,3,False
hadoop,Class,org.apache.hadoop.dfs.DataNode.DataXceiver,13.0,13.0,14.0,1.0,95.0,3.0,74.0,16.0,2.0,11.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,2.0,0.0,2.0,389,17,302,42,239,70,153,213,44,31.0,31.0,31.0,1.0,1.0,8,0.0,0.0,0.23,54,54,58,4,False
hadoop,Class,org.apache.hadoop.dfs.DataStorage,2.0,2.0,2.0,1.0,10.0,0.0,6.0,3.0,1.0,4.0,0.0,0.0,2.0,15.0,15.0,15.0,7.0,0.0,5.0,0.0,10.0,203,24,110,35,68,72,66,97,39,8.0,8.0,8.0,1.0,1.0,3,74.0,62.0,0.65,30,30,30,15,False
hadoop,Class,org.apache.hadoop.dfs.DatanodeDescriptor,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,34.0,10.0,2.0,10.0,0.0,0.0,0.0,94,11,47,16,21,36,22,34,14,2.0,2.0,2.0,1.0,3.0,1,70.0,70.0,0.77,11,11,11,10,False
hadoop,Public Class,org.apache.hadoop.dfs.DatanodeID,1.0,1.0,1.0,1.0,7.0,0.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,14.0,14.0,14.0,3.0,1.0,0.0,0.0,13.0,129,15,60,19,26,57,26,42,19,2.0,2.0,2.0,1.0,1.0,1,50.0,35.0,0.95,15,15,16,14,False
hadoop,Public Class,org.apache.hadoop.dfs.DatanodeInfo,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,10.0,24.0,10.0,4.0,3.0,0.0,0.0,7.0,106,11,60,20,40,36,41,53,20,1.0,1.0,1.0,1.0,2.0,0,47.0,42.0,0.6,10,10,10,10,False
hadoop,Anonymous Class,org.apache.hadoop.dfs.DatanodeInfo.(Anon_1),1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0,2,0,2,0,1,2,1,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1,1,1,1,False
hadoop,Class,org.apache.hadoop.dfs.DatanodeRegistration,1.0,1.0,1.0,1.0,7.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,6.0,20.0,6.0,2.0,0.0,0.0,0.0,6.0,71,7,39,14,17,28,16,24,10,1.0,1.0,1.0,1.0,2.0,0,33.0,16.0,0.72,6,6,6,6,False
hadoop,Anonymous Class,org.apache.hadoop.dfs.DatanodeRegistration.(Anon_1),1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0,2,0,2,0,1,2,1,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1,1,1,1,False
hadoop,Class,org.apache.hadoop.dfs.DfsPath,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,23.0,7.0,1.0,0.0,0.0,0.0,7.0,49,2,25,9,8,22,9,17,9,1.0,1.0,1.0,1.0,2.0,0,14.0,0.0,0.88,7,7,7,7,False
hadoop,Public Class,org.apache.hadoop.dfs.DistributedFileSystem,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,12.0,0.0,0.0,0.0,38.0,98.0,38.0,4.0,1.0,2.0,0.0,35.0,257,44,162,61,64,51,62,108,51,3.0,3.0,3.0,1.0,3.0,2,76.0,63.0,0.31,46,46,46,38,False
hadoop,Class,org.apache.hadoop.dfs.FSDataset,1.0,1.0,1.0,1.0,12.0,0.0,8.0,4.0,2.0,6.0,0.0,0.0,0.0,13.0,13.0,13.0,5.0,2.0,0.0,0.0,11.0,541,58,373,95,216,110,195,301,114,3.0,3.0,3.0,1.0,1.0,2,70.0,64.0,0.29,22,22,24,13,False
hadoop,Class,org.apache.hadoop.dfs.FSDataset.FSDir,4.0,4.0,5.0,1.0,16.0,0.0,14.0,1.0,1.0,5.0,0.0,0.0,0.0,8.0,8.0,8.0,5.0,3.0,0.0,0.0,5.0,152,12,123,23,75,17,62,101,32,9.0,9.0,9.0,4.0,1.0,4,37.0,37.0,0.14,39,39,41,11,False
hadoop,Class,org.apache.hadoop.dfs.FSDataset.FSVolume,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,7.0,0.0,0.0,1.0,12.0,12.0,12.0,6.0,11.0,0.0,0.0,1.0,91,13,76,21,39,2,33,52,21,4.0,4.0,4.0,1.0,1.0,2,70.0,70.0,0.03,18,18,18,12,False
