project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
hbase,Private Static Class,org.apache.hadoop.hbase.thrift.generated.Hbase.getVer_result.getVer_resultStandardScheme,6.0,5.0,6.0,2.0,36.0,1.0,34.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,77.0,5.0,71.0,6.0,47.0,4.0,37.0,50.0,8.0,8.0,7.0,8.0,3.0,2.0,4.0,0.0,0.0,0.06,12,11,12,4,False
hbase,Private Static Class,org.apache.hadoop.hbase.thrift.generated.Hbase.scannerOpenTs_result.scannerOpenTs_resultStandardSchemeFactory,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,False
hbase,Public Class,org.apache.hadoop.hbase.client.Append,2.0,2.0,2.0,1.0,13.0,0.0,10.0,3.0,1.0,3.0,0.0,0.0,2.0,7.0,36.0,7.0,0.0,0.0,0.0,0.0,7.0,122.0,7.0,80.0,27.0,54.0,35.0,50.0,69.0,28.0,5.0,5.0,5.0,1.0,4.0,2.0,0.0,0.0,0.44,16,16,16,7,False
hbase,Public Class,org.apache.hadoop.hbase.mapred.TableInputFormat,3.0,3.0,4.0,1.0,17.0,1.0,14.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,9.0,2.0,1.0,0.0,0.0,0.0,2.0,66.0,5.0,33.0,12.0,22.0,28.0,17.0,25.0,12.0,4.0,4.0,6.0,1.0,2.0,1.0,50.0,50.0,0.85,7,7,9,2,False
hbase,Public Static Class,org.apache.hadoop.hbase.executor.ExecutorService.RunningEventStatus,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,13.0,1.0,8.0,4.0,2.0,4.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1,1,1,1,False
hbase,Public Static Class,org.apache.hadoop.hbase.thrift.generated.Hbase.isTableEnabled_args,1.0,1.0,2.0,1.0,6.0,0.0,5.0,0.0,4.0,3.0,0.0,0.0,4.0,26.0,26.0,26.0,2.0,0.0,2.0,0.0,24.0,374.0,60.0,283.0,76.0,149.0,34.0,112.0,187.0,66.0,5.0,5.0,9.0,5.0,1.0,2.0,76.0,65.0,0.12,48,48,52,36,False
hbase,Private Static Class,org.apache.hadoop.hbase.thrift2.generated.THBaseService.checkAndDelete_args.checkAndDelete_argsTupleSchemeFactory,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,False
hbase,Public Class,org.apache.hadoop.hbase.regionserver.ShutdownHook,4.0,4.0,4.0,2.0,35.0,0.0,22.0,13.0,1.0,5.0,0.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,241.0,12.0,130.0,43.0,80.0,99.0,62.0,90.0,38.0,10.0,10.0,11.0,5.0,1.0,3.0,0.0,0.0,0.76,13,13,14,7,False
hbase,Anonymous Class,org.apache.hadoop.hbase.util.Bytes.iterateOnSplits.(Anon_2),2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,27.0,4.0,23.0,3.0,20.0,0.0,11.0,17.0,6.0,4.0,4.0,4.0,3.0,2.0,1.0,33.0,33.0,0.0,6,6,6,5,False
hbase,Public Class,org.apache.hadoop.hbase.HConstants,1.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,139.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,638.0,138.0,187.0,180.0,145.0,313.0,140.0,143.0,143.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0,100.0,1.67,1,1,1,1,True
hbase,Public Class,org.apache.hadoop.hbase.filter.ParseConstants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,43.0,59.0,59.0,56.0,152.0,54.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.58,0,0,0,0,True
hbase,Public Class,org.apache.hadoop.hbase.security.HBaseSaslRpcServer,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,0.0,6.0,4.0,6.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,230.0,28.0,188.0,73.0,100.0,16.0,76.0,118.0,55.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.09,9,9,9,6,True
