project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
hive,Public Static Class,org.apache.hadoop.hive.ql.QTestUtil.QTRunner,1.0,1.0,1.0,1.0,8.0,0.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,27,2,19,5,10,6,9,13,5,2.0,2.0,2.0,1.0,1.0,1,0.0,0.0,0.32,3,3,3,2,False
hive,Public Class,org.apache.hadoop.hive.ql.udf.UDAFWrongArgLengthForTestCase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,64,10,29,11,10,25,10,19,10,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.86,0,0,0,0,False
hive,Public Class,org.apache.hadoop.hive.ql.io.TestHiveBinarySearchRecordReader,1.0,1.0,1.0,1.0,12.0,0.0,10.0,0.0,1.0,11.0,0.0,1.0,0.0,15.0,15.0,14.0,5.0,0.0,3.0,0.0,12.0,286,43,210,44,142,33,146,173,35,1.0,1.0,1.0,1.0,2.0,0,56.0,12.0,0.16,15,15,15,15,False
hive,Public Static Class,org.apache.hadoop.hive.thrift.HadoopThriftAuthBridge20S.Server,2.0,2.0,2.0,1.0,14.0,0.0,11.0,2.0,1.0,7.0,1.0,0.0,15.0,10.0,17.0,10.0,2.0,0.0,1.0,1.0,8.0,372,27,298,109,181,55,116,171,78,4.0,4.0,6.0,3.0,2.0,1,60.0,60.0,0.18,20,20,22,12,False
hive,Public Static Class,org.apache.hadoop.hive.service.ThriftHive.fetchN_args,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,4.0,1.0,0.0,0.0,4.0,24.0,24.0,24.0,3.0,0.0,2.0,0.0,22.0,293,48,226,58,127,22,98,154,51,5.0,5.0,7.0,5.0,1.0,3,79.0,59.0,0.1,45,45,47,36,False
hive,Private Static Generic Class,org.apache.hadoop.hive.metastore.api.ThriftHiveMetastore.Processor.get_databases,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,19,2,17,5,8,0,6,11,5,2.0,2.0,2.0,1.0,2.0,1,0.0,0.0,0.0,4,4,4,3,False
hive,Public Class,org.apache.hadoop.hive.ql.metadata.formatting.TextMetaDataFormatter,6.0,6.0,6.0,1.0,32.0,1.0,28.0,3.0,2.0,13.0,0.0,0.0,3.0,12.0,12.0,12.0,0.0,0.0,1.0,0.0,11.0,431,28,341,71,225,62,158,231,56,29.0,29.0,30.0,7.0,1.0,6,0.0,0.0,0.18,75,75,77,18,False
hive,Public Class,org.apache.hadoop.hive.ql.plan.PartitionDesc,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,3.0,12.0,0.0,0.0,1.0,27.0,27.0,27.0,8.0,1.0,0.0,0.0,26.0,265,30,193,63,96,43,82,123,44,4.0,4.0,4.0,1.0,1.0,2,75.0,69.0,0.22,41,41,46,27,False
hive,Public Static Class,org.apache.hadoop.hive.metastore.api.ThriftHiveMetastore.AsyncClient.create_role_call,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,24,2,22,8,12,0,12,17,8,2.0,2.0,2.0,1.0,2.0,1,33.0,33.0,0.0,4,4,4,3,False
hive,Public Static Class,org.apache.hadoop.hive.service.ThriftHive.fetchN_result,2.0,2.0,2.0,1.0,9.0,0.0,8.0,0.0,4.0,2.0,0.0,0.0,4.0,32.0,32.0,32.0,3.0,0.0,2.0,0.0,30.0,417,59,339,73,197,26,141,228,67,8.0,8.0,16.0,8.0,1.0,4,69.0,55.0,0.08,80,76,88,50,False
