project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
ivy,Public Class,console.Main,2.0,2.0,2.0,2.0,11.0,0.0,11.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,4.0,1.0,0.0,0.0,3.0,0.0,1.0,56,5,51,15,34,0,27,37,13,6.0,6.0,6.0,6.0,1.0,2,0.0,0.0,0.0,9,9,9,9,False
ivy,Public Class,depending.Main,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,21,1,17,6,10,3,6,10,5,2.0,2.0,2.0,1.0,1.0,1,0.0,0.0,0.18,3,3,3,2,False
ivy,Public Class,example.ConfigurationsExample,3.0,3.0,3.0,1.0,16.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,37,3,34,9,24,0,16,23,9,5.0,5.0,5.0,1.0,1.0,2,0.0,0.0,0.0,6,6,6,2,False
ivy,Public Class,example.Hello,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,16,1,12,4,6,3,4,7,4,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.25,2,2,2,2,False
ivy,Public Class,example.Hello,1.0,1.0,1.0,1.0,9.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,24,3,18,9,12,3,8,11,8,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.17,2,2,2,2,False
ivy,Public Class,example.Hello,1.0,1.0,1.0,1.0,10.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,28,4,20,8,14,5,12,15,8,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.25,2,2,2,2,False
ivy,Public Abstract Class,filter.AbstractTestFilter,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,1.0,2.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,50,6,41,13,25,3,19,28,12,2.0,2.0,2.0,1.0,2.0,1,0.0,0.0,0.07,8,8,8,5,False
ivy,Public Class,filter.FilterProvider,2.0,2.0,2.0,2.0,8.0,0.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,20,2,18,5,10,0,6,11,5,3.0,3.0,3.0,3.0,1.0,2,0.0,0.0,0.0,4,4,4,4,False
ivy,Public Class,filter.ccimpl.CCFilter,3.0,3.0,3.0,3.0,16.0,1.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,19,2,17,3,10,0,6,11,4,3.0,3.0,3.0,3.0,1.0,0,0.0,0.0,0.0,3,3,3,3,False
ivy,Anonymous Class,filter.ccimpl.CCFilter.filter.(Anon_1),1.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4,0,4,0,3,0,1,2,1,1.0,1.0,2.0,1.0,2.0,0,0.0,0.0,0.0,1,1,2,1,False
ivy,Public Class,filter.ccimpl.CCFilterTest,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,5,0,5,2,1,0,1,3,2,1.0,1.0,1.0,1.0,3.0,0,0.0,0.0,0.0,1,1,1,1,False
ivy,Public Class,filter.hmimpl.HMFilter,5.0,5.0,6.0,3.0,16.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,19,1,18,4,10,0,8,14,5,5.0,5.0,6.0,3.0,1.0,2,0.0,0.0,0.0,5,5,6,3,False
ivy,Public Class,filter.hmimpl.HMFilterTest,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,5,0,5,2,1,0,1,3,2,1.0,1.0,1.0,1.0,3.0,0,0.0,0.0,0.0,1,1,1,1,False
ivy,Public Class,find.FindFile,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,20,3,17,5,6,0,4,9,5,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,3,3,3,3,False
ivy,Anonymous Class,find.FindFile.find.(Anon_1),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4,0,4,0,3,0,1,2,1,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,1,1,1,1,False
ivy,Public Class,find.Main,1.0,1.0,1.0,1.0,13.0,1.0,11.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,44,7,36,16,26,1,19,24,15,3.0,3.0,3.0,1.0,1.0,2,0.0,0.0,0.03,5,5,5,3,False
ivy,Public Class,list.ListFile,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,26,4,22,7,10,0,9,15,7,3.0,3.0,3.0,1.0,1.0,2,0.0,0.0,0.0,5,5,5,3,False
