project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
lucene,Public Class,org.apache.lucene.search.TopFieldDocs,1.0,1.0,1.0,1.0,10.0,0.0,4.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,35.0,2.0,7.0,4.0,2.0,26.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.71,1,1,1,1,False
lucene,Public Class,org.apache.lucene.facet.example.association.AssociationSearcher,1.0,1.0,1.0,1.0,19.0,4.0,12.0,3.0,1.0,9.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,65.0,11.0,26.0,17.0,18.0,28.0,14.0,17.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.08,2,2,2,2,False
lucene,Public Class,org.apache.lucene.queryParser.surround.query.SingleFieldTestDb,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,11.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0,1.0,44.0,2.0,26.0,11.0,17.0,16.0,17.0,24.0,11.0,3.0,3.0,3.0,1.0,1.0,2.0,50.0,50.0,0.62,6,6,6,4,False
lucene,Private Static Class,org.apache.lucene.search.function.TestCustomScoreQuery.CustomMulAddQuery,1.0,1.0,1.0,1.0,13.0,0.0,12.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,31.0,3.0,0.0,1.0,0.0,1.0,1.0,48.0,3.0,41.0,8.0,25.0,5.0,16.0,26.0,8.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.12,3,3,3,3,False
lucene,Anonymous Class,org.apache.solr.search.ValueSourceParser.(Anon_50),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Class,org.apache.solr.servlet.CacheHeaderTest,1.0,1.0,1.0,1.0,22.0,2.0,18.0,1.0,1.0,0.0,0.0,1.0,2.0,9.0,151.0,8.0,0.0,0.0,0.0,6.0,3.0,243.0,36.0,174.0,36.0,145.0,33.0,114.0,127.0,29.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.19,12,12,13,9,False
lucene,Public Class,org.apache.lucene.analysis.wikipedia.WikipediaTokenizer,1.0,1.0,2.0,1.0,13.0,0.0,10.0,3.0,1.0,8.0,0.0,0.0,33.0,13.0,53.0,13.0,10.0,0.0,5.0,0.0,8.0,316.0,21.0,198.0,85.0,151.0,98.0,128.0,154.0,82.0,7.0,7.0,11.0,3.0,4.0,2.0,74.0,61.0,0.49,25,25,33,15,False
lucene,Anonymous Class,org.apache.lucene.analysis.fr.TestFrenchMinimalStemFilter.testEmptyTerm.(Anon_2),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,6.0,2.0,5.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Abstract Class,org.apache.lucene.facet.index.streaming.CategoryListTokenizer,1.0,1.0,1.0,1.0,6.0,0.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,5.0,42.0,5.0,0.0,0.0,0.0,2.0,3.0,58.0,6.0,17.0,9.0,3.0,35.0,4.0,9.0,6.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,2.06,4,4,4,4,False
lucene,Private Class,org.apache.lucene.queryParser.standard.TestMultiAnalyzerWrapper.PosIncrementAnalyzer,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,17.0,2.0,11.0,5.0,4.0,4.0,4.0,7.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.36,2,2,2,2,False
lucene,Anonymous Class,org.apache.lucene.util.LuceneTestCase.(Anon_2),1.0,1.0,1.0,1.0,12.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,13.0,1.0,10.0,0.0,4.0,7.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Class,org.apache.solr.analysis.TestBeiderMorseFilterFactory,1.0,1.0,1.0,1.0,11.0,0.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,100.0,3.0,0.0,0.0,0.0,0.0,3.0,56.0,2.0,37.0,12.0,29.0,17.0,17.0,21.0,12.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.46,3,3,3,3,False
lucene,Public Generic Class,org.apache.solr.util.ConcurrentLRUCache,4.0,4.0,4.0,1.0,24.0,2.0,16.0,5.0,1.0,6.0,0.0,0.0,1.0,16.0,16.0,16.0,13.0,0.0,2.0,1.0,13.0,612.0,82.0,415.0,116.0,268.0,123.0,215.0,327.0,114.0,22.0,22.0,24.0,9.0,1.0,5.0,81.0,75.0,0.3,65,65,68,24,False
lucene,Public Static Class,org.apache.lucene.search.suggest.fst.Sort.ByteSequencesReader,1.0,1.0,1.0,1.0,12.0,0.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,73.0,7.0,41.0,10.0,23.0,25.0,19.0,28.0,10.0,2.0,2.0,2.0,1.0,1.0,1.0,19.0,19.0,0.61,8,8,8,5,False
lucene,Private Static Class,org.apache.lucene.search.TestMultiPhraseQuery.CannedAnalyzer,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,11.0,2.0,1.0,0.0,0.0,0.0,2.0,12.0,2.0,10.0,5.0,2.0,0.0,3.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2,2,2,2,False
lucene,Private Class,org.apache.lucene.index.PruningReader.PruningTermEnum,3.0,3.0,3.0,2.0,11.0,0.0,10.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,11.0,2.0,0.0,0.0,1.0,0.0,1.0,29.0,3.0,23.0,4.0,12.0,3.0,9.0,14.0,3.0,5.0,5.0,6.0,4.0,3.0,2.0,0.0,0.0,0.13,6,6,7,5,False
lucene,Public Class,org.apache.lucene.index.TestIndexWriterNRTIsCurrent,6.0,6.0,6.0,1.0,36.0,2.0,34.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,72.0,1.0,0.0,0.0,0.0,0.0,1.0,189.0,12.0,161.0,41.0,106.0,16.0,86.0,121.0,39.0,6.0,6.0,6.0,1.0,3.0,2.0,0.0,0.0,0.1,6,6,6,1,False
lucene,Public Class,org.apache.lucene.queryParser.standard.TestMultiFieldQPHelper,1.0,1.0,1.0,1.0,25.0,3.0,19.0,2.0,1.0,22.0,0.0,0.0,0.0,11.0,82.0,11.0,0.0,0.0,1.0,0.0,10.0,344.0,58.0,239.0,81.0,196.0,48.0,167.0,190.0,70.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.2,16,16,16,11,False
lucene,Class,org.apache.lucene.util.ThreeLongs,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,43.0,3.0,17.0,7.0,7.0,23.0,8.0,12.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,33.0,0.0,1.35,3,3,3,3,False
lucene,Public Class,org.apache.lucene.analysis.hu.TestHungarianAnalyzer,1.0,1.0,1.0,1.0,6.0,0.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,4.0,101.0,4.0,0.0,0.0,0.0,0.0,4.0,47.0,3.0,21.0,9.0,11.0,23.0,10.0,15.0,8.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.1,4,4,4,4,False
lucene,Class,org.apache.lucene.index.TermInfosReader,2.0,2.0,3.0,1.0,15.0,1.0,12.0,1.0,2.0,14.0,0.0,0.0,1.0,13.0,13.0,13.0,10.0,4.0,4.0,0.0,5.0,295.0,44.0,204.0,60.0,122.0,49.0,98.0,145.0,55.0,11.0,11.0,18.0,5.0,1.0,5.0,82.0,66.0,0.24,36,36,46,23,False
lucene,Public Abstract Class,org.apache.lucene.util.Counter,1.0,1.0,1.0,1.0,8.0,0.0,3.0,5.0,1.0,2.0,2.0,2.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,88.0,11.0,32.0,18.0,8.0,45.0,11.0,19.0,13.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.41,3,3,3,2,False
lucene,Anonymous Class,org.apache.solr.search.FieldQParserPlugin.createParser.(Anon_1),1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,9.0,4.0,8.0,0.0,5.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Abstract Class,org.apache.solr.search.function.ConstNumberSource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,14.0,5.0,0.0,0.0,0.0,0.0,5.0,26.0,0.0,7.0,6.0,0.0,19.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.71,0,0,0,0,False
lucene,Private Static Class,org.apache.lucene.index.TestIndexWriterExceptions.FailOnlyInSync,4.0,4.0,6.0,1.0,11.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,15.0,0.0,15.0,5.0,6.0,0.0,6.0,11.0,5.0,4.0,4.0,6.0,1.0,2.0,3.0,0.0,0.0,0.0,4,4,6,1,False
lucene,Class,org.apache.lucene.search.SloppyPhraseScorer,4.0,4.0,4.0,2.0,19.0,0.0,15.0,5.0,1.0,8.0,0.0,0.0,0.0,21.0,43.0,21.0,9.0,1.0,19.0,1.0,0.0,492.0,29.0,340.0,82.0,213.0,162.0,189.0,285.0,105.0,12.0,12.0,15.0,10.0,4.0,5.0,85.0,74.0,0.48,88,88,96,50,False
lucene,Private Static Class,org.apache.lucene.analysis.TestAnalyzers.LowerCaseWhitespaceAnalyzer,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,7.0,3.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Private Static Class,org.apache.lucene.search.TestCachingCollector.MockScorer,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,18.0,5.0,0.0,0.0,1.0,0.0,4.0,19.0,6.0,13.0,10.0,5.0,0.0,5.0,11.0,6.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,5,5,5,5,False
lucene,Public Class,org.apache.lucene.search.WildcardTermEnum,4.0,4.0,5.0,3.0,27.0,2.0,19.0,6.0,1.0,2.0,0.0,1.0,2.0,5.0,18.0,4.0,6.0,0.0,0.0,1.0,4.0,183.0,18.0,108.0,29.0,57.0,57.0,48.0,71.0,27.0,14.0,14.0,18.0,13.0,3.0,5.0,63.0,63.0,0.53,23,23,27,19,False
lucene,Public Class,org.apache.lucene.queryParser.surround.parser.ParseException,5.0,3.0,5.0,1.0,28.0,0.0,21.0,7.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,4.0,193.0,12.0,112.0,21.0,79.0,69.0,69.0,87.0,22.0,12.0,10.0,13.0,4.0,2.0,3.0,56.0,56.0,0.62,25,17,26,8,False
lucene,Public Class,org.apache.solr.analysis.CapitalizationFilterFactory,8.0,8.0,9.0,4.0,34.0,3.0,29.0,2.0,1.0,3.0,0.0,0.0,9.0,3.0,14.0,3.0,7.0,0.0,0.0,0.0,3.0,179.0,18.0,106.0,27.0,74.0,59.0,59.0,86.0,30.0,13.0,13.0,16.0,10.0,3.0,4.0,42.0,42.0,0.56,25,25,28,12,False
