project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
nutch,Public Class,org.apache.nutch.analysis.lang.HTMLLanguageParser,4.0,4.0,5.0,2.0,20.0,2.0,15.0,2.0,2.0,10.0,0.0,,1.0,2.0,5.0,9.0,6.0,6.0,5.0,9.0,6.0,6.0,0.0,3.0,0.0,3.0,302,45,210,55,150,47,98,154,54,8.0,8.0,10.0,6.0,1.0,2,83.0,80.0,0.22,27,27,30,17,False
nutch,Static Class,org.apache.nutch.analysis.lang.HTMLLanguageParser.LanguageParser,5.0,5.0,6.0,1.0,27.0,3.0,21.0,3.0,1.0,2.0,0.0,,1.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,121,19,90,24,62,12,36,60,24,16.0,16.0,18.0,3.0,1.0,8,50.0,50.0,0.13,23,23,26,6,False
nutch,Public Class,org.apache.nutch.analysis.lang.LanguageIndexingFilter,1.0,1.0,1.0,1.0,7.0,1.0,5.0,1.0,2.0,10.0,0.0,,0.0,0.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,74,13,23,8,9,38,8,15,7,3.0,3.0,4.0,1.0,1.0,1,50.0,50.0,1.65,6,6,7,4,False
nutch,Public Class,org.apache.nutch.analysis.lang.TestHTMLLanguageParser,3.0,3.0,3.0,1.0,30.0,1.0,27.0,1.0,1.0,10.0,0.0,,0.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,0.0,1.0,0.0,3.0,157,15,118,73,96,26,44,57,25,6.0,6.0,6.0,1.0,2.0,5,75.0,62.0,0.22,12,12,12,4,False
nutch,Public Class,org.apache.nutch.collection.CollectionManager,2.0,2.0,2.0,1.0,15.0,0.0,11.0,3.0,1.0,5.0,0.0,,1.0,2.0,10.0,2.0,11.0,11.0,10.0,2.0,11.0,11.0,0.0,0.0,3.0,8.0,194,25,129,45,89,40,65,94,39,5.0,5.0,5.0,1.0,2.0,3,59.0,36.0,0.31,28,28,28,11,False
nutch,Public Class,org.apache.nutch.collection.Subcollection,1.0,1.0,1.0,1.0,11.0,0.0,5.0,5.0,2.0,0.0,0.0,,0.0,6.0,13.0,6.0,13.0,13.0,13.0,6.0,13.0,13.0,0.0,0.0,1.0,12.0,193,25,85,32,49,83,44,64,32,5.0,5.0,5.0,5.0,2.0,2,74.0,74.0,0.98,19,19,19,17,False
nutch,Public Class,org.apache.nutch.collection.TestSubcollection,1.0,1.0,1.0,1.0,38.0,8.0,22.0,13.0,1.0,3.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,80,19,47,11,41,26,41,44,11,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,0.55,2,2,2,2,False
nutch,Public Abstract Class,org.apache.nutch.crawl.AbstractFetchSchedule,1.0,1.0,2.0,1.0,14.0,0.0,6.0,7.0,2.0,1.0,2.0,,0.0,1.0,10.0,2.0,10.0,10.0,10.0,2.0,10.0,10.0,0.0,0.0,0.0,10.0,184,12,73,20,42,100,40,60,16,4.0,4.0,6.0,1.0,2.0,2,70.0,70.0,1.37,19,19,21,10,False
nutch,Public Class,org.apache.nutch.crawl.AdaptiveFetchSchedule,6.0,5.0,6.0,1.0,30.0,0.0,28.0,3.0,1.0,2.0,0.0,,1.0,0.0,2.0,6.0,3.0,13.0,2.0,6.0,3.0,13.0,0.0,0.0,0.0,3.0,155,9,95,28,72,55,65,82,26,9.0,8.0,9.0,1.0,3.0,3,33.0,33.0,0.58,19,17,19,3,False
nutch,Public Class,org.apache.nutch.crawl.Crawl,6.0,6.0,6.0,2.0,37.0,3.0,33.0,2.0,2.0,11.0,0.0,,2.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,139,16,103,34,83,25,67,88,33,18.0,18.0,18.0,4.0,2.0,2,0.0,0.0,0.24,20,20,20,6,False
