project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
pig,Public Class,org.apache.hadoop.zebra.mapreduce.TestBasicTableIOFMoreLocal,2.0,2.0,2.0,1.0,13.0,2.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,37.0,2.0,14.0,3.0,8.0,21.0,7.0,10.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,1.5,2,2,2,1,False
pig,Anonymous Class,org.apache.hadoop.zebra.io.ColumnGroup.CGIndex.sort.(Anon_2),6.0,6.0,7.0,4.0,15.0,0.0,15.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,17.0,1.0,13.0,0.0,7.0,13.0,2.0,6.0,6.0,7.0,4.0,2.0,2.0,0.0,0.0,0.0,6,6,7,4,False
pig,Public Class,org.apache.hadoop.zebra.io.TestCollection,5.0,5.0,5.0,1.0,56.0,4.0,50.0,1.0,1.0,11.0,0.0,2.0,5.0,11.0,11.0,9.0,0.0,0.0,0.0,0.0,11.0,690.0,60.0,573.0,132.0,482.0,59.0,416.0,479.0,120.0,11.0,11.0,11.0,1.0,1.0,3.0,24.0,24.0,0.1,62,62,62,11,False
pig,Public Class,org.apache.pig.test.TestDataBagAccess,3.0,3.0,3.0,1.0,28.0,0.0,24.0,3.0,1.0,13.0,0.0,1.0,1.0,9.0,9.0,8.0,1.0,0.0,0.0,0.0,9.0,284.0,17.0,237.0,75.0,189.0,30.0,156.0,184.0,63.0,11.0,11.0,11.0,1.0,2.0,4.0,55.0,55.0,0.13,27,27,27,9,False
pig,Public Class,org.apache.pig.impl.logicalLayer.DotLOPrinter,2.0,2.0,2.0,1.0,10.0,0.0,9.0,0.0,1.0,14.0,0.0,0.0,0.0,7.0,47.0,7.0,0.0,0.0,1.0,5.0,1.0,91.0,10.0,76.0,22.0,39.0,5.0,24.0,42.0,12.0,6.0,6.0,6.0,4.0,3.0,1.0,0.0,0.0,0.07,18,18,19,10,False
pig,Public Class,org.apache.hadoop.zebra.tfile.TestTFile,1.0,1.0,1.0,1.0,12.0,0.0,11.0,0.0,1.0,7.0,0.0,0.0,4.0,28.0,28.0,28.0,2.0,2.0,18.0,0.0,8.0,412.0,34.0,331.0,121.0,237.0,47.0,232.0,277.0,117.0,3.0,3.0,3.0,1.0,2.0,2.0,85.0,78.0,0.14,44,44,44,28,False
pig,Public Class,org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.DotPOPrinter,2.0,2.0,3.0,1.0,12.0,0.0,12.0,0.0,1.0,14.0,0.0,0.0,0.0,7.0,47.0,7.0,0.0,0.0,0.0,5.0,2.0,109.0,12.0,92.0,31.0,53.0,5.0,35.0,57.0,22.0,10.0,10.0,10.0,1.0,3.0,3.0,0.0,0.0,0.05,20,20,21,7,False
pig,Public Class,org.apache.pig.builtin.DIFF,6.0,6.0,6.0,1.0,25.0,1.0,19.0,4.0,1.0,6.0,0.0,0.0,0.0,2.0,18.0,2.0,2.0,0.0,1.0,0.0,1.0,70.0,7.0,44.0,21.0,30.0,19.0,24.0,39.0,19.0,7.0,7.0,7.0,1.0,2.0,3.0,50.0,50.0,0.43,12,12,12,2,False
pig,Public Class,org.apache.pig.backend.hadoop.executionengine.physicalLayer.POStatus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,9.0,8.0,6.0,6.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.67,0,0,0,0,True
pig,Public Class,org.apache.pig.data.DataType,6.0,3.0,6.0,4.0,26.0,1.0,17.0,7.0,1.0,12.0,0.0,42.0,17.0,42.0,42.0,0.0,0.0,0.0,3.0,0.0,39.0,1206.0,123.0,740.0,176.0,588.0,348.0,367.0,505.0,160.0,22.0,15.0,22.0,22.0,1.0,6.0,0.0,0.0,0.47,270,152,290,183,True
