project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
qpid,Public Class,org.apache.log4j.QpidCompositeRollingAppender,1.0,1.0,2.0,1.0,14.0,1.0,9.0,3.0,1.0,2.0,0.0,0.0,14.0,64.0,64.0,64.0,25.0,1.0,5.0,27.0,31.0,1166.0,183.0,706.0,149.0,331.0,283.0,259.0,397.0,151.0,15.0,15.0,17.0,4.0,2.0,6.0,93.0,86.0,0.4,126,124,138,69,False
qpid,Private Static Class,org.apache.log4j.QpidCompositeRollingAppender.CompressJob,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,20.0,3.0,17.0,5.0,4.0,0.0,5.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,33.0,33.0,0.0,3,3,3,3,False
qpid,Private Class,org.apache.log4j.QpidCompositeRollingAppender.Compressor,3.0,3.0,3.0,1.0,20.0,3.0,17.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,20.0,4.0,8.0,0.0,5.0,10.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,3,3,3,1,False
qpid,Public Class,org.apache.qpid.AMQChannelClosedException,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,7.0,2.0,1.0,10.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.43,1,1,1,1,False
qpid,Public Class,org.apache.qpid.AMQChannelException,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,12.0,2.0,4.0,0.0,0.0,0.0,2.0,35.0,3.0,21.0,9.0,7.0,11.0,11.0,14.0,8.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.52,3,3,3,2,False
qpid,Public Class,org.apache.qpid.AMQConnectionClosedException,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,7.0,2.0,1.0,13.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.86,1,1,1,1,False
qpid,Public Class,org.apache.qpid.AMQConnectionException,1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,12.0,2.0,5.0,0.0,0.0,0.0,2.0,45.0,7.0,26.0,10.0,11.0,12.0,12.0,15.0,9.0,1.0,1.0,1.0,1.0,3.0,0.0,19.0,19.0,0.46,2,2,2,2,False
qpid,Public Class,org.apache.qpid.AMQConnectionFailureException,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,14.0,4.0,1.0,0.0,0.0,0.0,4.0,36.0,4.0,21.0,6.0,5.0,11.0,6.0,11.0,6.0,2.0,2.0,2.0,1.0,3.0,0.0,50.0,50.0,0.52,6,6,6,4,False
qpid,Public Class,org.apache.qpid.AMQDisconnectedException,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,7.0,2.0,1.0,10.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.43,1,1,1,1,False
qpid,Public Class,org.apache.qpid.AMQException,1.0,1.0,1.0,1.0,9.0,0.0,5.0,3.0,1.0,2.0,31.0,0.0,0.0,10.0,10.0,10.0,2.0,0.0,0.0,0.0,10.0,133.0,14.0,68.0,22.0,22.0,51.0,22.0,35.0,18.0,2.0,2.0,3.0,1.0,2.0,1.0,75.0,25.0,0.75,16,16,17,10,False
