project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
xerces,Public Class,DesignDoc,3.0,3.0,3.0,1.0,22.0,0.0,18.0,4.0,1.0,6.0,0.0,15.0,3.0,42.0,42.0,27.0,2.0,0.0,14.0,0.0,28.0,1152.0,87.0,846.0,159.0,614.0,251.0,506.0,673.0,160.0,10.0,10.0,12.0,10.0,1.0,6.0,76.0,73.0,0.3,156,156,167,78,False
xerces,Public Static Class,DesignDoc.IndentingWriter,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,5.0,0.0,1.0,0.0,8.0,75.0,16.0,44.0,16.0,20.0,16.0,23.0,36.0,16.0,2.0,2.0,2.0,1.0,2.0,1.0,71.0,44.0,0.36,12,12,12,9,False
xerces,Public Class,Stylesheet,4.0,4.0,4.0,1.0,37.0,6.0,31.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,8.0,33.0,9.0,24.0,6.0,19.0,24.0,9.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.18,4,4,4,1,False
xerces,Public Class,dom.ASBuilder,8.0,7.0,9.0,1.0,54.0,8.0,41.0,6.0,2.0,8.0,0.0,2.0,5.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,224.0,38.0,130.0,20.0,106.0,63.0,86.0,108.0,20.0,17.0,17.0,20.0,1.0,1.0,3.0,0.0,0.0,0.48,25,23,28,3,False
xerces,Public Class,dom.Counter,9.0,8.0,9.0,5.0,58.0,5.0,49.0,4.0,1.0,9.0,0.0,2.0,10.0,5.0,5.0,3.0,5.0,0.0,1.0,0.0,4.0,391.0,53.0,266.0,54.0,200.0,82.0,159.0,197.0,54.0,27.0,27.0,27.0,15.0,1.0,5.0,60.0,40.0,0.31,46,42,46,25,False
xerces,Public Class,dom.DOM3,2.0,2.0,2.0,1.0,33.0,9.0,17.0,7.0,2.0,7.0,0.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,121.0,38.0,57.0,17.0,43.0,29.0,38.0,46.0,15.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.51,7,7,7,3,False
xerces,Public Class,dom.DOMAddLines,4.0,4.0,4.0,1.0,26.0,2.0,21.0,3.0,1.0,13.0,0.0,2.0,1.0,8.0,120.0,6.0,2.0,0.0,2.0,0.0,6.0,249.0,41.0,174.0,32.0,121.0,48.0,103.0,132.0,36.0,13.0,8.0,14.0,4.0,5.0,3.0,75.0,70.0,0.28,38,33,39,11,False
xerces,Public Class,dom.DOMGenerate,2.0,2.0,2.0,1.0,28.0,4.0,24.0,11.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,4.0,26.0,8.0,21.0,18.0,19.0,22.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.69,2,2,2,1,False
xerces,Public Class,dom.DTest,6.0,6.0,8.0,1.0,61.0,7.0,38.0,19.0,1.0,24.0,0.0,1.0,12.0,27.0,27.0,26.0,0.0,0.0,0.0,0.0,27.0,1692.0,216.0,1061.0,222.0,761.0,521.0,629.0,746.0,205.0,27.0,16.0,27.0,9.0,1.0,4.0,92.0,88.0,0.49,188,166,232,47,False
xerces,Public Class,dom.GetElementsByTagName,9.0,8.0,9.0,3.0,52.0,4.0,44.0,4.0,1.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,334.0,46.0,232.0,42.0,171.0,66.0,133.0,171.0,45.0,25.0,25.0,25.0,13.0,1.0,4.0,0.0,0.0,0.28,48,43,48,17,False
xerces,Public Class,dom.Writer,6.0,5.0,6.0,2.0,36.0,3.0,31.0,3.0,1.0,8.0,0.0,2.0,11.0,11.0,11.0,9.0,2.0,0.0,1.0,3.0,7.0,497.0,72.0,357.0,57.0,262.0,85.0,206.0,261.0,62.0,24.0,24.0,24.0,12.0,1.0,4.0,63.0,45.0,0.24,74,63,75,28,False
xerces,Public Class,dom.dom3.Test,14.0,14.0,14.0,1.0,601.0,145.0,369.0,162.0,3.0,18.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,613.0,149.0,374.0,64.0,337.0,165.0,295.0,231.0,63.0,14.0,14.0,14.0,1.0,1.0,4.0,0.0,0.0,0.44,14,14,14,1,False
xerces,Class,dom.events.EventReporter,3.0,3.0,3.0,1.0,14.0,0.0,13.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,51.0,4.0,47.0,8.0,33.0,1.0,22.0,34.0,8.0,9.0,9.0,9.0,1.0,1.0,2.0,44.0,44.0,0.02,11,11,11,3,False
xerces,Public Class,dom.events.Test,1.0,1.0,1.0,1.0,17.0,1.0,14.0,0.0,1.0,10.0,0.0,1.0,0.0,6.0,6.0,5.0,1.0,5.0,0.0,0.0,1.0,112.0,16.0,92.0,29.0,64.0,4.0,62.0,72.0,26.0,2.0,2.0,2.0,1.0,1.0,1.0,66.0,0.0,0.04,9,9,9,6,False
xerces,Public Class,dom.ids.Test,10.0,10.0,10.0,4.0,88.0,12.0,69.0,7.0,1.0,9.0,0.0,2.0,11.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,329.0,57.0,227.0,38.0,183.0,54.0,129.0,127.0,34.0,24.0,24.0,24.0,10.0,1.0,4.0,0.0,0.0,0.24,31,31,31,12,False
xerces,Public Class,dom.mem.Test,3.0,3.0,3.0,1.0,656.0,137.0,422.0,136.0,1.0,24.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1316.0,276.0,845.0,184.0,738.0,273.0,602.0,356.0,177.0,6.0,6.0,6.0,1.0,1.0,3.0,0.0,0.0,0.32,7,7,7,2,False
xerces,Class,dom.mem.Test.main.MyHandler,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,21.0,1.0,20.0,8.0,9.0,0.0,12.0,11.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,50.0,50.0,0.0,2,2,2,2,False
xerces,Public Class,dom.range.Test,12.0,10.0,13.0,2.0,67.0,6.0,58.0,3.0,1.0,16.0,0.0,2.0,13.0,8.0,8.0,6.0,2.0,1.0,1.0,2.0,4.0,639.0,71.0,539.0,116.0,426.0,33.0,309.0,393.0,87.0,54.0,54.0,55.0,9.0,1.0,5.0,75.0,31.0,0.06,98,87,106,23,False
