project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
ant,Private Static Class,org.apache.tools.ant.Project.AntRefTable,1.0,1.0,1.0,1.0,11.0,0.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,40.0,3.0,17.0,6.0,8.0,20.0,7.0,12.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1.18,4,4,4,3,False
ant,Class,org.apache.tools.ant.taskdefs.email.PlainMailer,7.0,7.0,8.0,1.0,45.0,3.0,38.0,4.0,1.0,7.0,1.0,0.0,0.0,3.0,27.0,3.0,0.0,0.0,1.0,1.0,1.0,146.0,13.0,116.0,21.0,84.0,17.0,56.0,81.0,21.0,15.0,15.0,15.0,1.0,2.0,3.0,0.0,0.0,0.15,23,23,24,3,False
ant,Private Class,org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter.RmicFileNameMapper,3.0,3.0,5.0,1.0,30.0,2.0,21.0,6.0,2.0,5.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,3.0,141.0,12.0,87.0,18.0,69.0,42.0,30.0,44.0,18.0,12.0,12.0,18.0,3.0,1.0,4.0,0.0,0.0,0.48,15,15,21,6,False
ant,Public Class,org.apache.tools.ant.taskdefs.compilers.Jvc,11.0,11.0,11.0,1.0,81.0,15.0,51.0,15.0,1.0,7.0,0.0,0.0,0.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,1.0,91.0,16.0,53.0,9.0,40.0,22.0,28.0,39.0,9.0,11.0,11.0,11.0,1.0,2.0,1.0,0.0,0.0,0.42,11,11,11,1,False
ant,Protected Class,org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner,6.0,6.0,7.0,2.0,32.0,0.0,25.0,6.0,1.0,9.0,0.0,0.0,0.0,13.0,82.0,13.0,6.0,0.0,8.0,1.0,4.0,802.0,25.0,534.0,92.0,369.0,243.0,227.0,354.0,99.0,18.0,18.0,24.0,6.0,2.0,7.0,73.0,52.0,0.46,79,79,100,30,False
ant,Public Class,org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask,2.0,2.0,2.0,1.0,18.0,0.0,10.0,6.0,1.0,15.0,0.0,0.0,4.0,29.0,68.0,29.0,14.0,0.0,1.0,1.0,27.0,640.0,67.0,356.0,93.0,232.0,220.0,157.0,237.0,86.0,18.0,18.0,20.0,1.0,3.0,4.0,93.0,88.0,0.62,76,76,81,29,False
ant,Private Class,org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbInfo,1.0,1.0,1.0,1.0,12.0,0.0,8.0,3.0,1.0,3.0,0.0,0.0,0.0,33.0,33.0,33.0,10.0,0.0,4.0,0.0,29.0,460.0,67.0,284.0,72.0,183.0,129.0,131.0,186.0,70.0,10.0,10.0,14.0,6.0,1.0,2.0,86.0,82.0,0.45,56,56,61,40,False
ant,Public Class,org.apache.tools.ant.taskdefs.optional.ssh.SSHSession.LocalTunnel,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,7.0,7.0,3.0,0.0,0.0,0.0,7.0,32.0,1.0,31.0,12.0,20.0,0.0,15.0,27.0,12.0,2.0,2.0,2.0,1.0,1.0,1.0,71.0,71.0,0.0,11,11,11,7,False
ant,Public Class,org.apache.tools.ant.types.FlexInteger,1.0,1.0,1.0,1.0,7.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,34.0,3.0,12.0,5.0,3.0,19.0,4.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.58,3,3,3,3,False
ant,Public Abstract Class,org.apache.tools.zip.AbstractUnicodeExtraField,1.0,1.0,1.0,1.0,8.0,0.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,13.0,13.0,13.0,3.0,0.0,1.0,3.0,9.0,138.0,21.0,79.0,21.0,40.0,38.0,33.0,53.0,19.0,3.0,3.0,3.0,1.0,1.0,1.0,58.0,28.0,0.48,19,19,19,13,False
ant,Public Class,org.apache.tools.ant.input.PropertyFileInputHandler,2.0,2.0,2.0,1.0,16.0,1.0,10.0,4.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,66.0,8.0,36.0,8.0,23.0,22.0,12.0,21.0,8.0,4.0,4.0,4.0,1.0,1.0,2.0,33.0,33.0,0.61,8,8,8,3,False
ant,Public Abstract Class,org.apache.tools.ant.taskdefs.AbstractCvsTask,2.0,2.0,2.0,1.0,14.0,1.0,8.0,5.0,1.0,13.0,4.0,0.0,3.0,45.0,84.0,45.0,22.0,0.0,2.0,9.0,34.0,834.0,111.0,396.0,102.0,239.0,327.0,176.0,272.0,103.0,18.0,18.0,20.0,1.0,3.0,3.0,94.0,89.0,0.83,95,95,104,45,False
ant,Public Class,org.apache.tools.ant.taskdefs.optional.ssh.ScpToMessage,1.0,1.0,1.0,1.0,15.0,1.0,10.0,4.0,1.0,1.0,1.0,0.0,2.0,15.0,28.0,15.0,3.0,0.0,6.0,0.0,9.0,258.0,32.0,160.0,60.0,92.0,66.0,81.0,109.0,45.0,6.0,6.0,7.0,3.0,2.0,3.0,75.0,60.0,0.41,27,27,28,17,False
ant,Private Class,org.apache.tools.ant.types.resources.StringResource.StringResourceFilterOutputStream,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,16.0,3.0,13.0,6.0,6.0,0.0,6.0,9.0,5.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3,3,3,2,False
ant,Public Class,org.apache.tools.ant.taskdefs.XSLTProcess.TraceConfiguration,1.0,1.0,1.0,1.0,6.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,11.0,11.0,11.0,5.0,0.0,0.0,0.0,11.0,95.0,11.0,36.0,13.0,11.0,48.0,12.0,24.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,81.0,81.0,1.33,11,11,11,11,False
ant,Public Static Class,org.apache.tools.ant.types.FilterSet.OnMissing,1.0,1.0,1.0,1.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,3.0,40.0,5.0,18.0,12.0,9.0,17.0,9.0,13.0,11.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.94,3,3,3,3,False
ant,Public Class,org.apache.tools.ant.taskdefs.BUnzip2,2.0,2.0,2.0,1.0,21.0,0.0,14.0,6.0,1.0,4.0,0.0,0.0,2.0,3.0,54.0,3.0,0.0,0.0,0.0,3.0,0.0,81.0,6.0,48.0,14.0,36.0,27.0,28.0,36.0,14.0,6.0,6.0,6.0,1.0,4.0,3.0,0.0,0.0,0.56,8,8,8,3,False
ant,Public Static Class,org.apache.tools.ant.taskdefs.Input.HandlerType,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,2.0,2.0,11.0,2.0,0.0,0.0,1.0,0.0,1.0,21.0,2.0,14.0,9.0,7.0,5.0,4.0,7.0,5.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.36,2,2,2,2,False
ant,Public Class,org.apache.tools.ant.taskdefs.optional.depend.constantpool.DoubleCPInfo,1.0,1.0,1.0,1.0,8.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,13.0,3.0,0.0,0.0,0.0,0.0,3.0,35.0,3.0,11.0,4.0,3.0,21.0,3.0,7.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.91,3,3,3,3,False
ant,Public Static Class,org.apache.tools.ant.taskdefs.optional.junit.DOMUtil.NodeListImpl,1.0,1.0,1.0,1.0,9.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,24.0,1.0,13.0,4.0,6.0,11.0,4.0,8.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.85,3,3,3,2,False
ant,Public Static Class,org.apache.tools.ant.taskdefs.optional.XMLValidateTask.Attribute,1.0,1.0,1.0,1.0,7.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,4.0,49.0,4.0,16.0,7.0,5.0,29.0,6.0,11.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,50.0,50.0,1.81,4,4,4,4,False
ant,Public Class,org.apache.tools.ant.taskdefs.JikesOutputParser,1.0,1.0,1.0,1.0,9.0,0.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,12.0,12.0,12.0,7.0,0.0,4.0,3.0,5.0,155.0,17.0,76.0,22.0,36.0,63.0,31.0,52.0,22.0,6.0,6.0,6.0,3.0,1.0,3.0,85.0,69.0,0.83,22,22,22,14,False
ant,Public Static Class,org.apache.tools.ant.filters.TokenFilter.ContainsString,2.0,2.0,2.0,1.0,11.0,0.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,12.0,2.0,1.0,0.0,0.0,0.0,2.0,32.0,2.0,16.0,5.0,6.0,14.0,5.0,10.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.88,4,4,4,2,False
ant,Anonymous Class,org.apache.tools.ant.ProjectHelper.(Anon_3),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
ant,Public Class,org.apache.tools.ant.DirectoryScanner,2.0,2.0,3.0,1.0,20.0,0.0,11.0,8.0,4.0,12.0,4.0,11.0,7.0,69.0,69.0,58.0,30.0,3.0,20.0,12.0,34.0,1846.0,143.0,852.0,213.0,556.0,857.0,365.0,556.0,182.0,26.0,26.0,36.0,9.0,1.0,7.0,94.0,76.0,1.01,196,196,232,113,True
ant,Public Class,org.apache.tools.ant.Project,1.0,1.0,1.0,1.0,16.0,0.0,6.0,9.0,2.0,33.0,0.0,5.0,15.0,125.0,125.0,120.0,19.0,0.0,5.0,10.0,110.0,2424.0,169.0,925.0,276.0,529.0,1334.0,412.0,634.0,257.0,14.0,14.0,14.0,4.0,1.0,5.0,97.0,92.0,1.44,228,228,232,135,True
ant,Public Class,org.apache.tools.ant.taskdefs.Javadoc,2.0,2.0,2.0,1.0,14.0,0.0,9.0,5.0,1.0,35.0,0.0,0.0,3.0,105.0,144.0,105.0,33.0,0.0,22.0,1.0,82.0,2420.0,217.0,1329.0,365.0,815.0,885.0,581.0,894.0,352.0,15.0,15.0,17.0,6.0,3.0,6.0,97.0,95.0,0.67,231,229,251,114,True
ant,Public Class,org.apache.tools.ant.taskdefs.Zip,3.0,3.0,3.0,1.0,24.0,1.0,14.0,8.0,1.0,37.0,1.0,1.0,8.0,73.0,153.0,72.0,29.0,0.0,10.0,28.0,35.0,2114.0,207.0,1178.0,317.0,780.0,733.0,542.0,791.0,281.0,25.0,25.0,31.0,10.0,4.0,5.0,94.0,89.0,0.62,230,230,272,111,True
ant,Public Class,org.apache.tools.ant.taskdefs.optional.net.FTPTaskMirrorImpl,6.0,6.0,7.0,1.0,45.0,3.0,31.0,10.0,2.0,15.0,0.0,0.0,5.0,20.0,20.0,20.0,4.0,0.0,5.0,13.0,2.0,1895.0,146.0,1242.0,227.0,867.0,507.0,528.0,810.0,229.0,19.0,19.0,24.0,6.0,1.0,4.0,62.0,57.0,0.41,124,124,144,35,True
ant,Public Class,org.apache.tools.bzip2.CBZip2OutputStream,6.0,6.0,7.0,3.0,42.0,5.0,31.0,5.0,2.0,2.0,0.0,6.0,11.0,41.0,41.0,35.0,19.0,0.0,30.0,2.0,9.0,2070.0,299.0,1365.0,354.0,1046.0,443.0,924.0,1150.0,406.0,41.0,41.0,46.0,38.0,2.0,20.0,88.0,66.0,0.32,275,273,292,124,True
