project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
cassandra,Public Static Class,org.apache.cassandra.thrift.Cassandra.insert_result,2.0,2.0,3.0,1.0,10.0,0.0,9.0,0.0,4.0,4.0,0.0,0.0,5.0,34.0,34.0,34.0,4.0,0.0,2.0,0.0,32.0,491.0,69.0,401.0,82.0,254.0,30.0,177.0,276.0,71.0,11.0,11.0,23.0,11.0,1.0,3.0,69.0,53.0,0.07,96,88,111,58,False
cassandra,Public Class,org.apache.cassandra.thrift.CustomTNonBlockingServer,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,16.0,1.0,15.0,5.0,5.0,0.0,5.0,8.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2,2,2,2,False
cassandra,Class,org.apache.cassandra.io.sstable.SSTableWriter.IndexWriter,1.0,1.0,1.0,1.0,11.0,0.0,8.0,1.0,2.0,14.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0,1.0,0.0,0.0,5.0,84.0,10.0,61.0,18.0,32.0,14.0,32.0,41.0,17.0,3.0,3.0,4.0,1.0,1.0,1.0,50.0,50.0,0.23,9,9,10,6,False
cassandra,Public Class,org.apache.cassandra.net.OutboundTcpConnection,2.0,2.0,3.0,1.0,16.0,0.0,14.0,1.0,1.0,11.0,0.0,2.0,3.0,14.0,14.0,12.0,8.0,2.0,4.0,0.0,8.0,300.0,31.0,244.0,47.0,124.0,27.0,92.0,140.0,46.0,8.0,8.0,9.0,4.0,2.0,4.0,75.0,66.0,0.11,41,41,44,22,False
cassandra,Anonymous Class,org.apache.cassandra.service.StorageProxy.scheduleLocalHint.(Anon_5),3.0,3.0,4.0,1.0,24.0,3.0,20.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,3.0,21.0,3.0,14.0,1.0,9.0,13.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,0.0,0.0,0.05,3,3,4,1,False
cassandra,Public Class,org.apache.cassandra.db.RowIterationTest,1.0,1.0,1.0,1.0,20.0,2.0,17.0,1.0,1.0,10.0,0.0,0.0,2.0,3.0,19.0,3.0,0.0,0.0,0.0,0.0,3.0,71.0,9.0,59.0,29.0,43.0,3.0,44.0,49.0,27.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.05,4,4,4,3,False
cassandra,Public Class,org.apache.cassandra.locator.GossipingPropertyFileSnitch,2.0,2.0,3.0,2.0,14.0,0.0,11.0,3.0,1.0,9.0,0.0,0.0,1.0,4.0,11.0,4.0,3.0,0.0,0.0,0.0,4.0,89.0,5.0,54.0,12.0,27.0,30.0,21.0,32.0,11.0,3.0,3.0,4.0,3.0,3.0,2.0,41.0,41.0,0.56,10,10,13,8,False
cassandra,Public Class,org.apache.cassandra.io.sstable.SSTableSimpleUnsortedWriter,2.0,2.0,2.0,1.0,14.0,0.0,11.0,2.0,1.0,10.0,0.0,0.0,1.0,7.0,19.0,7.0,5.0,0.0,2.0,2.0,3.0,181.0,17.0,120.0,34.0,54.0,44.0,39.0,63.0,22.0,3.0,3.0,3.0,1.0,2.0,2.0,65.0,42.0,0.37,15,15,15,7,False
cassandra,Public Class,org.apache.cassandra.db.ColumnFamilyStore,2.0,2.0,2.0,1.0,12.0,0.0,9.0,1.0,2.0,59.0,0.0,13.0,4.0,145.0,145.0,132.0,21.0,4.0,15.0,0.0,126.0,2046.0,266.0,1459.0,327.0,747.0,331.0,528.0,875.0,351.0,13.0,13.0,15.0,5.0,1.0,4.0,94.0,89.0,0.23,298,298,325,172,True
cassandra,Public Class,org.apache.cassandra.service.StorageService,2.0,2.0,2.0,1.0,17.0,1.0,13.0,2.0,3.0,100.0,0.0,3.0,9.0,154.0,154.0,151.0,16.0,4.0,33.0,2.0,115.0,3088.0,389.0,2238.0,439.0,1280.0,491.0,941.0,1466.0,490.0,18.0,18.0,21.0,7.0,2.0,4.0,95.0,91.0,0.22,416,416,432,191,True
