project,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
eclipse.jdt.core,GenerateBuildScript,2.0,2.0,2.0,1.0,17.0,0.0,17.0,5.0,1.0,0.0,0.0,,5.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,4.0,0.0,1.0,143.0,7.0,123.0,22.0,99.0,69.0,43.0,58.0,23.0,5.0,5.0,5.0,1.0,1.0,2.0,0.0,0.0,0.56,12,12,12,5,False
eclipse.jdt.core,GenerateBuildScript.main.(Anon_1),1.0,1.0,3.0,1.0,4.0,0.0,4.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.2,1,1,3,1,False
eclipse.jdt.core,GenerateBuildScript.main.(Anon_2),1.0,1.0,2.0,1.0,4.0,0.0,4.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.2,1,1,2,1,False
eclipse.jdt.core,org.eclipse.jdt.core.BindingKey,1.0,1.0,1.0,1.0,19.0,0.0,7.0,12.0,1.0,5.0,0.0,,6.0,0.0,9.0,1.0,15.0,15.0,9.0,1.0,15.0,15.0,0.0,0.0,0.0,15.0,333.0,16.0,115.0,32.0,74.0,205.0,64.0,88.0,32.0,5.0,5.0,5.0,4.0,1.0,2.0,40.0,40.0,1.78,27,23,27,21,False
eclipse.jdt.core,org.eclipse.jdt.core.BufferChangedEvent,1.0,1.0,1.0,1.0,10.0,0.0,3.0,6.0,1.0,1.0,0.0,,0.0,1.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,0.0,0.0,5.0,112.0,5.0,24.0,10.0,9.0,84.0,12.0,18.0,10.0,1.0,1.0,1.0,1.0,2.0,0.0,60.0,60.0,3.5,5,5,5,5,False
eclipse.jdt.core,org.eclipse.jdt.core.BuildJarIndex,2.0,2.0,2.0,1.0,6.0,0.0,6.0,1.0,1.0,2.0,0.0,,0.0,0.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,57.0,5.0,24.0,7.0,10.0,31.0,8.0,15.0,6.0,4.0,4.0,4.0,1.0,2.0,1.0,33.0,33.0,1.29,6,6,6,3,False
eclipse.jdt.core,org.eclipse.jdt.core.CheckDebugAttributes,3.0,3.0,4.0,1.0,13.0,0.0,13.0,1.0,1.0,6.0,0.0,,0.0,0.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,0.0,1.0,0.0,3.0,91.0,5.0,59.0,15.0,35.0,32.0,26.0,41.0,16.0,10.0,10.0,11.0,3.0,2.0,4.0,50.0,50.0,0.54,15,15,17,6,False
eclipse.jdt.core,org.eclipse.jdt.core.ClasspathContainerInitializer,1.0,1.0,1.0,1.0,26.0,0.0,6.0,18.0,1.0,3.0,3.0,,0.0,2.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,368.0,20.0,66.0,14.0,36.0,282.0,20.0,39.0,19.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,4.27,13,13,13,9,False
eclipse.jdt.core,org.eclipse.jdt.core.ClasspathContainerInitializer.getFailureContainer.(Anon_1),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,21.0,0.0,21.0,0.0,16.0,0.0,5.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5,5,5,5,False
eclipse.jdt.core,org.eclipse.jdt.core.ClasspathVariableInitializer,1.0,1.0,1.0,1.0,6.0,0.0,2.0,4.0,1.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,52.0,2.0,5.0,3.0,0.0,45.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,1,1,1,1,False
