project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
elasticsearch,Public Class,org.elasticsearch.common.lucene.search.TermFilter,2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,6.0,58.0,10.0,43.0,15.0,21.0,5.0,18.0,31.0,11.0,5.0,5.0,6.0,4.0,2.0,3.0,0.0,0.0,0.12,13,13,14,9,False
elasticsearch,Public Class,org.elasticsearch.action.percolate.PercolateRequest,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,11.0,0.0,0.0,0.0,22.0,33.0,22.0,6.0,0.0,0.0,0.0,22.0,189.0,26.0,147.0,44.0,74.0,16.0,68.0,101.0,33.0,4.0,4.0,4.0,1.0,2.0,1.0,67.0,48.0,0.11,32,32,34,22,False
elasticsearch,Static Class,org.elasticsearch.index.field.data.strings.StringFieldData.StringTypeLoader,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,6.0,4.0,1.0,1.0,0.0,0.0,3.0,25.0,5.0,19.0,9.0,6.0,1.0,6.0,11.0,6.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.05,4,4,4,4,False
elasticsearch,Public Class,org.elasticsearch.search.builder.SearchSourceBuilder,2.0,2.0,2.0,1.0,11.0,0.0,7.0,3.0,2.0,21.0,0.0,2.0,0.0,49.0,49.0,47.0,26.0,0.0,0.0,0.0,49.0,746.0,100.0,468.0,103.0,258.0,178.0,217.0,341.0,109.0,38.0,38.0,38.0,1.0,1.0,4.0,95.0,84.0,0.38,105,105,105,49,False
elasticsearch,Anonymous Class,org.elasticsearch.common.inject.InjectionRequestProcessor.StaticInjection.injectMembers.(Anon_1),2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,7.0,0.0,5.0,0.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2,2,2,1,False
elasticsearch,Public Class,org.elasticsearch.index.analysis.RomanianAnalyzerProvider,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,11.0,2.0,1.0,0.0,0.0,0.0,2.0,19.0,3.0,13.0,6.0,5.0,3.0,4.0,7.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.23,2,2,2,2,False
elasticsearch,Public Class,org.elasticsearch.cluster.metadata.MetaData,3.0,3.0,3.0,1.0,14.0,0.0,12.0,1.0,2.0,17.0,0.0,6.0,4.0,36.0,36.0,30.0,13.0,1.0,1.0,0.0,34.0,835.0,100.0,671.0,141.0,418.0,64.0,298.0,512.0,171.0,23.0,23.0,26.0,11.0,1.0,8.0,91.0,88.0,0.1,133,133,141,62,False
elasticsearch,Anonymous Class,org.elasticsearch.common.util.concurrent.EsExecutors.daemonThreadFactory.(Anon_1),1.0,1.0,1.0,1.0,15.0,3.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,3.0,7.0,1.0,6.0,6.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.86,1,1,1,1,False
elasticsearch,Public Class,org.elasticsearch.common.Base64,3.0,3.0,4.0,1.0,41.0,3.0,20.0,22.0,1.0,2.0,0.0,27.0,20.0,28.0,28.0,1.0,0.0,0.0,6.0,0.0,22.0,2072.0,260.0,938.0,332.0,661.0,1162.0,375.0,521.0,168.0,16.0,16.0,17.0,7.0,1.0,5.0,0.0,0.0,1.24,110,108,116,42,True
elasticsearch,Public Class,org.elasticsearch.common.compress.bzip2.CBZip2OutputStream,6.0,6.0,7.0,3.0,42.0,5.0,31.0,5.0,2.0,2.0,0.0,6.0,11.0,41.0,41.0,35.0,19.0,0.0,30.0,2.0,9.0,2060.0,299.0,1368.0,354.0,1049.0,429.0,924.0,1150.0,406.0,41.0,41.0,46.0,38.0,2.0,20.0,88.0,66.0,0.31,275,273,292,124,True
