project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
hbase,Public Class,org.apache.hadoop.hbase.YouAreDeadException,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,4.0,2.0,1.0,24.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,6.0,1,1,1,1,False
hbase,Public Static Class,org.apache.hadoop.hbase.HServerLoad.RegionLoad,1.0,1.0,1.0,1.0,10.0,0.0,7.0,3.0,1.0,2.0,0.0,0.0,1.0,32.0,32.0,32.0,15.0,0.0,2.0,0.0,30.0,416.0,39.0,247.0,69.0,150.0,130.0,143.0,185.0,61.0,4.0,4.0,4.0,1.0,2.0,1.0,79.0,79.0,0.53,40,40,40,32,False
hbase,Private Static Class,org.apache.hadoop.hbase.thrift.generated.Hbase.scannerOpenWithStopTs_result.scannerOpenWithStopTs_resultTupleSchemeFactory,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,False
hbase,Public Class,org.apache.hadoop.hbase.io.hfile.CachedBlockQueue,1.0,1.0,1.0,1.0,11.0,0.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,5.0,102.0,7.0,39.0,11.0,21.0,56.0,19.0,29.0,11.0,4.0,4.0,4.0,1.0,1.0,3.0,40.0,40.0,1.44,9,9,9,5,False
hbase,Public Class,org.apache.hadoop.hbase.client.MultiPut,3.0,3.0,3.0,1.0,18.0,0.0,14.0,4.0,2.0,5.0,0.0,0.0,1.0,9.0,16.0,9.0,2.0,0.0,0.0,0.0,9.0,196.0,15.0,135.0,44.0,89.0,47.0,72.0,108.0,47.0,8.0,8.0,8.0,3.0,2.0,3.0,55.0,55.0,0.35,28,28,28,11,False
hbase,Public Class,org.apache.hadoop.hbase.regionserver.ShutdownHook,4.0,4.0,4.0,2.0,35.0,0.0,22.0,13.0,1.0,5.0,0.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,241.0,12.0,130.0,43.0,80.0,99.0,62.0,90.0,38.0,10.0,10.0,11.0,5.0,1.0,3.0,0.0,0.0,0.76,13,13,14,7,False
hbase,Public Class,org.apache.hadoop.hbase.io.hfile.slab.SingleSizeCache,1.0,1.0,1.0,1.0,12.0,0.0,9.0,1.0,3.0,9.0,0.0,0.0,2.0,18.0,18.0,18.0,8.0,0.0,1.0,0.0,17.0,320.0,39.0,203.0,59.0,120.0,78.0,82.0,120.0,47.0,4.0,4.0,4.0,4.0,1.0,2.0,72.0,63.0,0.38,31,31,31,21,False
hbase,Private Static Class,org.apache.hadoop.hbase.thrift.generated.TScan.TScanStandardScheme,14.0,11.0,14.0,2.0,65.0,1.0,63.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,135.0,5.0,129.0,6.0,93.0,8.0,63.0,88.0,8.0,16.0,12.0,16.0,3.0,2.0,4.0,0.0,0.0,0.06,28,23,28,4,False
hbase,Public Class,org.apache.hadoop.hbase.ipc.Invocation,1.0,1.0,1.0,1.0,7.0,0.0,6.0,1.0,2.0,3.0,1.0,0.0,1.0,14.0,14.0,14.0,6.0,1.0,0.0,1.0,12.0,138.0,15.0,104.0,31.0,65.0,20.0,62.0,85.0,30.0,4.0,4.0,4.0,1.0,2.0,2.0,68.0,68.0,0.19,23,23,23,14,False
hbase,Public Class,org.apache.hadoop.hbase.io.hfile.BlockCacheColumnFamilySummary,1.0,1.0,1.0,1.0,9.0,0.0,5.0,3.0,3.0,0.0,0.0,2.0,0.0,20.0,20.0,18.0,4.0,0.0,0.0,0.0,20.0,237.0,21.0,116.0,41.0,64.0,102.0,53.0,85.0,35.0,10.0,10.0,10.0,10.0,1.0,2.0,62.0,57.0,0.88,33,33,33,29,False
