project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
hive,Public Class,org.apache.hadoop.hive.metastore.events.AlterTableEvent,1.0,1.0,1.0,1.0,6.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,6.0,3.0,2.0,0.0,0.0,0.0,3.0,42,5,14,6,5,23,7,11,6,1.0,1.0,1.0,1.0,2.0,0,33.0,33.0,1.64,3,3,3,3,False
hive,Public Class,org.apache.hadoop.hive.ql.plan.api.Query,3.0,2.0,3.0,1.0,12.0,0.0,11.0,0.0,4.0,3.0,0.0,0.0,12.0,66.0,66.0,66.0,10.0,0.0,2.0,0.0,64.0,1038,119,888,162,583,60,413,616,150,26.0,26.0,54.0,26.0,1.0,4,82.0,73.0,0.07,218,190,246,120,False
hive,Public Class,org.apache.hadoop.hive.contrib.util.typedbytes.TypedBytesWritable,1.0,1.0,2.0,1.0,8.0,0.0,7.0,1.0,1.0,3.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,78,7,45,15,25,26,18,31,15,4.0,4.0,5.0,4.0,2.0,2,0.0,0.0,0.58,11,11,12,9,False
hive,Anonymous Class,org.apache.hadoop.hive.contrib.mr.TestGenericMR.identityReducer.(Anon_5),2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8,0,8,0,6,0,1,3,1,2.0,2.0,2.0,1.0,1.0,1,0.0,0.0,0.0,2,2,2,1,False
hive,Public Static Class,org.apache.hadoop.hive.service.ThriftHive.clean_args,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,2.0,18.0,18.0,18.0,1.0,0.0,2.0,0.0,16.0,199,37,146,45,68,16,54,96,39,3.0,4.0,3.0,3.0,1.0,2,100.0,100.0,0.11,27,31,27,22,False
hive,Public Class,org.apache.hadoop.hive.ql.udf.UDFCeil,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,2.0,1.0,0.0,0.0,0.0,2.0,37,3,13,4,6,21,4,8,4,2.0,2.0,2.0,1.0,2.0,1,50.0,50.0,1.62,3,3,3,2,False
hive,Public Class,org.apache.hadoop.hive.metastore.model.MPartitionEvent,1.0,1.0,1.0,1.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,5.0,0.0,0.0,0.0,8.0,86,15,36,15,13,35,17,26,14,1.0,1.0,1.0,1.0,1.0,0,62.0,62.0,0.97,8,8,8,8,False
hive,Class,org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer.StorageFormat,6.0,4.0,6.0,1.0,26.0,0.0,26.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,61,3,58,7,47,0,33,42,7,8.0,4.0,8.0,1.0,1.0,2,0.0,0.0,0.0,12,8,13,2,False
hive,Public Class,org.apache.hadoop.hive.metastore.ObjectStore,3.0,3.0,4.0,1.0,26.0,0.0,23.0,1.0,3.0,55.0,0.0,2.0,5.0,136.0,136.0,134.0,8.0,0.0,62.0,0.0,74.0,3832,273,3336,884,2438,226,1606,2248,707,46.0,46.0,48.0,32.0,1.0,9,93.0,71.0,0.07,513,513,565,190,True
hive,Public Class,org.apache.hadoop.hive.ql.exec.DDLTask,8.0,7.0,8.0,3.0,53.0,4.0,41.0,7.0,2.0,116.0,0.0,2.0,7.0,61.0,120.0,59.0,2.0,1.0,52.0,1.0,7.0,3374,340,2536,492,2002,500,1193,1677,468,59.0,59.0,80.0,43.0,2.0,8,86.0,82.0,0.2,490,485,544,203,True
