project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
karaf,Public Class,org.apache.karaf.shell.osgi.Info,4.0,4.0,4.0,1.0,18.0,0.0,14.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,42,3,31,8,18,8,13,23,10,4.0,4.0,4.0,1.0,4.0,3,0.0,0.0,0.26,8,8,8,2,False
karaf,Anonymous Class,org.apache.karaf.features.internal.FeaturesServiceImpl.installFeatures.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6,0,6,0,5,0,1,2,1,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,1,1,1,1,False
karaf,Public Class,org.apache.karaf.shell.obr.RemoveUrlCommand,4.0,4.0,5.0,1.0,16.0,0.0,16.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,19.0,1.0,2.0,0.0,0.0,1.0,0.0,25,3,22,8,11,0,8,14,7,4.0,4.0,5.0,1.0,4.0,3,0.0,0.0,0.0,4,4,5,1,False
karaf,Public Class,org.apache.karaf.shell.console.completer.Parser,4.0,3.0,5.0,2.0,20.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,20.0,20.0,12.0,12.0,1.0,0.0,7.0,448,35,408,52,221,6,149,220,52,18.0,11.0,21.0,11.0,1.0,7,81.0,25.0,0.01,85,72,109,42,False
karaf,Public Class,org.apache.felix.gogo.commands.converter.GenericType,4.0,4.0,4.0,3.0,14.0,0.0,14.0,0.0,1.0,0.0,0.0,4.0,2.0,9.0,13.0,5.0,1.0,3.0,0.0,0.0,6.0,164,16,144,33,99,4,73,110,31,8.0,8.0,8.0,6.0,2.0,3,55.0,22.0,0.03,36,36,37,29,False
karaf,Protected Class,org.apache.karaf.tooling.cmdhelp.CmdHelpMojo.HelpPrinter.ConfPreparator,9.0,9.0,13.0,1.0,47.0,2.0,44.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,12.0,2.0,1.0,1.0,0.0,1.0,0.0,103,8,93,15,64,2,43,66,19,17.0,17.0,25.0,1.0,3.0,5,0.0,0.0,0.02,18,18,26,2,False
karaf,Public Class,org.apache.karaf.shell.config.PropSetCommand,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,27.0,1.0,2.0,0.0,0.0,0.0,1.0,13,3,10,7,1,0,3,5,4,1.0,1.0,1.0,1.0,5.0,0,0.0,0.0,0.0,1,1,1,1,False
karaf,Public Class,org.apache.felix.gogo.commands.basic.SimpleCommand,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,2.0,1.0,1.0,0.0,6.0,11.0,5.0,1.0,0.0,0.0,0.0,6.0,52,9,40,11,17,3,14,23,11,3.0,3.0,3.0,3.0,2.0,1,33.0,16.0,0.07,9,9,9,8,False
karaf,Public Class,org.apache.karaf.features.internal.FeaturesServiceImpl,3.0,3.0,3.0,1.0,16.0,0.0,14.0,1.0,3.0,19.0,6.0,2.0,4.0,74.0,74.0,72.0,17.0,1.0,3.0,25.0,45.0,1348,104,1099,259,722,145,498,828,316,30.0,30.0,36.0,8.0,1.0,8,95.0,83.0,0.13,269,269,295,98,True
karaf,Public Class,org.apache.karaf.webconsole.gogo.Terminal,3.0,2.0,4.0,1.0,10.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,123.0,123.0,123.0,41.0,0.0,115.0,0.0,8.0,1473,131,1235,245,836,194,823,1111,255,155.0,17.0,155.0,10.0,1.0,5,95.0,82.0,0.16,476,281,507,137,True
