project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
pig,Public Class,org.apache.pig.test.TestCompressedFiles,1.0,1.0,1.0,1.0,14.0,0.0,13.0,0.0,1.0,8.0,0.0,1.0,1.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0,5.0,91.0,10.0,81.0,31.0,54.0,0.0,45.0,55.0,25.0,3.0,3.0,3.0,1.0,2.0,1.0,40.0,40.0,0.0,9,9,9,5,False
pig,Public Class,org.apache.pig.test.TestCounters,4.0,4.0,4.0,1.0,36.0,5.0,30.0,0.0,1.0,14.0,0.0,1.0,3.0,15.0,15.0,14.0,3.0,0.0,1.0,0.0,14.0,635.0,101.0,482.0,162.0,404.0,52.0,392.0,467.0,163.0,13.0,13.0,16.0,1.0,1.0,3.0,54.0,36.0,0.11,70,70,73,15,False
pig,Static Class,org.apache.hadoop.zebra.mapred.TestMultipleOutputs4.MapClass,3.0,3.0,3.0,1.0,22.0,3.0,15.0,4.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,80.0,12.0,55.0,17.0,32.0,13.0,26.0,36.0,11.0,6.0,6.0,6.0,1.0,1.0,1.0,33.0,33.0,0.24,10,10,10,3,False
pig,Public Class,org.apache.pig.piggybank.storage.JsonMetadata,3.0,3.0,3.0,1.0,20.0,0.0,16.0,3.0,3.0,12.0,0.0,0.0,1.0,10.0,10.0,10.0,6.0,0.0,0.0,1.0,9.0,245.0,23.0,179.0,53.0,126.0,43.0,92.0,125.0,47.0,8.0,8.0,9.0,4.0,1.0,5.0,83.0,83.0,0.24,36,36,38,17,False
pig,Static Class,org.apache.hadoop.zebra.tfile.TFile.TFileIndex,2.0,2.0,2.0,1.0,11.0,0.0,9.0,1.0,1.0,7.0,0.0,0.0,1.0,12.0,12.0,12.0,5.0,0.0,0.0,0.0,12.0,163.0,20.0,120.0,34.0,74.0,26.0,65.0,92.0,33.0,5.0,5.0,5.0,3.0,1.0,3.0,58.0,58.0,0.22,27,27,27,16,False
pig,Public Static Class,org.apache.pig.builtin.FloatMax.Initial,4.0,4.0,4.0,3.0,19.0,0.0,17.0,2.0,1.0,5.0,0.0,0.0,1.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,21.0,9.0,14.0,2.0,10.0,14.0,8.0,4.0,4.0,4.0,3.0,2.0,2.0,0.0,0.0,0.1,4,4,4,3,False
pig,Public Class,org.apache.pig.piggybank.evaluation.util.ToBag,4.0,4.0,4.0,1.0,18.0,2.0,16.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,36.0,4.0,19.0,6.0,11.0,13.0,9.0,14.0,6.0,4.0,4.0,4.0,1.0,2.0,3.0,0.0,0.0,0.68,4,4,4,1,False
pig,Public Class,org.apache.pig.impl.streaming.FileInputHandler,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,6.0,0.0,0.0,0.0,4.0,8.0,4.0,1.0,0.0,0.0,0.0,4.0,45.0,7.0,33.0,11.0,18.0,5.0,14.0,21.0,9.0,2.0,2.0,2.0,1.0,2.0,1.0,50.0,50.0,0.15,6,6,6,4,False
pig,Public Class,org.apache.pig.test.TestParamSubPreproc,6.0,6.0,7.0,5.0,37.0,4.0,32.0,0.0,1.0,1.0,0.0,0.0,0.0,31.0,31.0,31.0,5.0,0.0,0.0,0.0,31.0,1347.0,199.0,1049.0,307.0,820.0,101.0,681.0,820.0,277.0,8.0,8.0,10.0,6.0,2.0,3.0,15.0,15.0,0.1,194,194,244,156,False
pig,Class,org.apache.hadoop.zebra.io.ColumnGroup,2.0,2.0,2.0,1.0,17.0,0.0,13.0,4.0,1.0,9.0,0.0,12.0,14.0,12.0,12.0,0.0,0.0,6.0,1.0,0.0,5.0,2490.0,229.0,1797.0,453.0,1088.0,481.0,839.0,1238.0,402.0,9.0,9.0,9.0,1.0,1.0,4.0,100.0,100.0,0.27,32,32,32,12,True
pig,Public Class,org.apache.hadoop.zebra.tfile.TFile,1.0,1.0,1.0,1.0,9.0,0.0,5.0,3.0,1.0,5.0,0.0,6.0,11.0,7.0,7.0,1.0,0.0,3.0,1.0,0.0,3.0,2336.0,210.0,1130.0,325.0,632.0,1006.0,508.0,779.0,276.0,4.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,0.89,11,11,11,7,True
pig,Public Class,org.apache.pig.impl.logicalLayer.schema.Schema,4.0,4.0,5.0,2.0,30.0,2.0,20.0,7.0,3.0,9.0,0.0,16.0,3.0,43.0,43.0,27.0,4.0,0.0,6.0,0.0,37.0,1977.0,216.0,1209.0,299.0,817.0,554.0,521.0,818.0,261.0,19.0,19.0,24.0,19.0,1.0,6.0,80.0,60.0,0.46,211,211,221,98,True
