project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
qpid,Anonymous Class,org.apache.qpid.server.jmx.mbeans.QueueMBeanTest.isNotificationWithMessage.(Anon_1),1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,7.0,1.0,4.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Anonymous Class,org.apache.qpid.jms.FailoverPolicyTest.createStubConnection.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,16.0,100.0,16.0,84.0,0.0,51.0,0.0,10.0,26.0,16.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16,16,16,16,False
qpid,Public Class,org.apache.qpid.server.store.MessageStoreTest,1.0,1.0,1.0,1.0,22.0,3.0,15.0,3.0,1.0,36.0,1.0,0.0,3.0,32.0,76.0,32.0,17.0,0.0,19.0,3.0,10.0,838.0,174.0,547.0,112.0,345.0,117.0,281.0,350.0,115.0,6.0,6.0,8.0,1.0,4.0,2.0,87.0,73.0,0.21,57,57,60,32,False
qpid,Public Class,org.apache.qpid.server.binding.BindingFactory,3.0,3.0,3.0,1.0,18.0,1.0,15.0,0.0,1.0,15.0,0.0,0.0,0.0,9.0,9.0,9.0,2.0,0.0,2.0,0.0,7.0,244.0,43.0,192.0,35.0,82.0,9.0,63.0,104.0,32.0,11.0,11.0,13.0,1.0,1.0,2.0,55.0,11.0,0.05,29,29,31,9,False
qpid,Anonymous Class,org.apache.qpid.amqp_1_0.codec.IntegerWriter.(Anon_2),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,11.0,2.0,9.0,0.0,4.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2,2,2,2,False
qpid,Public Class,org.apache.qpid.server.filter.FilterManagerFactory,3.0,3.0,3.0,1.0,18.0,3.0,14.0,0.0,1.0,8.0,0.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,64.0,16.0,47.0,7.0,19.0,1.0,11.0,19.0,7.0,7.0,7.0,8.0,1.0,1.0,4.0,0.0,0.0,0.02,9,9,10,3,False
qpid,Public Class,org.apache.qpid.server.security.access.plugins.AccessControlTest,1.0,1.0,1.0,1.0,17.0,2.0,12.0,3.0,1.0,16.0,0.0,0.0,0.0,16.0,16.0,16.0,2.0,0.0,4.0,1.0,11.0,314.0,55.0,201.0,48.0,141.0,59.0,136.0,156.0,50.0,1.0,1.0,1.0,1.0,2.0,0.0,56.0,18.0,0.29,16,16,16,16,False
qpid,Public Class,org.apache.qpid.messaging.util.ParseError,2.0,2.0,2.0,1.0,11.0,0.0,10.0,0.0,1.0,4.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,32.0,4.0,24.0,5.0,9.0,4.0,6.0,11.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.17,4,4,4,2,False
qpid,Private Class,org.apache.qpid.amqp_1_0.type.messaging.codec.DeleteOnNoLinksWriter.Writer,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,27.0,7.0,1.0,0.0,0.0,6.0,1.0,49.0,8.0,41.0,15.0,8.0,0.0,7.0,16.0,9.0,1.0,2.0,1.0,1.0,3.0,1.0,57.0,42.0,0.0,7,8,7,7,False
qpid,Public Class,org.apache.qpid.server.security.auth.sasl.plain.PlainPasswordCallback,1.0,1.0,1.0,1.0,8.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,4.0,54.0,7.0,27.0,8.0,9.0,20.0,9.0,15.0,8.0,2.0,2.0,2.0,1.0,2.0,1.0,37.0,37.0,0.74,5,5,6,4,False
