project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
wicket,Public Class,org.apache.wicket.AbortException,1.0,1.0,1.0,1.0,8.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,9.0,4.0,2.0,9.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1,1,1,1,False
wicket,Public Abstract Class,org.apache.wicket.AbstractRestartResponseException,2.0,2.0,2.0,1.0,11.0,0.0,8.0,3.0,1.0,2.0,9.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,12.0,4.0,4.0,12.0,3.0,6.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,2,2,2,1,False
wicket,Public Class,org.apache.wicket.AccessStackPageMap,2.0,2.0,2.0,1.0,22.0,1.0,12.0,8.0,2.0,8.0,0.0,0.0,2.0,14.0,40.0,14.0,1.0,0.0,5.0,0.0,9.0,426.0,44.0,225.0,52.0,99.0,157.0,75.0,122.0,47.0,9.0,9.0,11.0,3.0,2.0,5.0,35.0,14.0,0.7,37,37,40,22,False
wicket,Public Static Class,org.apache.wicket.AccessStackPageMap.Access,1.0,1.0,1.0,1.0,8.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,64.0,6.0,34.0,13.0,9.0,24.0,10.0,17.0,10.0,2.0,2.0,3.0,1.0,1.0,1.0,19.0,19.0,0.71,6,6,7,5,False
wicket,Public Abstract Class,org.apache.wicket.Application,1.0,1.0,1.0,1.0,15.0,0.0,8.0,6.0,1.0,59.0,1.0,6.0,7.0,70.0,70.0,64.0,16.0,4.0,5.0,10.0,51.0,1262.0,114.0,581.0,137.0,237.0,567.0,205.0,318.0,129.0,5.0,5.0,6.0,4.0,1.0,3.0,96.0,92.0,0.98,115,115,116,69,False
wicket,Anonymous Class,org.apache.wicket.Application.Application.(Anon_1),2.0,2.0,2.0,1.0,15.0,0.0,9.0,6.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,10.0,1.0,5.0,6.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.6,2,2,2,1,False
wicket,Public Class,org.apache.wicket.ApplicationSettingsTest,1.0,1.0,1.0,1.0,9.0,0.0,7.0,2.0,1.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,1.0,0.0,0.0,2.0,8.0,118.0,10.0,79.0,25.0,44.0,29.0,33.0,44.0,23.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.37,10,10,10,10,False
wicket,Public Class,org.apache.wicket.AttributeModifier,1.0,1.0,2.0,1.0,15.0,0.0,7.0,7.0,2.0,9.0,6.0,0.0,3.0,20.0,37.0,20.0,5.0,0.0,2.0,3.0,15.0,392.0,29.0,171.0,45.0,60.0,193.0,46.0,82.0,36.0,9.0,9.0,10.0,1.0,2.0,5.0,78.0,51.0,1.13,37,37,41,20,False
wicket,Public Class,org.apache.wicket.AttributeModifierComponentPage,1.0,1.0,1.0,1.0,33.0,5.0,20.0,8.0,1.0,3.0,0.0,0.0,1.0,1.0,350.0,1.0,0.0,0.0,0.0,0.0,1.0,43.0,6.0,23.0,6.0,15.0,14.0,12.0,15.0,8.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.61,1,1,1,1,False
wicket,Anonymous Class,org.apache.wicket.AttributeModifierComponentPage.AttributeModifierComponentPage.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,7.0,0.0,4.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
