project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
xerces,Public Class,org.xml.sax.helpers.XMLReaderAdapter,1.0,1.0,1.0,1.0,13.0,0.0,5.0,8.0,3.0,12.0,0.0,0.0,0.0,22.0,22.0,22.0,3.0,0.0,2.0,0.0,20.0,497.0,78.0,153.0,51.0,36.0,268.0,36.0,70.0,36.0,2.0,2.0,2.0,1.0,1.0,1.0,74.0,66.0,1.75,24,24,24,22,False
xerces,Abstract Class,org.apache.xerces.util.AugmentationsImpl.AugmentationsItemsContainer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,9.0,8.0,0.0,0.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,False
xerces,Public Class,org.apache.xerces.impl.dv.xs.MonthDayDV,3.0,3.0,3.0,1.0,25.0,2.0,15.0,7.0,1.0,4.0,0.0,0.0,1.0,3.0,37.0,3.0,0.0,0.0,0.0,2.0,1.0,93.0,12.0,49.0,11.0,34.0,32.0,26.0,36.0,11.0,6.0,6.0,8.0,1.0,3.0,2.0,0.0,0.0,0.65,9,9,11,3,False
xerces,Public Abstract Class,org.apache.xml.serialize.BaseMarkupSerializer,3.0,3.0,4.0,1.0,24.0,1.0,17.0,4.0,8.0,25.0,3.0,0.0,0.0,61.0,61.0,61.0,20.0,0.0,0.0,23.0,38.0,1763.0,249.0,1089.0,198.0,670.0,431.0,518.0,721.0,158.0,45.0,32.0,56.0,24.0,1.0,5.0,91.0,75.0,0.4,216,203,269,96,False
xerces,Public Class,org.apache.wml.dom.WMLBigElementImpl,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,184.0,7.0,0.0,0.0,0.0,0.0,7.0,35.0,8.0,23.0,8.0,7.0,4.0,7.0,15.0,8.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.17,7,7,7,7,False
xerces,Public Class,org.apache.xerces.dom.EntityReferenceImpl,2.0,2.0,2.0,1.0,15.0,1.0,10.0,4.0,2.0,5.0,1.0,0.0,1.0,8.0,132.0,8.0,2.0,0.0,0.0,1.0,7.0,307.0,37.0,87.0,22.0,47.0,185.0,40.0,62.0,22.0,5.0,5.0,6.0,4.0,4.0,3.0,75.0,50.0,2.13,21,21,23,13,False
xerces,Public Class,org.apache.html.dom.HTMLOptGroupElementImpl,1.0,1.0,1.0,1.0,5.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,194.0,5.0,0.0,0.0,0.0,0.0,5.0,48.0,12.0,25.0,8.0,5.0,11.0,5.0,11.0,6.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.44,5,5,5,5,False
xerces,Anonymous Class,ui.TreeView.main.(for_loop_5).(Anon_5),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
xerces,Public Class,org.apache.xerces.impl.xs.opti.DefaultXMLDocumentHandler,1.0,1.0,1.0,1.0,13.0,0.0,2.0,11.0,4.0,11.0,1.0,0.0,0.0,52.0,52.0,52.0,3.0,0.0,0.0,0.0,52.0,830.0,64.0,158.0,100.0,6.0,608.0,9.0,62.0,56.0,1.0,1.0,1.0,1.0,1.0,0.0,96.0,96.0,3.85,52,52,52,52,False
xerces,Public Class,org.apache.xml.serialize.Method,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,12.0,8.0,6.0,5.0,20.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0,0,0,0,False
