project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lm
ant,Private Method,org.apache.tools.ant.taskdefs.optional.depend.Depend.determineOutOfDateClasses,8.0,44.0,3.0,38.0,11.0,26.0,3.0,16.0,30.0,1.0,19.0,27.0,11.0,16.0,9.0,9.0,9.0,7.0,4.0,4.0,4.0,4.0,0.08,9,9,9,7,False
ant,Public Method,org.apache.tools.ant.util.ScriptRunnerHelper.add,3.0,9.0,0.0,3.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.Copy.buildMap.(Anon_1).getResource,2.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.types.RegularExpression.getRegexp,10.0,13.0,0.0,8.0,1.0,5.0,5.0,5.0,2.0,0.0,4.0,6.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.63,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.Xalan2TraceSupport.configureTrace,8.0,17.0,0.0,17.0,4.0,12.0,0.0,8.0,3.0,0.0,9.0,12.0,3.0,9.0,3.0,3.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,3,3,4,1,False
ant,Private Method,org.apache.tools.ant.taskdefs.XmlProperty.getAttributeName,6.0,24.0,1.0,13.0,2.0,8.0,10.0,4.0,4.0,1.0,5.0,9.0,2.0,7.0,5.0,5.0,6.0,4.0,5.0,5.0,2.0,5.0,0.77,5,5,6,4,False
ant,Public Method,org.apache.tools.ant.taskdefs.Apt.setCompile,1.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.types.resources.selectors.InstanceOf.getType,1.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.33,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.extension.Extension.getSpecificationVendor,3.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Private Method,org.apache.tools.ant.types.PatternSet.NameEntry.valid,4.0,5.0,0.0,5.0,2.0,3.0,0.0,4.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2,1,False
ant,Private Method,org.apache.tools.ant.PropertyHelper.evalAsBooleanOrPropertyName,3.0,13.0,0.0,7.0,2.0,4.0,6.0,5.0,2.0,0.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.86,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.email.Header.getValue,3.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.33,1,1,1,1,False
ant,Protected Method,org.apache.tools.ant.taskdefs.SignJar.isUpToDate,5.0,40.0,3.0,16.0,2.0,10.0,21.0,6.0,7.0,1.0,6.0,11.0,2.0,9.0,5.0,5.0,7.0,4.0,4.0,4.0,2.0,4.0,1.31,5,5,7,4,False
ant,Public Method,org.apache.tools.ant.types.PropertySet.setMapper,3.0,14.0,0.0,8.0,3.0,6.0,6.0,5.0,1.0,0.0,6.0,7.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.types.selectors.FilenameSelector.setRegex,2.0,10.0,0.0,4.0,1.0,2.0,6.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.Copy.setQuiet,1.0,11.0,0.0,3.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.67,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.helper.ProjectHelper2.canParseAntlibDescriptor,0.0,12.0,0.0,3.0,1.0,1.0,9.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.junit.BatchTest.addFileSet,2.0,21.0,1.0,6.0,1.0,3.0,14.0,3.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.33,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.ssh.SSHSession.LocalTunnel.getRHost,2.0,5.0,0.0,5.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.SQLExec.createTransaction,2.0,9.0,0.0,5.0,2.0,3.0,4.0,2.0,1.0,0.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.helper.ProjectHelper2.TargetHandler.onStartChild,1.0,19.0,0.0,4.0,2.0,1.0,15.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.75,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.setDestdir,1.0,13.0,0.0,3.0,1.0,1.0,10.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.33,1,1,1,1,False
ant,Protected Method,org.apache.tools.ant.taskdefs.AbstractJarSignerTask.declareSysProperty,3.0,10.0,0.0,4.0,2.0,1.0,6.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1,1,1,1,False
ant,Private Method,org.apache.tools.ant.taskdefs.optional.ccm.CCMReconfigure.checkOptions,5.0,19.0,4.0,12.0,1.0,7.0,5.0,5.0,8.0,1.0,4.0,8.0,1.0,7.0,4.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.42,4,4,4,1,False
ant,Public Method,org.apache.tools.ant.ComponentHelper.setProject,2.0,9.0,0.0,4.0,1.0,2.0,5.0,3.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.25,1,1,1,1,False
ant,Public Constructor,org.apache.tools.ant.types.resources.MappedResource.MappedResource,4.0,9.0,0.0,4.0,1.0,2.0,5.0,3.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.25,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.types.PropertySet.PropertyRef.setName,2.0,8.0,0.0,4.0,1.0,2.0,4.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.junit.JUnitTestRunner.createEmptyStream.(Anon_1).write,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.util.LeadPipeInputStream.setManagingTask,1.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Private Method,org.apache.tools.ant.Target.testIfAllows,2.0,14.0,0.0,5.0,3.0,3.0,9.0,5.0,1.0,0.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,1,1,1,1,False
ant,Public Constructor,org.apache.tools.ant.input.GreedyInputHandler.GreedyInputHandler,0.0,5.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1,1,1,1,False
ant,Public Method,org.apache.tools.tar.TarBuffer.readRecord,9.0,32.0,6.0,20.0,2.0,14.0,6.0,5.0,12.0,1.0,7.0,12.0,2.0,10.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,0.3,5,5,5,3,False
