project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lm
ant,Public Method,org.apache.tools.ant.taskdefs.Zip.getDestFile,2.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.Filter.setFiltersfile,1.0,9.0,0.0,3.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.jlink.JlinkTask.execute,6.0,33.0,0.0,28.0,2.0,21.0,5.0,14.0,32.0,2.0,13.0,19.0,2.0,17.0,6.0,6.0,7.0,1.0,1.0,0.0,1.0,0.0,0.18,6,6,7,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.Concat.ConcatResource.getInputStream,7.0,41.0,0.0,41.0,8.0,30.0,0.0,12.0,38.0,2.0,19.0,28.0,7.0,21.0,10.0,10.0,11.0,1.0,2.0,0.0,3.0,0.0,0.0,10,10,11,1,False
ant,Private Method,org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbInfo.classesToGenerate,7.0,54.0,6.0,38.0,10.0,35.0,10.0,4.0,2.0,0.0,25.0,27.0,9.0,18.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.26,3,3,3,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.TraXLiaison.configure,1.0,40.0,6.0,26.0,7.0,18.0,8.0,22.0,12.0,1.0,16.0,19.0,7.0,12.0,5.0,5.0,5.0,1.0,0.0,0.0,2.0,0.0,0.31,5,5,5,1,False
ant,Protected Method,org.apache.tools.ant.types.resources.comparators.Size.resourceCompare,2.0,10.0,0.0,3.0,1.0,1.0,7.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.33,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.types.PropertySet.PropertyRef.setName,2.0,8.0,0.0,4.0,1.0,2.0,4.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.testing.Funtest.setShutdownUnit,1.0,7.0,0.0,3.0,1.0,1.0,4.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.33,1,1,1,1,False
ant,Public Constructor,org.apache.tools.ant.taskdefs.optional.javacc.JJDoc.JJDoc,1.0,6.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.cvslib.CvsTagEntry.toString,6.0,21.0,0.0,17.0,2.0,13.0,4.0,3.0,4.0,1.0,7.0,11.0,2.0,9.0,4.0,4.0,4.0,1.0,2.0,0.0,2.0,0.0,0.24,4,4,4,1,False
ant,Public Constructor,org.apache.tools.ant.taskdefs.cvslib.CVSEntry.CVSEntry,4.0,11.0,0.0,5.0,1.0,3.0,6.0,4.0,1.0,0.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,1,1,1,1,False
ant,Private Method,org.apache.tools.ant.taskdefs.Touch.getTimestamp,3.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2,2,1,False
ant,Private Method,org.apache.tools.ant.DemuxOutputStream.getBufferInfo,5.0,16.0,0.0,11.0,3.0,8.0,5.0,6.0,2.0,0.0,7.0,9.0,3.0,6.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.45,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.types.selectors.AbstractSelectorContainer.selectorCount,2.0,11.0,0.0,7.0,1.0,4.0,4.0,5.0,2.0,0.0,3.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.57,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.WhichResource.setProperty,1.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
