project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lm
eclipse.jdt.core,Public Method,org.eclipse.jdt.internal.compiler.lookup.BinaryTypeBinding.getField,4.0,9.0,0.0,9.0,3.0,6.0,0.0,3.0,3.0,0.0,6.0,8.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,0.0,3,3,4,3,False
eclipse.jdt.core,Private Method,org.eclipse.jdt.internal.codeassist.complete.CompletionParser.checkCatchClause,7.0,17.0,0.0,11.0,1.0,8.0,6.0,8.0,2.0,0.0,7.0,9.0,1.0,8.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.55,2,2,3,1,False
eclipse.jdt.core,Public Method,org.eclipse.jdt.internal.core.index.impl.WordEntry.getWord,14.0,6.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,False
eclipse.jdt.core,Public Method,org.eclipse.jdt.internal.core.hierarchy.TypeHierarchy.getAllSubtypes,2.0,6.0,0.0,3.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,False
eclipse.jdt.core,Private Method,org.eclipse.jdt.internal.core.hierarchy.HierarchyResolver.reportHierarchy,9.0,32.0,5.0,25.0,6.0,17.0,4.0,5.0,18.0,1.0,14.0,20.0,7.0,13.0,6.0,6.0,7.0,4.0,3.0,3.0,2.0,2.0,0.16,6,6,7,4,False
eclipse.jdt.core,Public Method,org.eclipse.jdt.internal.core.search.matching.ClasspathSourceDirectory.isPackage,1.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
eclipse.jdt.core,Public Method,org.eclipse.jdt.core.dom.SynchronizedStatement.getBody,6.0,14.0,0.0,8.0,2.0,5.0,6.0,6.0,2.0,0.0,4.0,6.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.75,2,2,2,1,False
eclipse.jdt.core,Protected Method,org.eclipse.jdt.internal.core.hierarchy.TypeHierarchy.addRootClass,6.0,8.0,0.0,4.0,1.0,2.0,4.0,2.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2,2,2,1,False
eclipse.jdt.core,Private Method,org.eclipse.jdt.internal.core.hierarchy.IndexBasedHierarchyBuilder.addInfosFromType,3.0,18.0,0.0,13.0,3.0,8.0,5.0,5.0,4.0,1.0,4.0,8.0,3.0,5.0,4.0,4.0,4.0,1.0,1.0,0.0,2.0,0.0,0.38,4,4,4,1,False
eclipse.jdt.core,Public Method,org.eclipse.jdt.core.BufferChangedEvent.getText,1.0,10.0,0.0,3.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.33,1,1,1,1,False
eclipse.jdt.core,Public Method,org.eclipse.jdt.core.dom.MethodDeclaration.getNodeType,1.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
eclipse.jdt.core,Method,org.eclipse.jdt.core.dom.MethodDeclaration.memSize,1.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
eclipse.jdt.core,Public Method,org.eclipse.jdt.internal.formatter.Scribe.getNextIndentationLevel,6.0,13.0,0.0,9.0,2.0,6.0,5.0,1.0,3.0,0.0,4.0,7.0,2.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,0.56,4,4,4,3,False
eclipse.jdt.core,Public Method,org.eclipse.jdt.internal.core.index.impl.JarFileEntryDocument.getEncoding,0.0,6.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,False
eclipse.jdt.core,Public Method,org.eclipse.jdt.internal.eval.CodeSnippetSkeleton.BinaryMethodSkeleton.getArgumentNames,0.0,6.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,False
eclipse.jdt.core,Public Method,org.eclipse.jdt.internal.core.JarPackageFragmentRoot.getPath,6.0,10.0,0.0,7.0,1.0,4.0,3.0,3.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.43,2,2,2,1,False
eclipse.jdt.core,Public Method,org.eclipse.jdt.core.dom.InfixExpression.getRightOperand,6.0,14.0,0.0,8.0,2.0,5.0,6.0,6.0,2.0,0.0,4.0,6.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.75,2,2,2,1,False
eclipse.jdt.core,Public Method,org.eclipse.jdt.internal.eval.CodeSnippetReturnStatement.needValue,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
eclipse.jdt.core,Public Method,org.eclipse.jdt.internal.core.DeltaProcessor.flush,2.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
eclipse.jdt.core,Public Method,org.eclipse.jdt.core.dom.EmptyStatement.subtreeMatch,2.0,4.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,1,1,1,1,False
eclipse.jdt.core,Public Method,org.eclipse.jdt.core.util.ByteCodeVisitorAdapter._istore_1,0.0,5.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1,1,1,1,False
eclipse.jdt.core,Public Abstract Method,org.eclipse.jdt.internal.core.builder.ClasspathLocation.getProjectRelativePath,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False
eclipse.jdt.core,Public Abstract Method,org.eclipse.jdt.internal.core.search.processing.JobManager.processName,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False
eclipse.jdt.core,Protected Method,org.eclipse.jdt.internal.core.jdom.DOMField.expand,7.0,20.0,0.0,16.0,4.0,11.0,4.0,8.0,4.0,1.0,8.0,12.0,4.0,8.0,4.0,4.0,7.0,1.0,0.0,0.0,3.0,0.0,0.25,4,4,7,1,False
