project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lm
hadoop,Private Method,org.apache.hadoop.dfs.DFSClient.DFSOutputStream.locateFollowingBlock,6.0,30,0,30,4,21,0,11.0,8.0,1.0,7,14,3,11,7.0,7.0,8.0,4.0,6.0,6.0,5,4.0,0.0,7,7,8,4,False
hadoop,Method,org.apache.hadoop.record.compiler.JType.genJavaConstructorParam,3.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
hadoop,Public Method,org.apache.hadoop.dfs.DFSClient.rename,4.0,8,0,4,1,2,4,4.0,1.0,0.0,2,3,1,2,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0,1,1,1,1,False
hadoop,Method,org.apache.hadoop.streaming.PipeMapRed.getURIOutputStream,4.0,20,0,18,5,12,2,9.0,3.0,0.0,8,12,5,7,3.0,3.0,3.0,1.0,1.0,0.0,1,0.0,0.11,3,3,3,1,False
hadoop,Public Method,org.apache.hadoop.mapred.jobcontrol.Job.getJobConf,1.0,6,0,3,1,1,3,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0,1,1,1,1,False
hadoop,Public Method,org.apache.hadoop.benchmarks.mapred.BenchmarkMapper.process,2.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
hadoop,Public Method,org.apache.hadoop.record.compiler.JMap.genJavaWriteWrapper,5.0,17,0,17,2,15,0,8.0,1.0,0.0,15,16,2,14,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
hadoop,Public Method,org.apache.hadoop.streaming.TestStreamedMerge.SideEffectConsumer.run,3.0,16,0,16,2,11,0,5.0,4.0,1.0,7,11,2,9,4.0,4.0,4.0,4.0,3.0,3.0,3,3.0,0.0,4,4,4,4,False
hadoop,Public Method,org.apache.hadoop.record.BinaryInputArchive.BinaryIndex.incr,0.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
hadoop,Public Method,org.apache.hadoop.mapred.ReduceTaskRunner.kill,1.0,10,0,6,1,3,4,2.0,1.0,0.0,2,4,1,3,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.67,1,1,1,1,False
hadoop,Public Method,org.apache.hadoop.dfs.DFSFileInfo.getPath,4.0,5,0,3,1,1,2,2.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.67,1,1,1,1,False
hadoop,Public Method,org.apache.hadoop.ipc.RPC.Invocation.readFields,4.0,10,0,10,2,7,0,8.0,2.0,0.0,8,10,3,7,2.0,2.0,2.0,1.0,0.0,0.0,1,0.0,0.0,2,2,2,1,False
hadoop,Public Method,org.apache.hadoop.dfs.FSNamesystem.exists,3.0,10,0,7,1,4,3,3.0,2.0,0.0,2,4,1,3,2.0,2.0,3.0,1.0,1.0,0.0,1,0.0,0.43,2,2,3,1,False
hadoop,Protected Constructor,org.apache.hadoop.io.SetFile.SetFile,0.0,1,0,1,1,0,1,1.0,1.0,0.0,0,1,1,0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0,1,1,1,1,False
hadoop,Public Method,org.apache.hadoop.mapred.SequenceFileInputFilter.FilterBase.getConf,1.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
hadoop,Method,org.apache.hadoop.dfs.FSEditLog.logAddDatanode,3.0,7,0,3,1,1,4,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,1.33,1,1,1,1,False
hadoop,Public Static Method,org.apache.hadoop.streaming.StreamUtil.formatBytes2,5.0,26,0,26,3,20,1,3.0,16.0,1.0,16,21,3,18,5.0,5.0,5.0,1.0,0.0,0.0,1,0.0,0.04,5,5,5,1,False
hadoop,Public Method,org.apache.hadoop.mapred.JobProfile.getJobName,1.0,6,0,3,1,1,3,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0,1,1,1,1,False
hadoop,Public Method,org.apache.hadoop.fs.LocalFileSystem.toString,0.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
hadoop,Public Method,org.apache.hadoop.fs.DF.toString,7.0,10,0,10,1,8,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
hadoop,Public Method,org.apache.hadoop.dfs.JspHelper.bestNode,4.0,38,3,34,8,28,1,11.0,18.0,1.0,21,27,8,19,7.0,7.0,8.0,1.0,1.0,0.0,3,0.0,0.03,7,7,8,1,False
hadoop,Public Abstract Method,org.apache.hadoop.record.OutputArchive.writeRecord,0.0,1,0,1,1,0,0,0.0,0.0,0.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,False
hadoop,Public Method,org.apache.hadoop.streaming.TupleInputFormat.MultiRecordReader.createKey,0.0,3,0,3,1,1,0,2.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
hadoop,Public Method,org.apache.hadoop.dfs.DFSClient.listPaths,6.0,6,0,4,1,2,2,4.0,1.0,0.0,2,3,1,2,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.5,1,1,1,1,False
