project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lm
ivy,Public Method,org.apache.ivy.core.resolve.ResolveTest.testBranches4,0.0,12,2,10,4,8,0,11.0,1.0,0.0,6,7,3,4,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
ivy,Public Method,org.apache.ivy.plugins.namespace.NamespaceRule.getFromSystem,2.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
ivy,Public Method,org.apache.ivy.ant.IvyInstallTest.testDependencyNotFoundSuccess,2.0,14,1,13,1,10,0,8.0,2.0,0.0,8,10,1,9,2.0,2.0,2.0,1.0,1.0,0.0,1,0.0,0.0,2,2,2,1,False
ivy,Abstract Method,org.apache.ivy.core.module.descriptor.ModuleDescriptor.doesExclude,1.0,9,0,1,1,0,8,1.0,0.0,0.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,0,0,0,0,False
ivy,Public Method,org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser.Parser.startElement,20.0,75,0,72,4,65,3,33.0,27.0,1.0,33,60,2,58,28.0,28.0,43.0,3.0,24.0,3.0,3,3.0,0.04,28,28,43,3,False
ivy,Private Method,org.apache.ivy.ant.IvyInstallTest.createCache,2.0,4,0,4,1,2,0,2.0,1.0,0.0,2,3,1,2,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
ivy,Public Method,org.apache.ivy.ant.IvyReport.setResolveId,1.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
ivy,Public Method,org.apache.ivy.util.url.URLHandlerDispatcher.getHandler,14.0,4,0,4,2,2,0,2.0,1.0,0.0,2,3,2,1,2.0,2.0,2.0,1.0,0.0,0.0,0,0.0,0.0,2,2,2,1,False
ivy,Public Method,org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParserTest.testIVY424,1.0,9,1,7,3,5,1,8.0,1.0,0.0,3,4,2,2,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.14,1,1,1,1,False
ivy,Protected Abstract Method,org.apache.ivy.plugins.repository.ssh.AbstractSshBasedRepository.getRepositoryScheme,1.0,1,0,1,1,0,0,1.0,0.0,0.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,False
ivy,Private Method,org.apache.ivy.plugins.resolver.FileSystemResolver.initTransaction,4.0,9,0,9,1,7,0,6.0,1.0,0.0,2,3,1,2,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
ivy,Public Method,org.apache.ivy.core.cache.CacheMetadataOptions.setChangingMatcherName,2.0,4,0,4,1,2,0,2.0,1.0,0.0,2,3,1,2,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
ivy,Public Method,org.apache.ivy.util.ConfiguratorTest.Housing.setProprietary,1.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
ivy,Public Method,org.apache.ivy.plugins.repository.file.FileResource.toString,0.0,3,0,3,1,1,0,2.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
ivy,Public Method,org.apache.ivy.ant.IvyPublish.setWarnonmissing,1.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
ivy,Public Method,org.apache.ivy.ant.IvyPublish.getPubbranch,2.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
ivy,Protected Method,org.apache.ivy.plugins.parser.AbstractModuleDescriptorParserTester.assertDependencyModulesExcludes,5.0,17,0,17,4,11,0,8.0,4.0,1.0,12,16,5,11,4.0,4.0,4.0,4.0,2.0,2.0,3,2.0,0.0,4,4,4,4,False
ivy,Public Method,org.apache.ivy.util.ConfiguratorTest.FileTester.getFile,2.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
ivy,Public Static Method,org.apache.ivy.util.Credentials.buildKey,5.0,7,0,7,1,4,0,3.0,2.0,0.0,2,4,1,3,2.0,2.0,3.0,1.0,1.0,0.0,1,0.0,0.0,2,2,3,1,False
ivy,Public Method,org.apache.ivy.util.EncrytedProperties.setProperty,2.0,3,0,3,1,1,0,4.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
ivy,Private Method,org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater.UpdaterHandler.startDependencies,6.0,30,0,27,5,19,3,9.0,24.0,1.0,10,17,5,12,7.0,7.0,9.0,1.0,1.0,0.0,3,0.0,0.11,7,7,9,1,False
ivy,Public Method,org.apache.ivy.ant.AddPathTask.setTopath,1.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
