project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lm
karaf,Abstract Method,org.apache.karaf.admin.Instance.stop,4.0,1,0,1,1,0,0,0.0,0.0,0.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,False
karaf,Private Method,org.apache.karaf.shell.console.Converters.getShortName,2.0,13,0,13,2,6,0,4.0,2.0,0.0,4,6,2,4,2.0,2.0,2.0,1.0,1.0,0.0,1,0.0,0.0,2,2,2,1,False
karaf,Public Method,org.apache.karaf.shell.osgi.BlueprintListener.blueprintEvent,3.0,5,0,5,2,3,0,5.0,1.0,0.0,3,4,2,2,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
karaf,Public Method,org.apache.karaf.admin.internal.InstanceImpl.setLocation,1.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
karaf,Private Method,org.apache.karaf.webconsole.gogo.Terminal.cursor_line_width,5.0,10,0,10,4,7,0,4.0,2.0,0.0,8,10,5,5,2.0,2.0,2.0,1.0,0.0,0.0,1,0.0,0.0,2,2,2,1,False
karaf,Public Method,org.apache.karaf.features.internal.FeaturesServiceImpl.setRefreshTimeout,1.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
karaf,Public Method,org.apache.karaf.management.mbeans.obr.internal.ObrMBeanImpl.setRepositoryAdmin,1.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
karaf,Private Method,org.apache.karaf.shell.wrapper.InstallCommand.copyResourceTo,4.0,40,0,38,7,29,2,14.0,5.0,1.0,14,22,7,15,5.0,5.0,5.0,1.0,2.0,0.0,5,0.0,0.05,5,5,5,1,False
karaf,Private Method,org.apache.karaf.jaas.jasypt.handler.NamespaceHandler.createRef,4.0,5,0,5,2,3,0,3.0,1.0,0.0,3,4,2,2,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
karaf,Public Method,org.apache.karaf.shell.ssh.SshServerFactory.start,4.0,9,0,9,1,5,0,2.0,3.0,0.0,2,5,1,4,3.0,3.0,3.0,1.0,1.0,0.0,2,0.0,0.0,3,3,3,1,False
karaf,Constructor,org.apache.karaf.tooling.cmdhelp.CmdHelpMojo.HelpPrinter.DocbxPreparator.DocbxPreparator,2.0,3,0,3,1,1,0,2.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
karaf,Public Method,org.apache.karaf.itests.StandardFeaturesTest.testSpringWebFeature,0.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
karaf,Method,org.apache.karaf.main.MySQLJDBCLockTest.createLock,1.0,17,1,16,1,12,0,1.0,1.0,0.0,7,10,3,7,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
karaf,Public Static Method,org.apache.karaf.jaas.modules.jdbc.JDBCUtils.createDatasource,7.0,42,0,35,10,28,7,11.0,14.0,1.0,18,27,10,17,9.0,9.0,9.0,6.0,10.0,10.0,3,10.0,0.2,9,9,9,6,False
karaf,Public Method,org.apache.karaf.jaas.modules.osgi.OsgiConfigLoginModule.initialize,3.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
karaf,Public Static Method,org.apache.karaf.client.Main.main,6.0,154,3,150,22,130,1,49.0,18330.0,4.0,95,125,25,100,30.0,30.0,30.0,1.0,19.0,0.0,4,0.0,0.01,30,30,30,1,True
karaf,Public Method,org.apache.karaf.features.internal.RepositoryImpl.load,14.0,164,8,151,47,123,5,51.0,539168.0,6.0,99,128,54,74,31.0,31.0,42.0,7.0,18.0,13.0,6,11.0,0.03,31,31,42,7,True
karaf,Protected Method,org.apache.karaf.shell.osgi.ListBundles.doExecute,10.0,153,10,133,22,97,10,27.0,1882380.0,6.0,64,100,27,73,38.0,38.0,42.0,1.0,7.0,0.0,7,0.0,0.08,38,38,42,1,True
karaf,Protected Method,org.apache.karaf.shell.wrapper.InstallCommand.doExecute,1.0,311,60,245,23,236,6,21.0,46.0,2.0,215,231,23,208,16.0,16.0,20.0,8.0,21.0,14.0,3,14.0,0.02,16,16,20,8,True
karaf,Private Method,org.apache.karaf.webconsole.gogo.Terminal.vt100_parse_process,6.0,166,0,166,1,159,87,65.0,306.0,2.0,218,224,1,223,155.0,6.0,155.0,1.0,6132.0,0.0,2,0.0,0.52,155,6,155,1,True
