project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lm
lucene,Public Method,org.apache.lucene.search.MultiSearcher.MultiSearcherCallableNoSort.call,11.0,17.0,0.0,16.0,4.0,12.0,3.0,6.0,3.0,0.0,10.0,14.0,5.0,9.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,0.19,3,3,3,3,False
lucene,Public Method,org.apache.lucene.analysis.ngram.NGramTokenizerTest.setUp,0.0,4.0,0.0,4.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Method,org.apache.solr.handler.JsonLoaderTest.testSimpleFormat,3.0,27.0,4.0,23.0,9.0,20.0,0.0,13.0,1.0,0.0,20.0,21.0,9.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Method,org.apache.lucene.util.fst.FST.readLabel,12.0,13.0,0.0,11.0,2.0,7.0,2.0,4.0,3.0,0.0,5.0,8.0,2.0,6.0,3.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0.18,3,3,3,1,False
lucene,Private Method,org.apache.lucene.search.suggest.fst.FSTCompletion.collect,13.0,35.0,2.0,26.0,3.0,18.0,7.0,11.0,14.0,1.0,12.0,19.0,2.0,17.0,7.0,7.0,7.0,6.0,11.0,11.0,3.0,11.0,0.27,7,7,7,6,False
lucene,Public Method,org.apache.lucene.benchmark.byTask.tasks.RepSumByPrefTask.setPrefix,2.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Static Method,org.apache.solr.handler.dataimport.TestSqlEntityProcessorDeltaPrefixedPk.beforeClass,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Static Method,org.apache.lucene.facet.taxonomy.CategoryPath.hashCodeOfSerialized,4.0,24.0,0.0,15.0,4.0,10.0,9.0,2.0,5.0,1.0,11.0,15.0,6.0,9.0,4.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.6,4,4,4,1,False
lucene,Public Method,org.apache.lucene.index.FrozenBufferedDeletes.termsIterable.(Anon_1).iterator,1.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Protected Method,org.apache.solr.response.JSONWriter.writeNamedListAsMapWithDups,2.0,24.0,3.0,17.0,3.0,13.0,4.0,11.0,5.0,1.0,13.0,17.0,4.0,13.0,4.0,4.0,4.0,1.0,0.0,0.0,2.0,0.0,0.24,4,4,4,1,False
lucene,Public Method,org.apache.solr.search.DelegatingCollector.setLastDelegate,5.0,7.0,0.0,6.0,2.0,4.0,1.0,3.0,2.0,0.0,6.0,6.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.17,2,2,2,1,False
lucene,Public Method,org.apache.lucene.util.WeakIdentityMap.IdentityWeakReference.hashCode,1.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Method,org.apache.solr.search.TestSearchPerf.testEmpty,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Method,org.apache.lucene.benchmark.quality.QualityStats.getSearchTime,1.0,6.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,False
lucene,Private Method,org.tartarus.snowball.ext.NorwegianStemmer.r_main_suffix,8.0,73.0,0.0,57.0,5.0,40.0,16.0,11.0,12.0,1.0,32.0,39.0,5.0,34.0,12.0,9.0,12.0,11.0,24.0,24.0,4.0,24.0,0.28,12,9,12,11,False
lucene,Public Method,org.apache.lucene.util.LuceneTestCase.setUp.(Anon_4).uncaughtException,4.0,6.0,0.0,6.0,0.0,5.0,0.0,4.0,2.0,0.0,3.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2,2,2,1,False
lucene,Public Method,org.apache.lucene.queryParser.standard.nodes.PrefixWildcardQueryNode.toString,2.0,4.0,0.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Method,org.apache.lucene.queryParser.core.nodes.FieldQueryNode.cloneTree,10.0,12.0,2.0,10.0,2.0,8.0,0.0,8.0,1.0,0.0,8.0,9.0,2.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Method,org.apache.solr.util.FindClasses.getClassLoader,3.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.33,1,1,1,1,False
lucene,Public Method,org.apache.lucene.benchmark.byTask.tasks.PerfTask.runAndMaybeStats,10.0,24.0,0.0,20.0,5.0,16.0,4.0,13.0,3.0,0.0,14.0,17.0,5.0,12.0,5.0,5.0,8.0,1.0,1.0,0.0,1.0,0.0,0.2,5,5,8,1,False
lucene,Public Method,org.apache.solr.search.function.distance.VectorDistanceFunction.getValues.(Anon_1).doubleVal,7.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Method,org.apache.solr.search.SolrFieldCacheMBean.getDescription,0.0,4.0,0.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Method,org.apache.lucene.analysis.hu.TestHungarianLightStemFilter.testVocabulary,1.0,4.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,1,1,1,1,False
lucene,Public Method,org.apache.lucene.search.spans.SpanOrQuery.getSpans.(Anon_1).skipTo,2.0,20.0,2.0,18.0,1.0,13.0,0.0,9.0,7.0,1.0,7.0,12.0,2.0,10.0,5.0,5.0,6.0,3.0,3.0,2.0,2.0,2.0,0.0,5,5,6,3,False
lucene,Public Method,org.apache.solr.schema.SpatialDistanceQuery.toString,14.0,16.0,0.0,15.0,2.0,12.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.07,3,3,3,1,False
lucene,Public Method,org.apache.lucene.util.AttributeSource.equals,4.0,34.0,4.0,29.0,4.0,21.0,1.0,6.0,8.0,1.0,12.0,20.0,4.0,16.0,8.0,8.0,10.0,8.0,15.0,15.0,4.0,15.0,0.03,8,8,10,8,False
lucene,Public Method,org.apache.lucene.analysis.shingle.ShingleFilterTest.testOutputUnigramsIfNoShinglesWithSimpleUnigramlessBigram,4.0,6.0,0.0,5.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,1,1,1,1,False
lucene,Public Method,org.apache.lucene.search.vectorhighlight.FieldQueryTest.testQueryPhraseMapOverlapPhrases,6.0,51.0,3.0,45.0,9.0,43.0,3.0,12.0,1.0,0.0,43.0,44.0,9.0,35.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07,1,1,1,1,False
lucene,Public Method,org.apache.solr.search.WrappedQuery.clone,1.0,5.0,0.0,5.0,2.0,3.0,0.0,3.0,1.0,0.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Method,org.apache.lucene.analysis.ru.RussianStemFilter.setStemmer,1.0,10.0,0.0,7.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.43,2,2,2,1,False
lucene,Public Method,org.apache.lucene.misc.TestLengthNormModifier.testGoodCases.(Anon_4).acceptsDocsOutOfOrder,0.0,3.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Abstract Method,org.apache.solr.search.function.ValueSource.equals,18.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False
lucene,Public Method,org.apache.lucene.search.Sort.equals,2.0,7.0,0.0,6.0,2.0,4.0,1.0,2.0,3.0,0.0,4.0,7.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,0.17,3,3,3,3,False
lucene,Public Static Method,org.apache.solr.handler.dataimport.TestSqlEntityProcessorDelta3.beforeClass,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Method,org.apache.lucene.analysis.cn.smart.SentenceTokenizer.end,2.0,5.0,0.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,1,1,1,1,False
lucene,Public Method,org.apache.solr.common.util.TestXMLEscaping.testAmpDotWithAccents,0.0,4.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,1,1,1,1,False
lucene,Public Method,org.apache.solr.core.TestSolrDeletionPolicy1.testKeepOptimizedOnlyCommits,0.0,12.0,1.0,11.0,4.0,8.0,0.0,9.0,3.0,0.0,6.0,10.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,3,3,3,3,False
lucene,Public Method,org.apache.lucene.index.ParallelReader.ParallelTermPositions.getPayloadLength,1.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Method,org.apache.lucene.index.IndexReader.toString,16.0,18.0,0.0,17.0,3.0,12.0,1.0,6.0,6.0,1.0,11.0,15.0,4.0,11.0,4.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,0.06,4,4,5,1,False
lucene,Public Constructor,org.apache.lucene.util.FieldCacheSanityChecker.ReaderField.ReaderField,4.0,4.0,0.0,4.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Private Constructor,org.apache.solr.handler.clustering.carrot2.LuceneCarrot2TokenizerFactory.ChineseTokenizerFactory.ChineseTokenizer.ChineseTokenizer,2.0,12.0,1.0,9.0,3.0,7.0,2.0,7.0,1.0,0.0,4.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.22,1,1,1,1,False
lucene,Public Method,org.apache.lucene.index.pruning.CarmelTopKTermPruningPolicy.ThresholdCollector.acceptsDocsOutOfOrder,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Constructor,org.apache.lucene.facet.util.ScoredDocIdsUtils.AllDocsScoredDocIDs.AllDocsScoredDocIDs,2.0,3.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Method,org.apache.lucene.index.DirectoryReader.MultiTermEnum.close,1.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Method,org.apache.lucene.search.similar.MoreLikeThis.setMaxNumTokensParsed,2.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
lucene,Protected Method,org.apache.lucene.queryParser.standard.processors.WildcardQueryNodeProcessor.setChildrenOrder,1.0,6.0,2.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Method,org.apache.lucene.queryParser.standard.config.StandardQueryConfigHandler.Operator.valueOf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Constructor,org.apache.lucene.util.junitcompat.TestSetupTeardownChaining.TestSetupTeardownChaining,0.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
lucene,Public Method,org.apache.solr.handler.dataimport.DataImporter.getHandlerName,2.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
