project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lm
nutch,Constructor,org.apache.nutch.util.CommandRunner.PullerThread.PullerThread,4.0,3,0,3,1,1,0,2.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
nutch,Public Method,org.apache.nutch.net.urlnormalizer.basic.BasicURLNormalizer.getConf,1.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
nutch,Method,org.apache.nutch.util.domain.DomainSuffixes.addDomainSuffix,6.0,3,0,3,1,1,0,2.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
nutch,Public Method,org.apache.nutch.collection.TestSubcollection.testInput,2.0,57,14,36,8,34,15,13.0,1.0,0.0,34,35,8,27,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.42,1,1,1,1,False
nutch,Public Method,org.apache.nutch.scoring.webgraph.LinkRank.Counter.configure,1.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
nutch,Public Method,org.apache.nutch.fetcher.FetcherOutput.equals,3.0,8,0,8,2,6,0,3.0,2.0,0.0,3,5,2,3,2.0,2.0,3.0,1.0,1.0,0.0,1,0.0,0.0,2,2,3,1,False
nutch,Protected Constructor,org.apache.nutch.indexer.solr.SolrMappingReader.SolrMappingReader,2.0,4,0,4,1,2,0,3.0,1.0,0.0,2,3,1,2,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
nutch,Protected Method,org.apache.nutch.urlfilter.regex.TestRegexURLFilter.getURLFilter,2.0,8,0,8,1,5,0,4.0,2.0,0.0,3,5,1,4,2.0,2.0,2.0,1.0,1.0,0.0,1,0.0,0.0,2,2,2,1,False
nutch,Public Method,org.apache.nutch.protocol.file.File.getProtocolOutput,6.0,34,6,28,6,21,5,13.0,8.0,1.0,14,21,6,15,7.0,7.0,8.0,4.0,7.0,6.0,4,5.0,0.18,7,7,8,4,False
nutch,Static Method,org.apache.nutch.util.URLUtil.fixPureQueryTargets,3.0,16,3,12,5,8,1,5.0,5.0,1.0,7,11,4,7,4.0,4.0,4.0,1.0,1.0,0.0,1,0.0,0.08,4,4,4,1,False
nutch,Private Method,org.apache.nutch.plugin.PluginDescriptor.setName,2.0,6,0,3,1,1,3,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0,1,1,1,1,False
nutch,Public Method,org.apache.nutch.scoring.webgraph.NodeDumper.dumpNodes,13.0,53,4,38,8,32,11,24.0,4.0,1.0,29,32,7,25,3.0,3.0,3.0,1.0,1.0,0.0,1,0.0,0.29,3,3,3,1,False
nutch,Private Method,org.apache.nutch.protocol.http.api.RobotRulesParser.RobotRuleSet.addPrefix,7.0,14,1,11,1,7,2,4.0,4.0,1.0,6,10,2,8,4.0,4.0,4.0,1.0,0.0,0.0,3,0.0,0.18,4,4,4,1,False
nutch,Public Static Method,org.apache.nutch.scoring.webgraph.LinkDumper.main,1.0,6,0,6,4,3,0,3.0,1.0,0.0,2,3,2,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
nutch,Public Method,org.apache.nutch.crawl.MapWritable.clear,2.0,5,0,5,1,3,0,4.0,1.0,0.0,3,4,1,3,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
nutch,Public Method,org.apache.nutch.indexer.staticfield.StaticFieldIndexer.getConf,1.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
nutch,Public Method,org.apache.nutch.crawl.LinkDbMerger.merge,9.0,17,2,15,6,12,0,12.0,2.0,0.0,13,15,7,8,2.0,2.0,2.0,1.0,0.0,0.0,1,0.0,0.0,2,2,2,1,False
nutch,Public Method,org.apache.nutch.parse.html.DOMContentUtils.getTitle,5.0,31,6,18,5,12,8,8.0,5.0,1.0,8,13,5,8,5.0,5.0,5.0,5.0,7.0,7.0,3,7.0,0.44,5,5,5,5,False
nutch,Public Method,org.apache.nutch.parse.ParseOutputFormat.getRecordWriter,10.0,198,20,170,47,138,12,15.0,1.0,0.0,89,121,46,75,2.0,2.0,2.0,1.0,0.0,0.0,0,0.0,0.07,2,2,2,1,True
nutch,Public Method,org.apache.nutch.scoring.webgraph.WebGraph.createWebGraph,14.0,172,24,124,21,106,24,30.0,864.0,3.0,90,103,18,85,13.0,13.0,13.0,1.0,3.0,0.0,3,0.0,0.19,13,13,13,1,True
nutch,Public Method,org.apache.nutch.segment.SegmentMerger.reduce,17.0,182,1,168,28,136,13,26.0,19635.0,4.0,96,130,27,103,35.0,35.0,36.0,7.0,18.0,11.0,6,9.0,0.08,35,35,36,7,True
nutch,Public Method,org.apache.nutch.tools.arc.ArcRecordReader.next,8.0,127,18,73,18,55,36,13.0,171.0,2.0,44,58,19,39,14.0,14.0,15.0,11.0,15.0,15.0,5,15.0,0.49,14,14,15,11,True
nutch,Private Method,org.apache.nutch.tools.arc.ArcSegmentCreator.output,19.0,117,11,82,13,60,24,44.0,1154.0,3.0,33,51,10,41,17.0,17.0,18.0,4.0,7.0,3.0,6,3.0,0.29,17,17,18,4,True
nutch,Public Static Method,org.apache.nutch.util.URLUtil.chooseRepr,7.0,155,10,55,17,38,92,7.0,9.0,1.0,27,36,17,19,12.0,12.0,18.0,9.0,11.0,11.0,3,11.0,1.67,12,12,18,9,True
