project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lm
pig,Public Method,org.apache.pig.test.TestTypeCheckingValidatorNoSchema.testForEachGenerate1,3.0,77.0,18.0,51.0,19.0,48.0,8.0,23.0,2.0,0.0,45.0,47.0,17.0,30.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.16,2,2,2,1,False
pig,Public Method,org.apache.pig.test.utils.AccumulatorBagCount.accumulate,1.0,11.0,1.0,10.0,3.0,7.0,0.0,5.0,3.0,0.0,5.0,8.0,3.0,5.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,3,3,3,1,False
pig,Public Method,org.apache.hadoop.zebra.types.SortInfo.getSortColumnNames,11.0,10.0,0.0,3.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.33,1,1,1,1,False
pig,Public Method,org.apache.hadoop.zebra.mapreduce.TableMRSortedTableZebraKeyGenerator.MapClass.setup,3.0,18.0,2.0,12.0,2.0,9.0,4.0,6.0,3.0,0.0,6.0,8.0,2.0,6.0,3.0,3.0,3.0,1.0,3.0,0.0,1.0,0.0,0.33,3,3,3,1,False
pig,Public Method,org.apache.pig.builtin.SUM.Intermediate.exec,5.0,11.0,0.0,11.0,3.0,8.0,0.0,5.0,3.0,0.0,5.0,7.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,3,3,3,3,False
pig,Public Static Method,org.apache.hadoop.zebra.mapreduce.TestMultipleOutputs2TypedApi.writeToFile,4.0,28.0,1.0,27.0,4.0,23.0,0.0,4.0,4.0,1.0,21.0,24.0,4.0,20.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,3,3,3,1,False
pig,Public Method,org.apache.pig.test.TestTypeCheckingValidator.testExpressionTypeChecking4,4.0,46.0,9.0,35.0,10.0,32.0,2.0,19.0,2.0,0.0,31.0,33.0,10.0,23.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.06,2,2,2,1,False
pig,Public Method,org.apache.pig.test.TestTypeCheckingValidator.testArithmeticOpCastInsert1,2.0,31.0,7.0,22.0,7.0,20.0,2.0,16.0,1.0,0.0,20.0,21.0,7.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.09,1,1,1,1,False
pig,Private Method,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.NoopStoreRemover.removeStore,7.0,17.0,1.0,14.0,3.0,10.0,2.0,11.0,3.0,0.0,7.0,10.0,3.0,7.0,3.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,0.14,3,3,3,1,False
pig,Private Method,org.apache.pig.newplan.logical.rules.ColumnPruneHelper.clearAnnotation,5.0,9.0,0.0,9.0,3.0,6.0,0.0,4.0,2.0,0.0,5.0,7.0,3.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2,2,2,1,False
pig,Public Method,org.apache.hadoop.zebra.io.TestRecord.testReadNegative2,2.0,16.0,1.0,15.0,7.0,13.0,0.0,12.0,1.0,0.0,13.0,14.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
pig,Protected Method,org.apache.hadoop.zebra.mapreduce.BasicTableExpr.dumpInfo,4.0,4.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
pig,Public Method,org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POCollectedGroup.attachInput,1.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.33,1,1,1,1,False
pig,Public Method,org.apache.tools.bzip2r.CBZip2InputStream.getPos,4.0,16.0,0.0,3.0,1.0,1.0,13.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.33,1,1,1,1,False
pig,Public Method,org.apache.pig.impl.io.BinStorageRecordReader.close,1.0,5.0,0.0,5.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2,2,2,1,False
pig,Public Method,org.apache.pig.test.TestBoolean.testNotFalse,6.0,7.0,0.0,7.0,2.0,5.0,0.0,5.0,1.0,0.0,5.0,6.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
pig,Public Method,org.apache.pig.test.TestJoin.testDefaultJoin,2.0,41.0,3.0,36.0,15.0,29.0,2.0,10.0,2.0,0.0,20.0,23.0,9.0,14.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.06,2,2,2,1,False
pig,Public Abstract Method,org.apache.pig.newplan.OperatorPlan.add,25.0,6.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,False
pig,Public Constructor,org.apache.pig.impl.logicalLayer.LONegative.LONegative,3.0,10.0,0.0,3.0,1.0,1.0,7.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.33,1,1,1,1,False
pig,Public Method,org.apache.pig.test.TestDataBag.TestMemoryManager.register,5.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
pig,Public Method,org.apache.hadoop.zebra.mapreduce.TableInputFormat.SplitMode.values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
pig,Public Method,org.apache.pig.newplan.logical.relational.LOStream.getStreamingCommand,3.0,9.0,0.0,3.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1,1,1,1,False
pig,Public Method,org.apache.pig.piggybank.evaluation.datetime.convert.ISOToUnix.getArgToFuncMapping,1.0,6.0,1.0,5.0,2.0,3.0,0.0,5.0,1.0,0.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
pig,Private Method,org.apache.pig.builtin.Utf8StorageConverter.consumeMap,5.0,59.0,2.0,55.0,7.0,41.0,5.0,14.0,1878.0,3.0,25.0,42.0,7.0,35.0,17.0,17.0,23.0,8.0,12.0,12.0,4.0,11.0,0.09,17,17,23,8,False
