project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lm
qpid,Public Method,org.apache.qpid.server.store.berkeleydb.upgrade.UpgraderTest.testEmptyDatabaseUpgradeDoesNothing,5.0,18.0,3.0,15.0,4.0,12.0,0.0,14.0,1.0,0.0,12.0,13.0,4.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Method,org.apache.qpid.server.store.berkeleydb.jmx.BDBHAMessageStoreManagerMBeanTest.testRemoveNodeFromReplicationGroupWithError,3.0,14.0,1.0,12.0,1.0,5.0,1.0,6.0,2.0,0.0,3.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.08,2,2,2,1,False
qpid,Protected Method,org.apache.qpid.server.security.auth.sasl.plain.PlainSaslServerTest.setUp,4.0,8.0,0.0,8.0,2.0,5.0,0.0,7.0,1.0,0.0,5.0,6.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Method,org.apache.qpid.client.failover.FailoverBehaviourTest.failoverComplete,1.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Private Method,org.apache.qpid.management.ui.views.NavigationView.addDefaultNodes,7.0,23.0,1.0,15.0,3.0,12.0,7.0,4.0,1.0,0.0,12.0,13.0,3.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,1,1,1,1,False
qpid,Protected Method,org.apache.qpid.test.unit.message.TestAMQSession.requestQueueDepth,0.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Protected Method,org.apache.qpid.qmf.QMFClass.setStatistics,3.0,7.0,0.0,7.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2,2,2,1,False
qpid,Public Method,org.apache.qpid.client.AMQConnection.getMaximumFrameSize,3.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Protected Method,org.apache.qpid.client.message.TypedBytesContentReader.readBytes,6.0,54.0,1.0,49.0,4.0,28.0,4.0,7.0,26.0,1.0,14.0,22.0,4.0,18.0,8.0,8.0,8.0,4.0,6.0,5.0,3.0,5.0,0.08,8,8,8,4,False
qpid,Public Method,org.apache.qpid.tools.JVMArgConfiguration.getRandomMsgSizeStartFrom,1.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Method,org.apache.qpid.server.store.berkeleydb.AbstractBDBMessageStore.startWithNoRecover,6.0,14.0,0.0,7.0,1.0,4.0,7.0,1.0,1.0,0.0,4.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,False
qpid,Public Method,org.apache.qpid.amqp_1_0.type.transport.Begin.toString,8.0,80.0,9.0,71.0,3.0,36.0,0.0,4.0,6561.0,4.0,20.0,37.0,3.0,34.0,17.0,17.0,17.0,1.0,0.0,0.0,2.0,0.0,0.0,17,17,17,1,False
qpid,Public Method,org.apache.qpid.management.ui.views.VHNotificationsTabControl.LabelProviderImpl.removeListener,2.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Abstract Method,org.apache.qpid.server.protocol.AMQConnectionModel.block,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False
qpid,Abstract Method,org.apache.qpid.disttest.client.utils.ExecutorWithLimits.shutdown,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False
