project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lm
wicket,Public Method,org.apache.wicket.settings.Settings.addComponentResolver,2.0,7.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,1,1,1,1,False
wicket,Abstract Method,org.apache.wicket.util.crypt.ICrypt.decryptUrlSafe,5.0,9.0,0.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,0,0,0,False
wicket,Public Constructor,org.apache.wicket.markup.html.internal.EnclosurePage_4.EnclosurePage_4,1.0,17.0,2.0,9.0,4.0,6.0,6.0,6.0,1.0,0.0,6.0,7.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.67,1,1,1,1,False
wicket,Protected Method,org.apache.wicket.markup.html.image.Image.getStatelessHint,1.0,8.0,0.0,5.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.6,1,1,3,1,False
wicket,Public Constructor,org.apache.wicket.examples.authorization.pages.PanelsPage.PanelsPage,1.0,22.0,2.0,12.0,4.0,9.0,8.0,6.0,1.0,0.0,9.0,10.0,4.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.67,1,1,1,1,False
wicket,Public Method,org.apache.wicket.jmx.ResourceSettings.getUseDefaultOnMissingResource,1.0,7.0,0.0,4.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,1,1,1,1,False
wicket,Public Generic Method,org.apache.wicket.Page.removePersistedFormData,6.0,40.0,1.0,20.0,2.0,9.0,19.0,4.0,2.0,0.0,4.0,8.0,2.0,6.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.95,2,2,2,1,False
wicket,Protected Method,org.apache.wicket.examples.images.Home.CircleDynamicImageResource.render,1.0,5.0,0.0,5.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
wicket,Public Constructor,org.apache.wicket.examples.WicketExampleApplication.WicketExampleApplication,1.0,12.0,0.0,3.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1,1,1,1,False
wicket,Public Method,org.apache.wicket.protocol.http.WebRequestCycleProcessor.resolve,8.0,207.0,13.0,142.0,19.0,76.0,53.0,41.0,291.0,2.0,33.0,57.0,15.0,42.0,23.0,23.0,29.0,1.0,13.0,0.0,7.0,0.0,0.37,23,23,29,1,True
wicket,Public Method,org.apache.wicket.protocol.http.WicketFilter.doFilter,12.0,165.0,11.0,102.0,13.0,55.0,52.0,30.0,154.0,2.0,35.0,50.0,12.0,38.0,13.0,13.0,15.0,5.0,11.0,6.0,4.0,5.0,0.51,13,13,15,5,True
wicket,Private Method,org.apache.wicket.util.io.SerializableChecker.internalCheck,22.0,214.0,13.0,196.0,22.0,105.0,5.0,28.0,521.0,3.0,72.0,99.0,25.0,74.0,24.0,24.0,28.0,6.0,20.0,9.0,3.0,8.0,0.03,24,24,28,6,True
