project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lpl
ant,Public Implicit Method,clone,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0,False
ant,Public Constructor,org.apache.tools.ant.AntClassLoader.AntClassLoader,3.0,61.0,0.0,5.0,1.0,3.0,56.0,4.0,1.0,0.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.2,1,1,1,1,False
ant,Public Constructor,org.apache.tools.ant.AntClassLoader.AntClassLoader,0.0,6.0,0.0,3.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,False
ant,Public Constructor,org.apache.tools.ant.AntClassLoader.AntClassLoader,3.0,16.0,0.0,5.0,1.0,3.0,11.0,4.0,1.0,0.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.2,1,1,1,1,False
ant,Public Constructor,org.apache.tools.ant.AntClassLoader.AntClassLoader,8.0,25.0,0.0,9.0,2.0,5.0,16.0,5.0,2.0,0.0,4.0,6.0,1.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.78,2,2,2,1,False
ant,Public Constructor,org.apache.tools.ant.AntClassLoader.AntClassLoader,3.0,15.0,0.0,3.0,1.0,1.0,12.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1,1,1,1,False
ant,Public Constructor,org.apache.tools.ant.AntClassLoader.AntClassLoader,2.0,18.0,0.0,5.0,1.0,3.0,13.0,4.0,1.0,0.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.6,1,1,1,1,False
ant,Constructor,org.apache.tools.ant.AntClassLoader.ResourceEnumeration.ResourceEnumeration,2.0,11.0,0.0,5.0,1.0,3.0,6.0,4.0,1.0,0.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,1,1,1,1,False
ant,Private Method,org.apache.tools.ant.AntClassLoader.ResourceEnumeration.findNextResource,5.0,20.0,0.0,12.0,3.0,8.0,8.0,5.0,3.0,0.0,5.0,8.0,3.0,5.0,3.0,3.0,4.0,1.0,1.0,0.0,2.0,0.0,0.67,3,3,4,1,False
ant,Public Method,org.apache.tools.ant.AntClassLoader.ResourceEnumeration.hasMoreElements,1.0,10.0,0.0,3.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.33,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.AntClassLoader.ResourceEnumeration.nextElement,1.0,13.0,0.0,8.0,2.0,5.0,5.0,2.0,2.0,0.0,4.0,6.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.63,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.AntClassLoader.addJavaLibraries,6.0,12.0,0.0,8.0,4.0,5.0,4.0,5.0,2.0,0.0,4.0,6.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.AntClassLoader.addLoaderPackageRoot,4.0,12.0,0.0,3.0,1.0,1.0,9.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.AntClassLoader.addPathComponent,3.0,13.0,0.0,6.0,1.0,3.0,7.0,2.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.17,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.AntClassLoader.addPathElement,5.0,18.0,0.0,9.0,3.0,6.0,9.0,2.0,2.0,0.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,3,3,3,1,False
ant,Protected Method,org.apache.tools.ant.AntClassLoader.addPathFile,6.0,62.0,2.0,50.0,12.0,37.0,10.0,22.0,64.0,2.0,21.0,33.0,11.0,22.0,11.0,11.0,12.0,7.0,6.0,6.0,3.0,4.0,0.2,11,11,12,7,False
ant,Public Method,org.apache.tools.ant.AntClassLoader.addSystemPackageRoot,5.0,12.0,0.0,3.0,1.0,1.0,9.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.AntClassLoader.buildFinished,0.0,9.0,0.0,3.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.AntClassLoader.buildStarted,0.0,8.0,0.0,2.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.AntClassLoader.cleanup,27.0,19.0,0.0,14.0,2.0,9.0,5.0,7.0,6.0,1.0,7.0,10.0,3.0,7.0,4.0,4.0,4.0,1.0,1.0,0.0,2.0,0.0,0.36,4,4,4,1,False
ant,Protected Method,org.apache.tools.ant.AntClassLoader.defineClassFromData,6.0,28.0,0.0,15.0,8.0,11.0,13.0,9.0,1.0,0.0,6.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.87,1,1,1,1,False
ant,Protected Method,org.apache.tools.ant.AntClassLoader.definePackage,3.0,29.0,1.0,16.0,4.0,11.0,12.0,6.0,4.0,1.0,7.0,11.0,4.0,7.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,0.75,4,4,4,3,False
ant,Protected Method,org.apache.tools.ant.AntClassLoader.definePackage,11.0,64.0,2.0,53.0,12.0,40.0,9.0,9.0,774.0,3.0,27.0,39.0,12.0,27.0,12.0,12.0,13.0,1.0,1.0,0.0,2.0,0.0,0.17,12,12,13,1,False
