project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lpl
hbase,Public Method,org.apache.hadoop.hbase.regionserver.RegionCoprocessorHost.postExists,5.0,24.0,0.0,18.0,3.0,11.0,6.0,6.0,6.0,1.0,6.0,12.0,3.0,9.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,0.33,5,5,5,4,False
hbase,Public Static Method,org.apache.hadoop.hbase.thrift.DemoClient.main,2.0,18.0,6.0,12.0,3.0,8.0,0.0,7.0,2.0,0.0,7.0,9.0,2.0,7.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2,2,2,1,False
hbase,Private Method,org.apache.hadoop.hbase.regionserver.ExplicitColumnTracker.setTS,2.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
hbase,Public Method,org.apache.hadoop.hbase.rest.protobuf.generated.StorageClusterStatusMessage.StorageClusterStatus.Region.Builder.setTotalStaticBloomSizeKB,3.0,6.0,0.0,6.0,1.0,4.0,0.0,4.0,1.0,0.0,4.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
hbase,Public Method,org.apache.hadoop.hbase.rest.protobuf.generated.TableInfoMessage.TableInfo.Region.Builder.setId,3.0,6.0,0.0,6.0,1.0,4.0,0.0,4.0,1.0,0.0,4.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
hbase,Public Method,org.apache.hadoop.hbase.regionserver.wal.HLog.LogSyncer.run,6.0,22.0,1.0,19.0,1.0,13.0,2.0,9.0,5.0,1.0,6.0,11.0,1.0,10.0,5.0,5.0,6.0,1.0,2.0,0.0,4.0,0.0,0.11,5,5,6,1,False
hbase,Protected Method,org.apache.hadoop.hbase.KeyValue.MetaKeyComparator.compareRowid,8.0,4.0,0.0,4.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
hbase,Public Method,org.apache.hadoop.hbase.thrift.generated.Hbase.createTable_result.getIo,2.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
hbase,Public Abstract Method,org.apache.hadoop.hbase.util.Bytes.Comparer.compareTo,5.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False
hbase,Method,org.apache.hadoop.hbase.security.token.AuthenticationTokenSecretManager.getKey,2.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
hbase,Public Method,org.apache.hadoop.hbase.regionserver.StoreScanner.ScanType.values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
hbase,Public Method,org.apache.hadoop.hbase.client.HConnectionManager.isRegionCached.(Anon_3).connect,3.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
hbase,Abstract Method,org.apache.hadoop.hbase.coprocessor.MasterObserver.postModifyColumn,1.0,8.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,False
hbase,Protected Method,org.apache.hadoop.hbase.thrift.ThriftServerRunner.HBaseHandler.addScanner,9.0,12.0,0.0,5.0,2.0,3.0,7.0,3.0,1.0,0.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4,1,1,1,1,False
hbase,Public Method,org.apache.hadoop.hbase.thrift.generated.Hbase.Client.send_mutateRowsTs,5.0,9.0,0.0,9.0,2.0,6.0,0.0,6.0,1.0,0.0,6.0,7.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
hbase,Private Method,org.apache.hadoop.hbase.thrift.generated.TCell.writeObject,2.0,7.0,0.0,7.0,1.0,4.0,0.0,1.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2,2,2,1,False
hbase,Public Method,org.apache.hadoop.hbase.util.JVMClusterUtil.RegionServerThread.getRegionServer,6.0,4.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,1,1,1,1,False
hbase,Public Method,org.apache.hadoop.hbase.util.Bytes.LexicographicalComparerHolder.PureJavaComparer.values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
hbase,Public Method,org.apache.hadoop.hbase.rest.protobuf.generated.CellMessage.Cell.getData,4.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
hbase,Public Method,org.apache.hadoop.hbase.thrift2.generated.THBaseService.put_args.getFieldValue,3.0,11.0,2.0,9.0,1.0,6.0,0.0,3.0,3.0,0.0,3.0,5.0,1.0,4.0,3.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,3,2,3,1,False
hbase,Public Static Method,org.apache.hadoop.hbase.client.RetriesExhaustedWithDetailsException.classifyExs,2.0,19.0,0.0,19.0,4.0,14.0,0.0,6.0,9.0,1.0,10.0,16.0,5.0,11.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,0.0,5,5,5,3,False
hbase,Public Method,org.apache.hadoop.hbase.KeyValue.split,7.0,39.0,0.0,39.0,15.0,37.0,0.0,11.0,1.0,0.0,35.0,36.0,14.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
