project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lpl
nutch,Public Method,org.apache.nutch.protocol.Content.getContent,19.0,4,0,3,1,1,1,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.33,1,1,1,1,False
nutch,Public Constructor,org.apache.nutch.metadata.Metadata.Metadata,36.0,6,0,3,1,1,3,2.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0,1,1,1,1,False
nutch,Public Method,org.apache.nutch.util.EncodingDetector.autoDetectClues,14.0,31,4,24,3,17,3,16.0,10.0,1.0,9,16,4,12,6.0,6.0,8.0,1.0,1.0,0.0,3,0.0,0.13,6,6,8,1,False
nutch,Protected Method,org.apache.nutch.urlfilter.regex.RegexURLFilter.Rule.match,2.0,3,0,3,1,1,0,3.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
nutch,Public Method,org.apache.nutch.crawl.LinkDb.configure,4.0,10,0,10,1,6,0,8.0,4.0,1.0,4,7,1,6,3.0,3.0,3.0,1.0,0.0,0.0,1,0.0,0.0,3,3,3,1,False
nutch,Public Method,org.apache.nutch.scoring.webgraph.NodeDumper.DumpType.valueOf,0.0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
nutch,Private Method,org.apache.nutch.urlfilter.validator.UrlValidator.isValidScheme,3.0,15,1,6,1,3,8,3.0,2.0,0.0,2,4,1,3,2.0,2.0,2.0,1.0,1.0,0.0,1,0.0,1.33,2,2,2,1,False
nutch,Public Static Method,org.apache.nutch.scoring.webgraph.LinkDumper.Reader.main,3.0,33,5,24,11,19,4,11.0,3.0,0.0,14,18,10,8,3.0,3.0,4.0,1.0,1.0,0.0,1,0.0,0.17,3,3,4,1,False
nutch,Static Method,org.apache.nutch.protocol.http.api.RobotRulesParser.getEmptyRules,1.0,8,0,3,1,1,5,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,1.67,1,1,1,1,False
nutch,Public Constructor,org.apache.nutch.protocol.httpclient.DummySSLProtocolSocketFactory.DummySSLProtocolSocketFactory,1.0,6,0,3,1,1,3,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0,1,1,1,1,False
nutch,Public Static Method,org.apache.nutch.crawl.CrawlDatum.read,2.0,5,0,5,2,3,0,3.0,1.0,0.0,3,4,2,2,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
nutch,Public Method,org.apache.nutch.crawl.Generator.DecreasingFloatComparator.compare,6.0,4,0,3,1,1,1,2.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.33,1,1,1,1,False
