project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lpl
qpid,Public Method,org.apache.qpid.transport.ProtocolError.getEncodedTrack,1.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Method,org.apache.qpid.server.store.berkeleydb.BDBHAMessageStore.getDurability,3.0,4.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Method,org.apache.qpid.disttest.jms.ControllerJmsDelegate.start,4.0,33.0,2.0,31.0,4.0,17.0,0.0,2.0,2.0,0.0,10.0,14.0,5.0,9.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2,2,2,1,False
qpid,Public Method,org.apache.qpid.client.QueueSenderAdapter.setDeliveryMode,2.0,5.0,0.0,5.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Private Method,org.apache.qpid.amqp_1_0.type.messaging.codec.DeleteOnNoLinksWriter.calculateCount,1.0,6.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Method,org.apache.qpid.server.util.InternalBrokerBaseCase.setMessageStore,1.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Abstract Method,org.apache.qpid.management.common.mbeans.LoggingManagement.setConfigFileRootLoggerLevel,1.0,8.0,0.0,1.0,1.0,0.0,7.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,False
qpid,Public Method,org.apache.qpid.disttest.client.ParticipantExecutor.ParticipantRunnable.run,0.0,15.0,1.0,14.0,3.0,7.0,0.0,5.0,1.0,0.0,5.0,7.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,False
qpid,Public Method,org.apache.qpid.transport.TestNetworkConnection.start,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Method,org.apache.qpid.server.store.berkeleydb.jmx.BDBHAMessageStoreManagerMBeanTest.testHelperHostPort,4.0,6.0,1.0,5.0,1.0,2.0,0.0,5.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Method,org.apache.qpid.management.ui.views.NavigationView.createListeners.(Anon_5).handleEvent.(Anon_6).handleEvent,1.0,7.0,0.0,6.0,0.0,4.0,1.0,4.0,1.0,0.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.17,1,1,1,1,False
qpid,Public Method,org.apache.qpid.client.security.amqplain.AmqPlainSaslClient.dispose,0.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Method,org.apache.qpid.server.virtualhost.VirtualHostImpl.BeforePassivationListener.event,8.0,27.0,4.0,18.0,2.0,11.0,5.0,7.0,1.0,0.0,9.0,11.0,2.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.28,1,1,1,1,False
qpid,Abstract Method,org.apache.qpid.client.AMQConnectionDelegate.getMinChannelID,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False
qpid,Public Method,org.apache.qpid.configuration.Accessor.SystemPropertyAccessor.getInt,1.0,4.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Abstract Method,org.apache.qpid.server.protocol.AMQProtocolSession.isClosing,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False
qpid,Private Method,org.apache.qpid.server.management.plugin.Management.getKeyStorePath,2.0,30.0,1.0,29.0,3.0,14.0,0.0,6.0,10.0,1.0,8.0,13.0,3.0,10.0,5.0,5.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,5,5,5,1,False
qpid,Public Method,org.apache.qpid.framing.FieldTable.isClean,2.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Abstract Method,org.apache.qpid.jms.Session.getDefaultPrefetchLow,0.0,4.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,False
qpid,Public Method,org.apache.qpid.client.message.AMQMessageDelegate_0_10.getJMSDestination,1.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Protected Method,org.apache.qpid.amqp_1_0.type.security.codec.SaslInitWriter.getDescriptor,0.0,4.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Constructor,org.apache.qpid.server.model.adapter.ConnectionAdapter.ConnectionStatisticsAdapter.ConnectionStatisticsAdapter,2.0,4.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Constructor,org.apache.qpid.server.protocol.v1_0.ReceivingLinkAttachment.ReceivingLinkAttachment,3.0,5.0,0.0,5.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Method,org.apache.qpid.client.message.AMQMessageDelegate_0_10.getJMSType,1.0,11.0,0.0,11.0,1.0,4.0,0.0,4.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2,2,2,1,False
qpid,Public Method,org.apache.qpid.gentools.AmqpField.getOrdinalMap,7.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Private Method,org.apache.qpid.client.QueueReceiverAdaptor.checkPreConditions,9.0,17.0,4.0,13.0,3.0,8.0,0.0,3.0,8.0,1.0,5.0,9.0,3.0,6.0,4.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,4,4,5,1,False
qpid,Public Method,org.apache.qpid.server.store.derby.DerbyMessageStore.deleteBridge,4.0,29.0,2.0,27.0,4.0,16.0,0.0,13.0,3.0,0.0,12.0,15.0,4.0,11.0,3.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,3,3,3,1,False
qpid,Public Method,org.apache.qpid.disttest.message.CreateSessionCommand.setConnectionName,4.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Method,org.apache.qpid.disttest.message.JsonHandlerTest.SendChristmasCards.getPersons,1.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Static Method,org.apache.qpid.server.store.berkeleydb.FieldTableEncoding.readFieldTable,6.0,25.0,4.0,21.0,3.0,10.0,0.0,4.0,3.0,0.0,6.0,9.0,3.0,6.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,3,3,3,3,False
qpid,Public Method,org.apache.qpid.amqp_1_0.transport.ReceivingLinkEndpoint.receiveDeliveryState,5.0,12.0,0.0,12.0,1.0,5.0,0.0,6.0,3.0,0.0,3.0,6.0,1.0,5.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,3,3,3,1,False
qpid,Public Method,org.apache.qpid.amqp_1_0.type.messaging.Properties.setCreationTime,3.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Static Method,org.apache.qpid.messaging.util.AddressParser.unquote,4.0,68.0,1.0,67.0,4.0,56.0,0.0,9.0,17.0,1.0,39.0,43.0,5.0,38.0,17.0,4.0,17.0,1.0,106.0,0.0,3.0,0.0,0.0,17,4,17,1,False
qpid,Public Method,org.apache.qpid.framing.ContentBody.BufferContentBody.getFrameType,1.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Method,org.apache.qpid.client.message.NonQpidObjectMessage.getJMSRedelivered,1.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
qpid,Public Method,org.apache.qpid.server.queue.MockAMQQueue.getMsgTxnEnqueues,0.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
