DirectoryScanner.java; org.apache.tools.ant;
Parallel.java; org.apache.tools.ant.taskdefs;
Zip.java; org.apache.tools.ant.taskdefs;
Ant.java; org.apache.tools.ant.taskdefs;
Javadoc.java; org.apache.tools.ant.taskdefs;
XSLTProcess.java; org.apache.tools.ant.taskdefs;
Copy.java; org.apache.tools.ant.taskdefs;
Delete.java; org.apache.tools.ant.taskdefs;
GenerateKey.java; org.apache.tools.ant.taskdefs;
Redirector.java; org.apache.tools.ant.taskdefs;
EmailTask.java; org.apache.tools.ant.taskdefs.email;
MimeMailer.java; org.apache.tools.ant.taskdefs.email;
EchoProperties.java; org.apache.tools.ant.taskdefs.optional;
Cab.java; org.apache.tools.ant.taskdefs.optional;
NetRexxC.java; org.apache.tools.ant.taskdefs.optional;
Depend.java; org.apache.tools.ant.taskdefs.optional.depend;
Translate.java; org.apache.tools.ant.taskdefs.optional.i18n;
FTP.java; org.apache.tools.ant.taskdefs.optional.net;
Pvcs.java; org.apache.tools.ant.taskdefs.optional.pvcs;
SplashTask.java; org.apache.tools.ant.taskdefs.optional.splash;
ModifiedSelector.java; org.apache.tools.ant.types.selectors.modifiedselector;
CBZip2InputStream.java; org.apache.tools.bzip2;
CBZip2OutputStream.java; org.apache.tools.bzip2;
