MacroDef.java; org.apache.tools.ant.taskdefs;	AntlibDefinition.java; org.apache.tools.ant.taskdefs;	
SchemaValidate.java; org.apache.tools.ant.taskdefs.optional;	XMLValidateTask.java; org.apache.tools.ant.taskdefs.optional;	
WeblogicDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	
BorlandDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	
JonasDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	
IPlanetDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	
WebsphereDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	
ArchiveFileSet.java; org.apache.tools.ant.types;	FileSet.java; org.apache.tools.ant.types;	
ArchiveScanner.java; org.apache.tools.ant.types;	DirectoryScanner.java; org.apache.tools.ant;	
URLResource.java; org.apache.tools.ant.types.resources;	Resource.java; org.apache.tools.ant.types;	
FileResource.java; org.apache.tools.ant.types.resources;	Resource.java; org.apache.tools.ant.types;	
