Table.java: org.apache.cassandra.db DBManager.java: org.apache.cassandra.db 1->2: 52  2->1: 35
BootstrapSourceTarget.java: org.apache.cassandra.dht LeaveJoinProtocolHelper.java: org.apache.cassandra.dht 1->2: 20  2->1: 0
Column.java: org.apache.cassandra.db ColumnComparatorFactoryTest.java: org.apache.cassandra.db 1->2: 75  2->1: 0
Memtable.java: org.apache.cassandra.db DataOutputBuffer.java: org.apache.cassandra.io 1->2: 11  2->1: 10
SSTable.java: org.apache.cassandra.io FileUtils.java: org.apache.cassandra.utils 1->2: 19  2->1: 22
Table.java: org.apache.cassandra.db RemoveColumnTest.java: org.apache.cassandra.db 1->2: 19  2->1: 0
Context.java: org.apache.cassandra.concurrent RowMutationVerbHandler.java: org.apache.cassandra.db 1->2: 18  2->1: 0
Column.java: org.apache.cassandra.db IdentityFilter.java: org.apache.cassandra.db 1->2: 0  2->1: 22
SuperColumn.java: org.apache.cassandra.db EfficientBidiMap.java: org.apache.cassandra.db 1->2: 6  2->1: 73
IStage.java: org.apache.cassandra.concurrent StageManager.java: org.apache.cassandra.concurrent 1->2: 13  2->1: 3
LeaveJoinProtocolHelper.java: org.apache.cassandra.dht EndPoint.java: org.apache.cassandra.net 1->2: 0  2->1: 118
Table.java: org.apache.cassandra.db CassandraServer.java: org.apache.cassandra.service 1->2: 148  2->1: 25
AbstractColumnFactory.java: org.apache.cassandra.db AbstractColumnFactory.java: org.apache.cassandra.db 1->2: 22  2->1: 22
Row.java: org.apache.cassandra.db TestRunner.java: org.apache.cassandra.test 1->2: 56  2->1: 0
SystemTable.java: org.apache.cassandra.db Token.java: org.apache.cassandra.dht 1->2: 4  2->1: 15
LeaveJoinProtocolImpl.java: org.apache.cassandra.dht EndPoint.java: org.apache.cassandra.net 1->2: 0  2->1: 145
RowMutation.java: org.apache.cassandra.db Row.java: org.apache.cassandra.db 1->2: 32  2->1: 147
SetColumnMap.java: org.apache.cassandra.cql.common RowMutation.java: org.apache.cassandra.db 1->2: 0  2->1: 19
SemanticPhase.java: org.apache.cassandra.cql.compiler.sem Column.java: org.apache.cassandra.db 1->2: 0  2->1: 254
HttpHeaderParser.java: org.apache.cassandra.net.http HttpConnection.java: org.apache.cassandra.net.http 1->2: 16  2->1: 42
CommitLog.java: org.apache.cassandra.db ColumnFamilyStore.java: org.apache.cassandra.db 1->2: 79  2->1: 15
IAsyncCallback.java: org.apache.cassandra.net QuorumResponseHandler.java: org.apache.cassandra.service 1->2: 28  2->1: 3
ConstantOperand.java: org.apache.cassandra.cql.common SemanticPhase.java: org.apache.cassandra.cql.compiler.sem 1->2: 115  2->1: 0
MurmurHash.java: org.apache.cassandra.utils Filter.java: org.apache.cassandra.utils 1->2: 18  2->1: 0
ContentStreamState.java: org.apache.cassandra.net.io StartState.java: org.apache.cassandra.net.io 1->2: 6  2->1: 12
Table.java: org.apache.cassandra.db RowMutation.java: org.apache.cassandra.db 1->2: 71  2->1: 224
Table.java: org.apache.cassandra.db TimeSortTest.java: org.apache.cassandra.db 1->2: 39  2->1: 0
LogUtil.java: org.apache.cassandra.utils Log4jLogger.java: org.apache.cassandra.utils 1->2: 30  2->1: 0
SuperColumn.java: org.apache.cassandra.db TimeFilter.java: org.apache.cassandra.db 1->2: 45  2->1: 0
RowReadCommand.java: org.apache.cassandra.db Row.java: org.apache.cassandra.db 1->2: 3  2->1: 25
StorageProxy.java: org.apache.cassandra.service CassandraServer.java: org.apache.cassandra.service 1->2: 41  2->1: 21
IColumn.java: org.apache.cassandra.db SystemTable.java: org.apache.cassandra.db 1->2: 12  2->1: 5
CustomLoader.java: org.apache.cassandra.loader StorageService.java: org.apache.cassandra.service 1->2: 2  2->1: 19
DataOutputBuffer.java: org.apache.cassandra.io KeyExtracter.java: org.apache.cassandra.tools 1->2: 30  2->1: 0
ReadCommand.java: org.apache.cassandra.db SliceByNamesReadCommand.java: org.apache.cassandra.db 1->2: 15  2->1: 3
LogUtil.java: org.apache.cassandra.utils Cachetable.java: org.apache.cassandra.utils 1->2: 7  2->1: 15
