GossipDigest.java; org.apache.cassandra.gms; Gossiper.java; org.apache.cassandra.gms; 1->2;94;  2->1;0
ConcurrentLinkedHashCache.java; org.apache.cassandra.cache; ColumnFamilyStore.java; org.apache.cassandra.db; 1->2;460;  2->1;0
CFMetaData.java; org.apache.cassandra.config; ColumnFamilyStore.java; org.apache.cassandra.db; 1->2;129;  2->1;45
CFMetaData.java; org.apache.cassandra.config; QueryProcessor.java; org.apache.cassandra.cql; 1->2;135;  2->1;0
HintedHandOffManager.java; org.apache.cassandra.db; ColumnFamily.java; org.apache.cassandra.db; 1->2;0;  2->1;99
Memtable.java; org.apache.cassandra.db; DecoratedKey.java; org.apache.cassandra.db; 1->2;4;  2->1;75
RandomPartitioner.java; org.apache.cassandra.dht; Token.java; org.apache.cassandra.dht; 1->2;4;  2->1;49
EndPoint.java; org.apache.cassandra.net; TcpConnection.java; org.apache.cassandra.net; 1->2;59;  2->1;7
Gossiper.java; org.apache.cassandra.gms; EndPoint.java; org.apache.cassandra.net; 1->2;1;  2->1;470
Row.java; org.apache.cassandra.db; StorageProxy.java; org.apache.cassandra.service; 1->2;140;  2->1;0
CqlParser.java; org.apache.cassandra.cql.compiler.parse; SemanticPhase.java; org.apache.cassandra.cql.compiler.sem; 1->2;70;  2->1;0
