genFileSinkPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;381
genMapRedTasks; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;352
alterTable; DDLTask.java; org.apache.hadoop.hive.ql.exec;296
processSkewJoin; GenMRSkewJoinProcessor.java; org.apache.hadoop.hive.ql.optimizer.physical;284
execute; ExecDriver.java; org.apache.hadoop.hive.ql.exec;269
serialize; LazyBinarySerDe.java; org.apache.hadoop.hive.serde2.lazybinary;263
execute; Driver.java; org.apache.hadoop.hive.ql;249
deserialize; BinarySortableSerDe.java; org.apache.hadoop.hive.serde2.binarysortable;248
setTaskPlan; GenMapRedUtils.java; org.apache.hadoop.hive.ql.optimizer;239
genSelectPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;234
execute; MapRedTask.java; org.apache.hadoop.hive.ql.exec;221
progress; HadoopJobExecHelper.java; org.apache.hadoop.hive.ql.exec;220
convertMapJoin; MapJoinProcessor.java; org.apache.hadoop.hive.ql.optimizer;219
analyzeCreateTable; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;217
grantPrivileges; ObjectStore.java; org.apache.hadoop.hive.metastore;210
initializeOp; GroupByOperator.java; org.apache.hadoop.hive.ql.exec;206
genTablePlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;205
parseJoinCondition; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;201
execute; DDLTask.java; org.apache.hadoop.hive.ql.exec;198
analyzeInternal; ImportSemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;196
doPhase1; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;192
revokePrivileges; ObjectStore.java; org.apache.hadoop.hive.metastore;190
analyzeInternal; DDLSemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;188
archive; DDLTask.java; org.apache.hadoop.hive.ql.exec;184
getMetaData; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;183
execute; MoveTask.java; org.apache.hadoop.hive.ql.exec;178
serialize; BinarySortableSerDe.java; org.apache.hadoop.hive.serde2.binarysortable;178
createIndex; Hive.java; org.apache.hadoop.hive.ql.metadata;177
genBodyPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;175
aggregateStats; StatsTask.java; org.apache.hadoop.hive.ql.exec;175
unarchive; DDLTask.java; org.apache.hadoop.hive.ql.exec;172
alterTable; HiveAlterHandler.java; org.apache.hadoop.hive.metastore;169
doAuthorization; Driver.java; org.apache.hadoop.hive.ql;165
Namespace; thrift_grammar.java; org.apache.hadoop.hive.serde2.dynamic_type;163
showGrants; DDLTask.java; org.apache.hadoop.hive.ql.exec;163
jjStopStringLiteralDfa_0; thrift_grammarTokenManager.java; org.apache.hadoop.hive.serde2.dynamic_type;160
getSplits; CombineHiveInputFormat.java; org.apache.hadoop.hive.ql.io;159
FieldType; thrift_grammar.java; org.apache.hadoop.hive.serde2.dynamic_type;158
genScriptPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;155
getInputSummary; Utilities.java; org.apache.hadoop.hive.ql.exec;155
createTable; DDLTask.java; org.apache.hadoop.hive.ql.exec;154
execute; BlockMergeTask.java; org.apache.hadoop.hive.ql.io.rcfile.merge;154
genGroupByPlanGroupByOperator1; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;149
compare; ObjectInspectorUtils.java; org.apache.hadoop.hive.serde2.objectinspector;144
buildJSONString; SerDeUtils.java; org.apache.hadoop.hive.serde2;144
process; GenMRUnion1.java; org.apache.hadoop.hive.ql.optimizer;143
genGroupByPlanReduceSinkOperator; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;142
genJoinTree; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;142
getTasks; ConditionalResolverMergeFiles.java; org.apache.hadoop.hive.ql.plan;140
checkTable; ImportSemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;139
DefinitionType; thrift_grammar.java; org.apache.hadoop.hive.serde2.dynamic_type;136
showTableStatus; DDLTask.java; org.apache.hadoop.hive.ql.exec;135
grantOrRevokePrivileges; DDLTask.java; org.apache.hadoop.hive.ql.exec;135
describeTable; DDLTask.java; org.apache.hadoop.hive.ql.exec;133
compile; Driver.java; org.apache.hadoop.hive.ql;133
main; ExecDriver.java; org.apache.hadoop.hive.ql.exec;131
createMap4Merge; GenMRFileSink1.java; org.apache.hadoop.hive.ql.optimizer;129
splitTasks; GenMapRedUtils.java; org.apache.hadoop.hive.ql.optimizer;129
analyzeAlterTableAddParts; DDLSemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;129
analyzeInternal; LoadSemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;128
