substitute; IvyPatternHelper.java; fr.jayasoft.ivy.util;11
resolve; Ivy.java; fr.jayasoft.ivy;11
resolve; Ivy.java; fr.jayasoft.ivy;10
findResourceUsingPattern; RepositoryResolver.java; fr.jayasoft.ivy.resolver;10
substitute; IvyPatternHelper.java; fr.jayasoft.ivy.util;10
resolve; Ivy.java; fr.jayasoft.ivy;10
resolve; Ivy.java; fr.jayasoft.ivy;10
substitute; IvyPatternHelper.java; fr.jayasoft.ivy.util;9
install; Ivy.java; fr.jayasoft.ivy;9
resolve; Ivy.java; fr.jayasoft.ivy;9
update; XmlModuleDescriptorUpdater.java; fr.jayasoft.ivy.xml;9
update; XmlModuleDescriptorUpdater.java; fr.jayasoft.ivy.xml;9
update; XmlModuleDescriptorUpdater.java; fr.jayasoft.ivy.xml;9
resolve; Ivy.java; fr.jayasoft.ivy;9
findDynamicResourceUsingPattern; RepositoryResolver.java; fr.jayasoft.ivy.resolver;9
deliver; Ivy.java; fr.jayasoft.ivy;9
