IvyTask.java: fr.jayasoft.ivy.ant Message.java: fr.jayasoft.ivy.util 1->2: 4  2->1: 30
DependencyDescriptor.java: fr.jayasoft.ivy XmlModuleDescriptorParserTest.java: fr.jayasoft.ivy.xml 1->2: 243  2->1: 0
LogReportOutputter.java: fr.jayasoft.ivy.report Message.java: fr.jayasoft.ivy.util 1->2: 1  2->1: 55
IvyNode.java: fr.jayasoft.ivy IvyArtifactReport.java: fr.jayasoft.ivy.ant 1->2: 35  2->1: 26
AbstractVersionMatcher.java: fr.jayasoft.ivy.version ChainVersionMatcher.java: fr.jayasoft.ivy.version 1->2: 15  2->1: 6
Ivy.java: fr.jayasoft.ivy ChainResolverTest.java: fr.jayasoft.ivy.resolver 1->2: 1370  2->1: 0
Configuration.java: fr.jayasoft.ivy ModuleDescriptor.java: fr.jayasoft.ivy 1->2: 20  2->1: 5
TransferEvent.java: fr.jayasoft.ivy.repository FileRepository.java: fr.jayasoft.ivy.repository.file 1->2: 13  2->1: 17
SFTPRepository.java: fr.jayasoft.ivy.repository.sftp Message.java: fr.jayasoft.ivy.util 1->2: 33  2->1: 12
VsftpResource.java: fr.jayasoft.ivy.repository.vsftp VsftpRepository.java: fr.jayasoft.ivy.repository.vsftp 1->2: 10  2->1: 9
JarModuleFinder.java: fr.jayasoft.ivy.tools.analyser IvyPatternHelper.java: fr.jayasoft.ivy.util 1->2: 1  2->1: 52
ModuleId.java: fr.jayasoft.ivy IvyEvent.java: fr.jayasoft.ivy.event 1->2: 21  2->1: 12
ResolveData.java: fr.jayasoft.ivy BasicResolver.java: fr.jayasoft.ivy.resolver 1->2: 68  2->1: 8
Artifact.java: fr.jayasoft.ivy RepositoryResolver.java: fr.jayasoft.ivy.resolver 1->2: 16  2->1: 8
AbstractArtifact.java: fr.jayasoft.ivy DefaultArtifact.java: fr.jayasoft.ivy 1->2: 8  2->1: 34
SshRepository.java: fr.jayasoft.ivy.repository.ssh SshResolver.java: fr.jayasoft.ivy.resolver 1->2: 32  2->1: 7
JarModuleFinder.java: fr.jayasoft.ivy.tools.analyser JarModule.java: fr.jayasoft.ivy.tools.analyser 1->2: 0  2->1: 15
ModuleRevisionId.java: fr.jayasoft.ivy PackageMapping.java: fr.jayasoft.ivy.ant 1->2: 21  2->1: 18
HttpClientHandler.java: fr.jayasoft.ivy.url Credentials.java: fr.jayasoft.ivy.util 1->2: 0  2->1: 25
ModuleRevisionId.java: fr.jayasoft.ivy ModuleDescriptor.java: fr.jayasoft.ivy 1->2: 33  2->1: 0
IvyRepositoryReport.java: fr.jayasoft.ivy.ant XmlReportOutputter.java: fr.jayasoft.ivy.report 1->2: 25  2->1: 61
ResolvedModuleRevision.java: fr.jayasoft.ivy BasicResolver.java: fr.jayasoft.ivy.resolver 1->2: 46  2->1: 9
BasicResolver.java: fr.jayasoft.ivy.resolver ResourceMDParser.java: fr.jayasoft.ivy.resolver 1->2: 1  2->1: 24
IvyEventFilter.java: fr.jayasoft.ivy.event NotFilter.java: fr.jayasoft.ivy.filter 1->2: 2  2->1: 13
ArtifactRevisionId.java: fr.jayasoft.ivy Artifact.java: fr.jayasoft.ivy 1->2: 7  2->1: 27
IvyCachePath.java: fr.jayasoft.ivy.ant IvyCachePathTest.java: fr.jayasoft.ivy.ant 1->2: 17  2->1: 0
DefaultModuleDescriptor.java: fr.jayasoft.ivy ModuleId.java: fr.jayasoft.ivy 1->2: 1  2->1: 34
FileSystemResolverTest.java: fr.jayasoft.ivy.resolver ResolverTestHelper.java: fr.jayasoft.ivy.resolver 1->2: 0  2->1: 17
LogReportOutputter.java: fr.jayasoft.ivy.report ConfigurationResolveReport.java: fr.jayasoft.ivy.report 1->2: 0  2->1: 15
PatternMatcher.java: fr.jayasoft.ivy.matcher XmlModuleDescriptorParserTest.java: fr.jayasoft.ivy.xml 1->2: 15  2->1: 0
IvyNode.java: fr.jayasoft.ivy ResolveTest.java: fr.jayasoft.ivy 1->2: 184  2->1: 8
Artifact.java: fr.jayasoft.ivy IvyPublish.java: fr.jayasoft.ivy.ant 1->2: 15  2->1: 1
