resolve; Ivy14.java; org.apache.ivy;11
substitute; IvyPatternHelper.java; org.apache.ivy.core;11
newResolveOptions; Ivy14.java; org.apache.ivy;11
substitute; IvyPatternHelper.java; org.apache.ivy.core;10
resolve; Ivy14.java; org.apache.ivy;10
resolve; Ivy14.java; org.apache.ivy;10
resolve; Ivy14.java; org.apache.ivy;10
getArchiveFileInCache; ResolveTest.java; org.apache.ivy.core.resolve;9
resolve; Ivy14.java; org.apache.ivy;9
deliver; Ivy14.java; org.apache.ivy;9
substitute; IvyPatternHelper.java; org.apache.ivy.core;9
resolve; Ivy14.java; org.apache.ivy;9
retrieve; Ivy14.java; org.apache.ivy;9
install; Ivy14.java; org.apache.ivy;9
