CacheMetadataOptions.java: org.apache.ivy.core.cache	CacheDownloadOptions.java: org.apache.ivy.core.cache	
StartResolveDependencyEvent.java: org.apache.ivy.core.event.resolve	ResolveDependencyEvent.java: org.apache.ivy.core.event.resolve	
StartResolveEvent.java: org.apache.ivy.core.event.resolve	ResolveEvent.java: org.apache.ivy.core.event.resolve	
EndResolveDependencyEvent.java: org.apache.ivy.core.event.resolve	ResolveDependencyEvent.java: org.apache.ivy.core.event.resolve	
EndResolveEvent.java: org.apache.ivy.core.event.resolve	ResolveEvent.java: org.apache.ivy.core.event.resolve	
EndRetrieveEvent.java: org.apache.ivy.core.event.retrieve	RetrieveEvent.java: org.apache.ivy.core.event.retrieve	
StartRetrieveEvent.java: org.apache.ivy.core.event.retrieve	RetrieveEvent.java: org.apache.ivy.core.event.retrieve	
Configuration.java: org.apache.ivy.core.module.descriptor	DefaultExtendableItem.java: org.apache.ivy.util.extendable	
RestartResolveProcess.java: org.apache.ivy.core.resolve	ResolveProcessException.java: org.apache.ivy.core.resolve	
ResolveOptions.java: org.apache.ivy.core.resolve	LogOptions.java: org.apache.ivy.core	
DownloadOptions.java: org.apache.ivy.core.resolve	LogOptions.java: org.apache.ivy.core	
RetrieveOptions.java: org.apache.ivy.core.retrieve	LogOptions.java: org.apache.ivy.core	
StrictConflictException.java: org.apache.ivy.plugins.conflict	ResolveProcessException.java: org.apache.ivy.core.resolve	
LatestCompatibleConflictManager.java: org.apache.ivy.plugins.conflict	LatestConflictManager.java: org.apache.ivy.plugins.conflict	
LatestLexicographicStrategy.java: org.apache.ivy.plugins.latest	ComparatorLatestStrategy.java: org.apache.ivy.plugins.latest	
LatestRevisionStrategy.java: org.apache.ivy.plugins.latest	ComparatorLatestStrategy.java: org.apache.ivy.plugins.latest	
LatestTimeStrategy.java: org.apache.ivy.plugins.latest	ComparatorLatestStrategy.java: org.apache.ivy.plugins.latest	
FileSystemResolver.java: org.apache.ivy.plugins.resolver	RepositoryResolver.java: org.apache.ivy.plugins.resolver	
VfsResolver.java: org.apache.ivy.plugins.resolver	RepositoryResolver.java: org.apache.ivy.plugins.resolver	
IBiblioResolver.java: org.apache.ivy.plugins.resolver	URLResolver.java: org.apache.ivy.plugins.resolver	
IvyRepResolver.java: org.apache.ivy.plugins.resolver	URLResolver.java: org.apache.ivy.plugins.resolver	
MDResolvedResource.java: org.apache.ivy.plugins.resolver.util	ResolvedResource.java: org.apache.ivy.plugins.resolver.util	
DefaultExtendableItem.java: org.apache.ivy.util.extendable	UnmodifiableExtendableItem.java: org.apache.ivy.util.extendable	
VfsResolverTest.java: org.apache.ivy.plugins.resolver	AbstractDependencyResolverTest.java: org.apache.ivy.plugins.resolver	
FileSystemResolverTest.java: org.apache.ivy.plugins.resolver	AbstractDependencyResolverTest.java: org.apache.ivy.plugins.resolver	
IBiblioResolverTest.java: org.apache.ivy.plugins.resolver	AbstractDependencyResolverTest.java: org.apache.ivy.plugins.resolver	
IvyRepResolverTest.java: org.apache.ivy.plugins.resolver	AbstractDependencyResolverTest.java: org.apache.ivy.plugins.resolver	
DualResolverTest.java: org.apache.ivy.plugins.resolver	AbstractDependencyResolverTest.java: org.apache.ivy.plugins.resolver	
ChainResolverTest.java: org.apache.ivy.plugins.resolver	AbstractDependencyResolverTest.java: org.apache.ivy.plugins.resolver	
URLResolverTest.java: org.apache.ivy.plugins.resolver	AbstractDependencyResolverTest.java: org.apache.ivy.plugins.resolver	
