resolve; Ivy14.java; org.apache.ivy;11
newResolveOptions; Ivy14.java; org.apache.ivy;11
substitute; IvyPatternHelper.java; org.apache.ivy.core;11
resolve; Ivy14.java; org.apache.ivy;10
resolve; Ivy14.java; org.apache.ivy;10
substitute; IvyPatternHelper.java; org.apache.ivy.core;10
resolve; Ivy14.java; org.apache.ivy;10
install; Ivy14.java; org.apache.ivy;9
resolve; Ivy14.java; org.apache.ivy;9
substitute; IvyPatternHelper.java; org.apache.ivy.core;9
getArchiveFileInCache; ResolveTest.java; org.apache.ivy.core.resolve;9
PackagerCacheEntry; PackagerCacheEntry.java; org.apache.ivy.plugins.resolver.packager;9
deliver; Ivy14.java; org.apache.ivy;9
retrieve; Ivy14.java; org.apache.ivy;9
resolve; Ivy14.java; org.apache.ivy;9
