compile; RegularExpression.java; org.apache.xerces.utils.regex; Op.java;35; 
scanDecls; XMLDTDScanner.java; org.apache.xerces.framework; StreamingCharReader.java;32; 
validate; GeneralAttrCheck.java; org.apache.xerces.validators.schema; XMLContentSpec.java;32; 
scanEntityDecl; XMLDTDScanner.java; org.apache.xerces.framework; DefaultEntityHandler.java;29; 
scanAttValue; XMLDocumentScanner.java; org.apache.xerces.framework; StreamingCharReader.java;27; 
createChildren; DOMParser.java; org.apache.xerces.parsers; StreamingCharReader.java;27; 
externalPEDecl; DOMParser.java; org.apache.xerces.parsers; StreamingCharReader.java;27; 
traverseElementDecl; TraverseSchema.java; org.apache.xerces.validators.schema; XMLContentSpec.java;26; 
printAttributeDecl; XGrammarWriter.java; org.apache.xerces.domx; DeferredDocumentImpl.java;24; 
appendContentSpec; XMLContentSpec.java; org.apache.xerces.framework; StreamingCharReader.java;24; 
printEntityDecl; XGrammarWriter.java; org.apache.xerces.domx; DeferredDocumentImpl.java;22; 
