DOMLocatorImpl.java; org.apache.xerces.dom;
DOMErrorImpl.java; org.apache.xerces.dom;
UserDataHandler.java; org.apache.xerces.dom3;
ASDataType.java; org.apache.xerces.dom3.as;
ASObject.java; org.apache.xerces.dom3.as;
DOMASException.java; org.apache.xerces.dom3.as;
NodeEditAS.java; org.apache.xerces.dom3.as;
ASContentModel.java; org.apache.xerces.dom3.as;
ASElementDeclaration.java; org.apache.xerces.dom3.as;
XMLNotationDecl.java; org.apache.xerces.impl.dtd;
XMLEntityDecl.java; org.apache.xerces.impl.dtd;
XMLSimpleType.java; org.apache.xerces.impl.dtd;
XMLElementDecl.java; org.apache.xerces.impl.dtd;
XMLContentSpec.java; org.apache.xerces.impl.dtd;
ValidatedInfo.java; org.apache.xerces.impl.dv;
XSFacets.java; org.apache.xerces.impl.dv;
XSSimpleType.java; org.apache.xerces.impl.dv;
TypeValidator.java; org.apache.xerces.impl.dv.xs;
XSAttributeUseImpl.java; org.apache.xerces.impl.xs;
SchemaSymbols.java; org.apache.xerces.impl.xs;
XSNotationDecl.java; org.apache.xerces.impl.xs;
XSConstants.java; org.apache.xerces.impl.xs.psvi;
XSComplexTypeDefinition.java; org.apache.xerces.impl.xs.psvi;
XSSimpleTypeDefinition.java; org.apache.xerces.impl.xs.psvi;
XSWildcard.java; org.apache.xerces.impl.xs.psvi;
XSAttributeChecker.java; org.apache.xerces.impl.xs.traversers;
XMLSymbols.java; org.apache.xerces.util;
XMLDTDContentModelHandler.java; org.apache.xerces.xni;
QName.java; org.apache.xerces.xni;
ItemPSVI.java; org.apache.xerces.xni.psvi;
ElementState.java; org.apache.xml.serialize;
Method.java; org.apache.xml.serialize;
LineSeparator.java; org.apache.xml.serialize;
DOMException.java; org.w3c.dom;
Node.java; org.w3c.dom;
DOMBuilderFilter.java; org.w3c.dom.ls;
DOMBuilder.java; org.w3c.dom.ls;
Range.java; org.w3c.dom.ranges;
NodeFilter.java; org.w3c.dom.traversal;
XPathResult.java; org.w3c.dom.xpath;
