InstanceChangeEvent.java; org.argouml.model;
ModelMemento.java; org.argouml.model;
DiagramHelper.java; org.argouml.application.helpers;
ModuleHelper.java; org.argouml.application.helpers;
ResourceBundleHelper.java; org.argouml.application.helpers;
AbstractCognitiveTranslator.java; org.argouml.cognitive;
Wizard.java; org.argouml.cognitive.ui;
StateMachinesFactoryImpl.java; org.argouml.model.uml;
ProfileJava.java; org.argouml.uml;
Profile.java; org.argouml.uml;
CrClassMustBeAbstract.java; org.argouml.uml.cognitive.critics;
AttributeNotation.java; org.argouml.uml.notation;
StateBodyNotation.java; org.argouml.uml.notation;
NodeInstanceNotation.java; org.argouml.uml.notation;
ObjectNotation.java; org.argouml.uml.notation;
OperationNotation.java; org.argouml.uml.notation;
ComponentInstanceNotation.java; org.argouml.uml.notation;
ActionStateNotation.java; org.argouml.uml.notation;
UMLEditableComboBox.java; org.argouml.uml.ui;
UMLList2.java; org.argouml.uml.ui;
