JavaCore.java; org.eclipse.jdt.core
CompletionParser.java; org.eclipse.jdt.internal.codeassist.complete
CompletionScanner.java; org.eclipse.jdt.internal.codeassist.complete
AssistParser.java; org.eclipse.jdt.internal.codeassist.impl
ClassFile.java; org.eclipse.jdt.internal.compiler
OperatorExpression.java; org.eclipse.jdt.internal.compiler.ast
CompilerOptions.java; org.eclipse.jdt.internal.compiler.impl
IncrementalImageBuilder.java; org.eclipse.jdt.internal.core.builder.impl
AddJarFileToIndex.java; org.eclipse.jdt.internal.core.search.indexing
MatchLocator.java; org.eclipse.jdt.internal.core.search.matching
VariablesEvaluator.java; org.eclipse.jdt.internal.eval
CodeFormatter.java; org.eclipse.jdt.internal.formatter
SplitLine.java; org.eclipse.jdt.internal.formatter.impl
