GenericClusteringException.java; org.jboss.ha.framework.interfaces
ClusteredHTTPSessionBeanCmp11.java; org.jboss.ha.httpsession.beanimpl.ejb
CorrectiveActionContextConstants.java; org.jbossmx.cluster.watchdog.mbean.watchdog
PrimitiveAnalysis.java; org.jboss.iiop.rmi
Status.java; javax.transaction
XAResource.java; javax.transaction.xa
XAException.java; javax.transaction.xa
HttpServletRequest.java; javax.servlet.http
HttpServletResponse.java; javax.servlet.http
PageContext.java; javax.servlet.jsp
Tag.java; javax.servlet.jsp.tagext
Version.java; org.mortbay.http
OutputObserver.java; org.mortbay.util
Query.java; javax.management
RoleStatus.java; javax.management.relation
TimeStatistic.java; javax.management.j2ee
StateManageable.java; org.jboss.management.j2ee
TransactionRequest.java; org.jboss.mq
AcknowledgementRequest.java; org.jboss.mq
parserval.java; org.jboss.mq.selectors
PoolParameters.java; org.jboss.pool
EJBQLTypes.java; org.jboss.ejb.plugins.cmp.ejbql
InvocationContext.java; org.jboss.invocation
