DrawApplication.java: CH.ifa.draw.application StorageFormatManager.java: CH.ifa.draw.util 1->2: 2  2->1: 53
TextAreaFigure.java: CH.ifa.draw.contrib Figure.java: CH.ifa.draw.framework 1->2: 48  2->1: 154
JPanelDesktop.java: CH.ifa.draw.contrib JPanelDesktopTest.java: CH.ifa.draw.test.contrib 1->2: 72  2->1: 0
DragNDropTool.java: CH.ifa.draw.contrib.dnd Figure.java: CH.ifa.draw.framework 1->2: 0  2->1: 25
FigureEnumeration.java: CH.ifa.draw.framework ChangeAttributeCommand.java: CH.ifa.draw.standard 1->2: 15  2->1: 0
PolygonFigure.java: CH.ifa.draw.contrib PolygonFigureGeometricAdapter.java: CH.ifa.draw.contrib.html 1->2: 25  2->1: 0
FigureChangeEvent.java: CH.ifa.draw.framework DecoratorFigure.java: CH.ifa.draw.standard 1->2: 24  2->1: 0
PolyLineFigure.java: CH.ifa.draw.figures PolyLineConnector.java: CH.ifa.draw.figures 1->2: 23  2->1: 3
ArrowTip.java: CH.ifa.draw.figures StorableOutput.java: CH.ifa.draw.util 1->2: 13  2->1: 7
ElbowHandle.java: CH.ifa.draw.figures AbstractHandle.java: CH.ifa.draw.standard 1->2: 47  2->1: 25
SendToBackCommand.java: CH.ifa.draw.standard SendToBackCommandTest.java: CH.ifa.draw.test.standard 1->2: 24  2->1: 0
TextFigure.java: CH.ifa.draw.figures TextTool.java: CH.ifa.draw.figures 1->2: 36  2->1: 2
PolyLineFigure.java: CH.ifa.draw.figures FigureAttributeConstant.java: CH.ifa.draw.framework 1->2: 0  2->1: 38
Figure.java: CH.ifa.draw.framework Drawing.java: CH.ifa.draw.framework 1->2: 95  2->1: 58
DrawApplication.java: CH.ifa.draw.application ViewChangeListener.java: CH.ifa.draw.framework 1->2: 17  2->1: 11
BufferedUpdateStrategy.java: CH.ifa.draw.standard BufferedUpdateStrategyTest.java: CH.ifa.draw.test.standard 1->2: 17  2->1: 0
GraphicalCompositeFigure.java: CH.ifa.draw.contrib RectangleFigure.java: CH.ifa.draw.figures 1->2: 25  2->1: 34
ConnectionFigure.java: CH.ifa.draw.framework ChopBoxConnector.java: CH.ifa.draw.standard 1->2: 15  2->1: 0
DrawingView.java: CH.ifa.draw.framework ClippingUpdateStrategyTest.java: CH.ifa.draw.test.contrib 1->2: 14  2->1: 0
ViewChangeListener.java: CH.ifa.draw.framework AbstractTool.java: CH.ifa.draw.standard 1->2: 11  2->1: 17
JHDTestCase.java: CH.ifa.draw.test ConnectedTextToolTest.java: CH.ifa.draw.test.figures 1->2: 13  2->1: 2
StandardDrawing.java: CH.ifa.draw.standard JDOStorageFormat.java: CH.ifa.draw.util 1->2: 22  2->1: 0
DrawApplet.java: CH.ifa.draw.applet ViewChangeListener.java: CH.ifa.draw.framework 1->2: 15  2->1: 3
CustomToolBar.java: CH.ifa.draw.contrib CustomToolBarTest.java: CH.ifa.draw.test.contrib 1->2: 56  2->1: 0
TextFigure.java: CH.ifa.draw.figures Storable.java: CH.ifa.draw.util 1->2: 2  2->1: 30
GraphicalCompositeFigure.java: CH.ifa.draw.contrib Storable.java: CH.ifa.draw.util 1->2: 2  2->1: 12
CustomSelectionTool.java: CH.ifa.draw.contrib CustomSelectionToolTest.java: CH.ifa.draw.test.contrib 1->2: 40  2->1: 0
Figure.java: CH.ifa.draw.framework CutCommand.java: CH.ifa.draw.standard 1->2: 20  2->1: 0
UndoRedoActivityTest.java: CH.ifa.draw.test.util Undoable.java: CH.ifa.draw.util 1->2: 0  2->1: 104
MDIDesktopPane.java: CH.ifa.draw.contrib DesktopEventService.java: CH.ifa.draw.contrib 1->2: 19  2->1: 58
HandleTracker.java: CH.ifa.draw.standard SelectionTool.java: CH.ifa.draw.standard 1->2: 19  2->1: 8
AttributeFigure.java: CH.ifa.draw.figures ColorMap.java: CH.ifa.draw.util 1->2: 0  2->1: 27
JHDTestCase.java: CH.ifa.draw.test URLToolTest.java: CH.ifa.draw.test.samples.javadraw 1->2: 13  2->1: 2
FastBufferedUpdateStrategy.java: CH.ifa.draw.standard FastBufferedUpdateStrategyTest.java: CH.ifa.draw.test.standard 1->2: 29  2->1: 0
AttributeFigureContentProducer.java: CH.ifa.draw.contrib.html StorableInput.java: CH.ifa.draw.util 1->2: 13  2->1: 2
ConnectedTextTool.java: CH.ifa.draw.figures ConnectedTextToolTest.java: CH.ifa.draw.test.figures 1->2: 40  2->1: 0
CutCommand.java: CH.ifa.draw.standard AbstractCommand.java: CH.ifa.draw.standard 1->2: 5  2->1: 26
DrawApplication.java: CH.ifa.draw.application SVGDrawApp.java: CH.ifa.draw.contrib 1->2: 7  2->1: 6
PolygonTool.java: CH.ifa.draw.contrib AbstractTool.java: CH.ifa.draw.standard 1->2: 25  2->1: 23
CustomSelectionTool.java: CH.ifa.draw.contrib SelectionTool.java: CH.ifa.draw.standard 1->2: 13  2->1: 23
DrawApplet.java: CH.ifa.draw.applet PertApplet.java: CH.ifa.draw.samples.pert 1->2: 15  2->1: 2
PertFigure.java: CH.ifa.draw.samples.pert Storable.java: CH.ifa.draw.util 1->2: 2  2->1: 23
PolygonScaleHandle.java: CH.ifa.draw.contrib RadiusHandle.java: CH.ifa.draw.figures 1->2: 8  2->1: 11
DrawApplication.java: CH.ifa.draw.application SelectionTool.java: CH.ifa.draw.standard 1->2: 12  2->1: 4
PaletteButton.java: CH.ifa.draw.util PaletteListener.java: CH.ifa.draw.util 1->2: 8  2->1: 6
DrawApplication.java: CH.ifa.draw.application StandardDrawingView.java: CH.ifa.draw.standard 1->2: 41  2->1: 266
ToolButton.java: CH.ifa.draw.standard PaletteIcon.java: CH.ifa.draw.util 1->2: 0  2->1: 31
DrawApplet.java: CH.ifa.draw.applet SimpleUpdateStrategy.java: CH.ifa.draw.standard 1->2: 3  2->1: 17
SplitConnectionTool.java: CH.ifa.draw.contrib ConnectionTool.java: CH.ifa.draw.standard 1->2: 7  2->1: 47
SimpleLayouter.java: CH.ifa.draw.contrib Layoutable.java: CH.ifa.draw.contrib 1->2: 4  2->1: 12
DragNDropTool.java: CH.ifa.draw.contrib.dnd HandleTracker.java: CH.ifa.draw.standard 1->2: 7  2->1: 24
JHDDropTargetListener.java: CH.ifa.draw.contrib.dnd Figure.java: CH.ifa.draw.framework 1->2: 0  2->1: 21
AllTests.java: CH.ifa.draw.test.framework AllTests.java: CH.ifa.draw.test.samples.minimap 1->2: 8  2->1: 9
Figure.java: CH.ifa.draw.framework AnimationDecorator.java: CH.ifa.draw.samples.javadraw 1->2: 13  2->1: 10
JHDDragSourceListener.java: CH.ifa.draw.contrib.dnd DNDHelper.java: CH.ifa.draw.contrib.dnd 1->2: 5  2->1: 21
TextFigure.java: CH.ifa.draw.figures Figure.java: CH.ifa.draw.framework 1->2: 55  2->1: 173
Tool.java: CH.ifa.draw.framework JavaDrawViewer.java: CH.ifa.draw.samples.javadraw 1->2: 6  2->1: 40
DrawingView.java: CH.ifa.draw.framework UndoableHandleTest.java: CH.ifa.draw.test.util 1->2: 25  2->1: 0
CommandMenuItem.java: CH.ifa.draw.contrib CommandCheckBoxMenuItem.java: CH.ifa.draw.contrib 1->2: 14  2->1: 6
Painter.java: CH.ifa.draw.framework NullDrawingViewTest.java: CH.ifa.draw.test.standard 1->2: 136  2->1: 0
