Win32Hotkeys.java: net.sourceforge.atunes.kernel.modules.hotkeys HotkeyHandler.java: net.sourceforge.atunes.kernel.modules.hotkeys 1->2: 13  2->1: 30
SearchResultsDialog.java: net.sourceforge.atunes.gui.views.dialogs SearchResultsController.java: net.sourceforge.atunes.kernel.controllers.searchResults 1->2: 13  2->1: 5
TransferToDeviceProcess.java: net.sourceforge.atunes.kernel.modules.device AudioFileTransferProcess.java: net.sourceforge.atunes.kernel.modules.process 1->2: 5  2->1: 7
ContextPanel.java: net.sourceforge.atunes.gui.views.panels ApplicationState.java: net.sourceforge.atunes.kernel.modules.state 1->2: 4  2->1: 4
AudioFileTransferProcess.java: net.sourceforge.atunes.kernel.modules.process VisualHandler.java: net.sourceforge.atunes.kernel.modules.visual 1->2: 6  2->1: 21
ContextHandler.java: net.sourceforge.atunes.kernel.modules.context YoutubeRunnable.java: net.sourceforge.atunes.kernel.modules.context.youtube 1->2: 9  2->1: 19
ImportExportPanel.java: net.sourceforge.atunes.gui.views.dialogs.editPreferences StringUtils.java: net.sourceforge.atunes.utils 1->2: 0  2->1: 18
StringUtils.java: net.sourceforge.atunes.utils LanguageTool.java: net.sourceforge.atunes.utils 1->2: 5  2->1: 14
RadioMPlayerOutputReader.java: net.sourceforge.atunes.kernel.modules.player.mplayer MPlayerHandler.java: net.sourceforge.atunes.kernel.modules.player.mplayer 1->2: 12  2->1: 4
PlayerHandler.java: net.sourceforge.atunes.kernel.modules.player SystemTrayHandler.java: net.sourceforge.atunes.kernel.modules.tray 1->2: 47  2->1: 91
RepositoryProgressDialog.java: net.sourceforge.atunes.gui.views.dialogs VisualHandler.java: net.sourceforge.atunes.kernel.modules.visual 1->2: 27  2->1: 0
LameEncoder.java: net.sourceforge.atunes.kernel.modules.cdripper.encoders Encoder.java: net.sourceforge.atunes.kernel.modules.cdripper.encoders 1->2: 18  2->1: 23
PlayListTabPanel.java: net.sourceforge.atunes.gui.views.panels PlayListTabController.java: net.sourceforge.atunes.kernel.controllers.playListTab 1->2: 24  2->1: 5
Favorites.java: net.sourceforge.atunes.kernel.modules.favorites AudioFile.java: net.sourceforge.atunes.kernel.modules.repository.audio 1->2: 0  2->1: 28
Fonts.java: net.sourceforge.atunes.gui Kernel.java: net.sourceforge.atunes.kernel 1->2: 4  2->1: 5
VlcPlayerCommandWriter.java: net.sourceforge.atunes.kernel.modules.player.vlcplayer Logger.java: net.sourceforge.atunes.misc.log 1->2: 0  2->1: 9
CdRipper.java: net.sourceforge.atunes.kernel.modules.cdripper CdToWavConverter.java: net.sourceforge.atunes.kernel.modules.cdripper.cdda2wav 1->2: 3  2->1: 18
RadioHandler.java: net.sourceforge.atunes.kernel.modules.radio ApplicationState.java: net.sourceforge.atunes.kernel.modules.state 1->2: 7  2->1: 23
RepositoryHandler.java: net.sourceforge.atunes.kernel.modules.repository SearchHandler.java: net.sourceforge.atunes.kernel.modules.search 1->2: 7  2->1: 92
RepositoryPanel.java: net.sourceforge.atunes.gui.views.dialogs.editPreferences EditPreferencesDialogController.java: net.sourceforge.atunes.kernel.controllers.editPreferencesDialog 1->2: 14  2->1: 0
FavoritesHandler.java: net.sourceforge.atunes.kernel.modules.favorites SearchHandler.java: net.sourceforge.atunes.kernel.modules.search 1->2: 4  2->1: 28
PodcastFeedEntryVlcPlayerOutputReader.java: net.sourceforge.atunes.kernel.modules.player.vlcplayer VlcPlayerOutputReader.java: net.sourceforge.atunes.kernel.modules.player.vlcplayer 1->2: 13  2->1: 9
NavigationTableModel.java: net.sourceforge.atunes.gui.model NavigationViews.java: net.sourceforge.atunes.kernel.modules.navigator 1->2: 4  2->1: 20
NormalizeModeAction.java: net.sourceforge.atunes.kernel.actions SystemTrayHandler.java: net.sourceforge.atunes.kernel.modules.tray 1->2: 5  2->1: 7
MPlayerErrorReader.java: net.sourceforge.atunes.kernel.modules.player.mplayer VlcOutputReader.java: net.sourceforge.atunes.kernel.modules.player.vlcplayer 1->2: 6  2->1: 8
GuiUtils.java: net.sourceforge.atunes.gui StatsDialog.java: net.sourceforge.atunes.gui.views.dialogs 1->2: 2  2->1: 13
StandardFrame.java: net.sourceforge.atunes.gui ApplicationMenuBar.java: net.sourceforge.atunes.gui.views.menu 1->2: 10  2->1: 6
StandardFrame.java: net.sourceforge.atunes.gui ControllerProxy.java: net.sourceforge.atunes.kernel 1->2: 10  2->1: 29
AudioFileVlcPlayerOutputReader.java: net.sourceforge.atunes.kernel.modules.player.vlcplayer AudioFile.java: net.sourceforge.atunes.kernel.modules.repository.audio 1->2: 13  2->1: 21
RepositoryHandler.java: net.sourceforge.atunes.kernel.modules.repository DeviceSearchableObject.java: net.sourceforge.atunes.kernel.modules.search.searchableobjects 1->2: 9  2->1: 83
OggEncoder.java: net.sourceforge.atunes.kernel.modules.cdripper.encoders Logger.java: net.sourceforge.atunes.misc.log 1->2: 0  2->1: 14
SearchHandler.java: net.sourceforge.atunes.kernel.modules.search Logger.java: net.sourceforge.atunes.misc.log 1->2: 0  2->1: 26
PlayListRenderers.java: net.sourceforge.atunes.gui.views.controls.playList AudioObject.java: net.sourceforge.atunes.model 1->2: 0  2->1: 12
SortNavigatorByModificationDateAction.java: net.sourceforge.atunes.kernel.actions ApplicationState.java: net.sourceforge.atunes.kernel.modules.state 1->2: 0  2->1: 15
RepositoryLoader.java: net.sourceforge.atunes.kernel.modules.repository Genre.java: net.sourceforge.atunes.kernel.modules.repository.model 1->2: 0  2->1: 68
PodcastFeedEntryDownloader.java: net.sourceforge.atunes.kernel.modules.podcast ClosingUtils.java: net.sourceforge.atunes.utils 1->2: 0  2->1: 12
PlayerPanel.java: net.sourceforge.atunes.gui.views.dialogs.editPreferences LanguageTool.java: net.sourceforge.atunes.utils 1->2: 0  2->1: 26
AudioFileTransferProcess.java: net.sourceforge.atunes.kernel.modules.process FileNameUtils.java: net.sourceforge.atunes.utils 1->2: 2  2->1: 10
RepeatModeAction.java: net.sourceforge.atunes.kernel.actions SystemTrayHandler.java: net.sourceforge.atunes.kernel.modules.tray 1->2: 7  2->1: 2
DeviceHandler.java: net.sourceforge.atunes.kernel.modules.device StringUtils.java: net.sourceforge.atunes.utils 1->2: 0  2->1: 22
RadioNavigationView.java: net.sourceforge.atunes.kernel.modules.navigator AudioObject.java: net.sourceforge.atunes.model 1->2: 2  2->1: 8
RepositoryNavigationView.java: net.sourceforge.atunes.kernel.modules.navigator NavigationViews.java: net.sourceforge.atunes.kernel.modules.navigator 1->2: 3  2->1: 15
OggEncoder.java: net.sourceforge.atunes.kernel.modules.cdripper.encoders DefaultTag.java: net.sourceforge.atunes.kernel.modules.repository.tags.tag 1->2: 19  2->1: 3
MPlayerHandler.java: net.sourceforge.atunes.kernel.modules.player.mplayer PodcastFeedEntry.java: net.sourceforge.atunes.kernel.modules.podcast 1->2: 1  2->1: 17
PodcastFeedEntry.java: net.sourceforge.atunes.kernel.modules.podcast VisualHandler.java: net.sourceforge.atunes.kernel.modules.visual 1->2: 49  2->1: 0
ImportFilesProcess.java: net.sourceforge.atunes.kernel.modules.repository RepositoryHandler.java: net.sourceforge.atunes.kernel.modules.repository 1->2: 6  2->1: 9
PlayerPanel.java: net.sourceforge.atunes.gui.views.dialogs.editPreferences PlayerHandler.java: net.sourceforge.atunes.kernel.modules.player 1->2: 1  2->1: 13
Kernel.java: net.sourceforge.atunes.kernel StringUtils.java: net.sourceforge.atunes.utils 1->2: 6  2->1: 13
GuiUtils.java: net.sourceforge.atunes.gui EditPreferencesDialog.java: net.sourceforge.atunes.gui.views.dialogs.editPreferences 1->2: 8  2->1: 13
Cover3D.java: net.sourceforge.atunes.gui.views.controls FullScreenWindow.java: net.sourceforge.atunes.gui.views.dialogs.fullScreen 1->2: 11  2->1: 4
RepositoryLoader.java: net.sourceforge.atunes.kernel.modules.repository StringUtils.java: net.sourceforge.atunes.utils 1->2: 0  2->1: 12
FlacEncoder.java: net.sourceforge.atunes.kernel.modules.cdripper.encoders Logger.java: net.sourceforge.atunes.misc.log 1->2: 0  2->1: 14
CustomSearchDialog.java: net.sourceforge.atunes.gui.views.dialogs CustomSearchController.java: net.sourceforge.atunes.kernel.controllers.customsearch 1->2: 57  2->1: 36
LyrcEngine.java: net.sourceforge.atunes.kernel.modules.context.lyrics.engines Logger.java: net.sourceforge.atunes.misc.log 1->2: 0  2->1: 15
ExportOptionsDialog.java: net.sourceforge.atunes.gui.views.dialogs LanguageTool.java: net.sourceforge.atunes.utils 1->2: 0  2->1: 14
