editFiles: EditTitlesDialogController.java: com.fleax.atunes.kernel.controllers.editTitlesDialogController: 3
getFilePropertiesController: ControllerHandler.java: com.fleax.atunes.kernel.handlers: 3
getFavoriteAlbumsInfo: RepositoryHandler.java: com.fleax.atunes.kernel.handlers: 3
getValueAt: NavigationTableModel.java: com.fleax.atunes.gui.model: 3
getRipperProgressDialog: VisualHandler.java: com.fleax.atunes.kernel.handlers: 3
getSongStatistics: RepositoryHandler.java: com.fleax.atunes.kernel.handlers: 3
setShowSongProperties: VisualHandler.java: com.fleax.atunes.kernel.handlers: 4
getFolderStructure: RepositoryHandler.java: com.fleax.atunes.kernel.handlers: 3
getTotalSongsPlayed: RepositoryHandler.java: com.fleax.atunes.kernel.handlers: 3
setLeftStatusBarText: VisualHandler.java: com.fleax.atunes.kernel.handlers: 3
readRepository: RepositoryHandler.java: com.fleax.atunes.kernel.handlers: 3
isOggFile: AudioFile.java: com.fleax.atunes.model.audio: 3
applyChangesToFullPlayListTable: PlayListController.java: com.fleax.atunes.kernel.controllers: 3
updatePositionInTable: PlayListController.java: com.fleax.atunes.kernel.controllers: 3
applyChangesToSimplePlayListTable: PlayListController.java: com.fleax.atunes.kernel.controllers: 3
getSongsPlayed: RepositoryHandler.java: com.fleax.atunes.kernel.handlers: 4
getDeviceFolderStructure: RepositoryHandler.java: com.fleax.atunes.kernel.handlers: 3
setShowOSD: FullViewMenuController.java: com.fleax.atunes.kernel.controllers: 3
getAlbumInfo: OpenStrandsServiceHandler.java: com.fleax.atunes.kernel.handlers: 3
startHandlers: Kernel.java: com.fleax.atunes.kernel: 3
getFavoriteArtistsInfo: RepositoryHandler.java: com.fleax.atunes.kernel.handlers: 3
getPlayerControlsController: ControllerHandler.java: com.fleax.atunes.kernel.handlers: 3
setVisible: NavigationController.java: com.fleax.atunes.kernel.controllers.navigationController: 3
setShowNavigationTable: FullViewMenuController.java: com.fleax.atunes.kernel.controllers: 3
enableSavePlaylist: FullViewMenuController.java: com.fleax.atunes.kernel.controllers: 3
addStateBindings: PlayListControlsController.java: com.fleax.atunes.kernel.controllers: 3
setShowTrayIcon: FullViewMenuController.java: com.fleax.atunes.kernel.controllers: 3
getSongInNavigationTable: NavigationController.java: com.fleax.atunes.kernel.controllers.navigationController: 4
getProgressDialog: VisualHandler.java: com.fleax.atunes.kernel.handlers: 3
setShowSongProperties: FullViewMenuController.java: com.fleax.atunes.kernel.controllers: 3
getFavoriteSongsInfo: RepositoryHandler.java: com.fleax.atunes.kernel.handlers: 3
showProgressBar: VisualHandler.java: com.fleax.atunes.kernel.handlers: 3
setShowTrayPlayer: FullViewMenuController.java: com.fleax.atunes.kernel.controllers: 3
getDeviceArtistAndAlbumStructure: RepositoryHandler.java: com.fleax.atunes.kernel.handlers: 3
setTreeView: NavigationController.java: com.fleax.atunes.kernel.controllers.navigationController: 3
setCenterStatusBarText: VisualHandler.java: com.fleax.atunes.kernel.handlers: 3
setRightStatusBarText: VisualHandler.java: com.fleax.atunes.kernel.handlers: 3
getDifferentSongsPlayed: RepositoryHandler.java: com.fleax.atunes.kernel.handlers: 3
getSongsForNavigationTree: NavigationController.java: com.fleax.atunes.kernel.controllers.navigationController: 3
getArtistAndAlbumStructure: RepositoryHandler.java: com.fleax.atunes.kernel.handlers: 3
removeSongFromFavorites: RepositoryHandler.java: com.fleax.atunes.kernel.handlers: 4
isMp3File: AudioFile.java: com.fleax.atunes.model.audio: 3
getOpenStrandsController: ControllerHandler.java: com.fleax.atunes.kernel.handlers: 3
addStateBindings: FullViewMenuController.java: com.fleax.atunes.kernel.controllers: 3
setShowNavigationPanel: FullViewMenuController.java: com.fleax.atunes.kernel.controllers: 3
getFavoriteSongs: RepositoryHandler.java: com.fleax.atunes.kernel.handlers: 3
getPlaylistFileFilter: ActionsHandler.java: com.fleax.atunes.kernel.handlers: 3
