AudioScrobblerCache.java: net.sourceforge.atunes.kernel.modules.audioscrobbler StringUtils.java: net.sourceforge.atunes.utils 1->2: 0  2->1: 56
StatsDialogController.java: net.sourceforge.atunes.kernel.controllers.stats StringUtils.java: net.sourceforge.atunes.utils 1->2: 0  2->1: 25
PlayListRenderers.java: net.sourceforge.atunes.gui.views.controls.playList PlayList.java: net.sourceforge.atunes.kernel.modules.playlist 1->2: 0  2->1: 22
RipperHandler.java: net.sourceforge.atunes.kernel.handlers RepositoryHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 64  2->1: 39
NavigationMenusActionListener.java: net.sourceforge.atunes.kernel.controllers.navigation.listeners Album.java: net.sourceforge.atunes.model 1->2: 0  2->1: 33
ControllerProxy.java: net.sourceforge.atunes.kernel NavigationController.java: net.sourceforge.atunes.kernel.controllers.navigation 1->2: 18  2->1: 7
ExportFilesProcess.java: net.sourceforge.atunes.kernel.executors.processes StringUtils.java: net.sourceforge.atunes.utils 1->2: 0  2->1: 12
PlayListTableModel.java: net.sourceforge.atunes.gui.model PlayListFilterOps.java: net.sourceforge.atunes.kernel.modules.playlist 1->2: 17  2->1: 0
RipperHandler.java: net.sourceforge.atunes.kernel.handlers Album.java: net.sourceforge.atunes.model 1->2: 0  2->1: 21
AppMenuListener.java: net.sourceforge.atunes.kernel.controllers.menu RipperHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 0  2->1: 84
NavigationController.java: net.sourceforge.atunes.kernel.controllers.navigation FileViewRefresher.java: net.sourceforge.atunes.kernel.controllers.navigation 1->2: 0  2->1: 26
AmazonService.java: net.sourceforge.atunes.kernel.modules.amazon Proxy.java: net.sourceforge.atunes.kernel.modules.proxy 1->2: 0  2->1: 36
AudioScrobblerController.java: net.sourceforge.atunes.kernel.controllers.audioScrobbler AudioScrobblerListener.java: net.sourceforge.atunes.kernel.modules.audioscrobbler 1->2: 2  2->1: 14
RepositoryStats.java: net.sourceforge.atunes.kernel.modules.repository Album.java: net.sourceforge.atunes.model 1->2: 0  2->1: 12
PlayListTable.java: net.sourceforge.atunes.gui.views.controls.playList Column.java: net.sourceforge.atunes.gui.views.controls.playList 1->2: 0  2->1: 19
ControllerProxy.java: net.sourceforge.atunes.kernel RepositoryHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 85  2->1: 18
FlacEncoder.java: net.sourceforge.atunes.kernel.modules.cdripper.encoders Tag.java: net.sourceforge.atunes.kernel.modules.repository.tags.tag 1->2: 6  2->1: 16
Kernel.java: net.sourceforge.atunes.kernel PlayListCommonOps.java: net.sourceforge.atunes.kernel.modules.playlist 1->2: 11  2->1: 4
ApplicationMenuBar.java: net.sourceforge.atunes.gui.views.menu VisualHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 13  2->1: 16
DateUtils.java: net.sourceforge.atunes.utils StringUtils.java: net.sourceforge.atunes.utils 1->2: 6  2->1: 9
RipCdDialog.java: net.sourceforge.atunes.gui.views.dialogs RipCdDialogListener.java: net.sourceforge.atunes.kernel.controllers.ripcd 1->2: 88  2->1: 0
DockableFrame.java: net.sourceforge.atunes.gui.dockableView DockableFrameController.java: net.sourceforge.atunes.gui.dockableView 1->2: 15  2->1: 0
PlayListController.java: net.sourceforge.atunes.kernel.controllers.playList PlayListListener.java: net.sourceforge.atunes.kernel.controllers.playList 1->2: 26  2->1: 5
EditTagDialogController.java: net.sourceforge.atunes.kernel.controllers.editTagDialog Tag.java: net.sourceforge.atunes.kernel.modules.repository.tags.tag 1->2: 0  2->1: 89
AudioFilePictureUtils.java: net.sourceforge.atunes.kernel.utils Album.java: net.sourceforge.atunes.model 1->2: 4  2->1: 13
RipperHandler.java: net.sourceforge.atunes.kernel.handlers Cdda2wav.java: net.sourceforge.atunes.kernel.modules.cdripper.cdda2wav 1->2: 0  2->1: 17
AudioScrobblerController.java: net.sourceforge.atunes.kernel.controllers.audioScrobbler PlayerHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 0  2->1: 17
PlayList.java: net.sourceforge.atunes.kernel.modules.playlist ListOfPlayLists.java: net.sourceforge.atunes.kernel.modules.playlist 1->2: 94  2->1: 0
PlayListTableModel.java: net.sourceforge.atunes.gui.model Column.java: net.sourceforge.atunes.gui.views.controls.playList 1->2: 7  2->1: 96
OggEncoder.java: net.sourceforge.atunes.kernel.modules.cdripper.encoders StringUtils.java: net.sourceforge.atunes.utils 1->2: 0  2->1: 12
PlayerControlsController.java: net.sourceforge.atunes.kernel.controllers.playerControls PlayerControlsListener.java: net.sourceforge.atunes.kernel.controllers.playerControls 1->2: 20  2->1: 4
ControllerProxy.java: net.sourceforge.atunes.kernel RipCdDialogController.java: net.sourceforge.atunes.kernel.controllers.ripcd 1->2: 4  2->1: 7
FavoritesHandler.java: net.sourceforge.atunes.kernel.handlers Artist.java: net.sourceforge.atunes.model 1->2: 0  2->1: 29
AudioScrobblerService.java: net.sourceforge.atunes.kernel.modules.audioscrobbler Proxy.java: net.sourceforge.atunes.kernel.modules.proxy 1->2: 0  2->1: 12
VisualHandler.java: net.sourceforge.atunes.kernel.handlers Radio.java: net.sourceforge.atunes.kernel.modules.radio 1->2: 0  2->1: 58
DragAndDropListener.java: net.sourceforge.atunes.kernel.controllers PlayListHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 0  2->1: 21
RipperHandler.java: net.sourceforge.atunes.kernel.handlers Logger.java: net.sourceforge.atunes.utils.log4j 1->2: 0  2->1: 18
AudioScrobblerController.java: net.sourceforge.atunes.kernel.controllers.audioScrobbler StringUtils.java: net.sourceforge.atunes.utils 1->2: 0  2->1: 13
RipCdDialogController.java: net.sourceforge.atunes.kernel.controllers.ripcd RipperHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 25  2->1: 15
AudioScrobblerServiceHandler.java: net.sourceforge.atunes.kernel.handlers AudioScrobblerArtist.java: net.sourceforge.atunes.kernel.modules.audioscrobbler 1->2: 2  2->1: 23
Submitter.java: net.sourceforge.atunes.kernel.modules.audioscrobbler.submitter Artist.java: net.sourceforge.atunes.model 1->2: 0  2->1: 18
DeviceHandler.java: net.sourceforge.atunes.kernel.handlers PlayListHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 45  2->1: 29
PlayListControlsListener.java: net.sourceforge.atunes.kernel.controllers.playListControls PlayListHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 0  2->1: 34
Column.java: net.sourceforge.atunes.gui.views.controls.playList PlayListController.java: net.sourceforge.atunes.kernel.controllers.playList 1->2: 16  2->1: 0
PlayerHandler.java: net.sourceforge.atunes.kernel.handlers EqualizerHandler.java: net.sourceforge.atunes.kernel.modules.mplayer 1->2: 13  2->1: 10
PlayerHandler.java: net.sourceforge.atunes.kernel.handlers MPlayerHandler.java: net.sourceforge.atunes.kernel.modules.mplayer 1->2: 187  2->1: 24
PlayListHandler.java: net.sourceforge.atunes.kernel.handlers MultiplePlaylistHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 17  2->1: 48
AppMenuListener.java: net.sourceforge.atunes.kernel.controllers.menu RadioHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 0  2->1: 86
PodcastFeedEntryRetriever.java: net.sourceforge.atunes.kernel.modules.podcast PodcastFeedEntry.java: net.sourceforge.atunes.kernel.modules.podcast 1->2: 0  2->1: 29
AppMenuListener.java: net.sourceforge.atunes.kernel.controllers.menu PlayListHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 0  2->1: 135
ChangeTitlesProcess.java: net.sourceforge.atunes.kernel.executors.processes AudioFile.java: net.sourceforge.atunes.kernel.modules.repository.audio 1->2: 0  2->1: 15
LameEncoder.java: net.sourceforge.atunes.kernel.modules.cdripper.encoders TagModifier.java: net.sourceforge.atunes.kernel.modules.repository.tags.writer 1->2: 16  2->1: 8
RepositoryHandler.java: net.sourceforge.atunes.kernel.handlers TagEditionOperations.java: net.sourceforge.atunes.kernel.modules.repository.tags.writer 1->2: 15  2->1: 0
RepositoryHandler.java: net.sourceforge.atunes.kernel.handlers LanguageTool.java: net.sourceforge.atunes.utils 1->2: 0  2->1: 20
PlayListColumns.java: net.sourceforge.atunes.gui.views.controls.playList Artist.java: net.sourceforge.atunes.model 1->2: 0  2->1: 68
AudioScrobblerServiceHandler.java: net.sourceforge.atunes.kernel.handlers AudioScrobblerAlbum.java: net.sourceforge.atunes.kernel.modules.audioscrobbler 1->2: 5  2->1: 50
PlayListTabListener.java: net.sourceforge.atunes.kernel.controllers.playListTab MultiplePlaylistHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 0  2->1: 13
NavigationMenusActionListener.java: net.sourceforge.atunes.kernel.controllers.navigation.listeners PodcastFeedEntry.java: net.sourceforge.atunes.kernel.modules.podcast 1->2: 0  2->1: 18
TagEditionOperations.java: net.sourceforge.atunes.kernel.modules.repository.tags.writer LanguageTool.java: net.sourceforge.atunes.utils 1->2: 0  2->1: 12
BackgroundExecutor.java: net.sourceforge.atunes.kernel.executors ExportFilesProcess.java: net.sourceforge.atunes.kernel.executors.processes 1->2: 7  2->1: 18
Mp4Encoder.java: net.sourceforge.atunes.kernel.modules.cdripper.encoders Tag.java: net.sourceforge.atunes.kernel.modules.repository.tags.tag 1->2: 15  2->1: 24
RadioPanel.java: net.sourceforge.atunes.gui.views.dialogs.editPreferences EditPreferencesDialogController.java: net.sourceforge.atunes.kernel.controllers.editPreferencesDialog 1->2: 12  2->1: 0
PlayListColumns.java: net.sourceforge.atunes.gui.views.controls.playList AudioObject.java: net.sourceforge.atunes.model 1->2: 0  2->1: 176
RepositoryLoader.java: net.sourceforge.atunes.kernel.modules.repository Folder.java: net.sourceforge.atunes.model 1->2: 0  2->1: 82
Submitter.java: net.sourceforge.atunes.kernel.modules.audioscrobbler.submitter AudioFile.java: net.sourceforge.atunes.kernel.modules.repository.audio 1->2: 0  2->1: 26
NavigationController.java: net.sourceforge.atunes.kernel.controllers.navigation NavigationTabbedPaneChangeListener.java: net.sourceforge.atunes.kernel.controllers.navigation.listeners 1->2: 29  2->1: 2
FilePropertiesController.java: net.sourceforge.atunes.kernel.controllers.fileProperties AudioObject.java: net.sourceforge.atunes.model 1->2: 0  2->1: 26
VisualHandler.java: net.sourceforge.atunes.kernel.handlers HotkeyHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 43  2->1: 29
SubmitterException.java: net.sourceforge.atunes.kernel.modules.audioscrobbler.submitter Submitter.java: net.sourceforge.atunes.kernel.modules.audioscrobbler.submitter 1->2: 14  2->1: 0
NavigationTableModel.java: net.sourceforge.atunes.gui.model NavigationTableControlsActionListener.java: net.sourceforge.atunes.kernel.controllers.navigation.listeners 1->2: 26  2->1: 0
EditTagDialogController.java: net.sourceforge.atunes.kernel.controllers.editTagDialog Album.java: net.sourceforge.atunes.model 1->2: 0  2->1: 34
PlayListHandler.java: net.sourceforge.atunes.kernel.handlers PlayListIO.java: net.sourceforge.atunes.kernel.modules.playlist 1->2: 12  2->1: 12
ImageLoader.java: net.sourceforge.atunes.gui.images ApplicationMenuBar.java: net.sourceforge.atunes.gui.views.menu 1->2: 35  2->1: 0
CoverNavigatorFrame.java: net.sourceforge.atunes.gui.views.dialogs CoverNavigatorController.java: net.sourceforge.atunes.kernel.controllers.coverNavigator 1->2: 21  2->1: 0
ExportOptionsDialog.java: net.sourceforge.atunes.gui.views.dialogs StringUtils.java: net.sourceforge.atunes.utils 1->2: 0  2->1: 24
Radio.java: net.sourceforge.atunes.kernel.modules.radio AudioObject.java: net.sourceforge.atunes.model 1->2: 20  2->1: 26
AudioFileMPlayerOutputReader.java: net.sourceforge.atunes.kernel.modules.mplayer AudioFile.java: net.sourceforge.atunes.kernel.modules.repository.audio 1->2: 9  2->1: 7
ControllerProxy.java: net.sourceforge.atunes.kernel ExportOptionsDialogController.java: net.sourceforge.atunes.kernel.controllers.exportOptionsDialog 1->2: 11  2->1: 6
VisualHandler.java: net.sourceforge.atunes.kernel.handlers PlayListFilterOps.java: net.sourceforge.atunes.kernel.modules.playlist 1->2: 29  2->1: 0
ColumnBean.java: net.sourceforge.atunes.gui.views.controls.playList Column.java: net.sourceforge.atunes.gui.views.controls.playList 1->2: 17  2->1: 7
AudioScrobblerController.java: net.sourceforge.atunes.kernel.controllers.audioScrobbler AudioFile.java: net.sourceforge.atunes.kernel.modules.repository.audio 1->2: 0  2->1: 82
AudioFile.java: net.sourceforge.atunes.kernel.modules.repository.audio Artist.java: net.sourceforge.atunes.model 1->2: 17  2->1: 41
PodcastFeedEntryRetriever.java: net.sourceforge.atunes.kernel.modules.podcast XMLUtils.java: net.sourceforge.atunes.kernel.utils 1->2: 0  2->1: 23
VisualHandler.java: net.sourceforge.atunes.kernel.handlers RepositoryHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 185  2->1: 35
LyricsEngine.java: net.sourceforge.atunes.kernel.modules.lyrics NetworkUtils.java: net.sourceforge.atunes.kernel.utils 1->2: 5  2->1: 14
